Metric,HitRate,NDCG
5,0.0193,0.011912690189881878
10,0.0377,0.01781892719385234
15,0.0574,0.022983094707512957
20,0.0741,0.026923419164044237
5,0.0902,0.05736421474542823
10,0.1516,0.07710337616206352
15,0.1988,0.08955457421370402
20,0.2379,0.09878998002872316
5,0.1079,0.06548989738071306
10,0.1875,0.09104332284594413
15,0.2477,0.106975943418699
20,0.2949,0.11812330852620988
5,0.1184,0.07312152619691675
10,0.1983,0.0988061294964717
15,0.2593,0.11492417653070959
20,0.3079,0.12641368360430164
5,0.1453,0.09271230972413141
10,0.2284,0.11939213090213946
15,0.2873,0.1350015245961237
20,0.3316,0.14548481065861146
5,0.1555,0.1001693021871032
10,0.2458,0.12916338099541996
15,0.3042,0.14456825563319062
20,0.3496,0.15530179725841167
5,0.1484,0.09472737718618177
10,0.2363,0.12300033493301935
15,0.2968,0.1389702247060305
20,0.3445,0.15021403540751246
5,0.1637,0.10444134025518884
10,0.2573,0.13453154973782766
15,0.3158,0.15005739046402425
20,0.3607,0.1606566900048815
5,0.1596,0.10561393149941309
10,0.2452,0.1332638682687183
15,0.304,0.14881217423941767
20,0.3483,0.15927910106452667
5,0.1755,0.11439878360631876
10,0.2558,0.14026915458678535
15,0.3095,0.15445988094881966
20,0.3496,0.16392719094727634
5,0.1871,0.12339369934279852
10,0.2747,0.15161001969654656
15,0.3324,0.16686026018805097
20,0.3765,0.1772711133930657
5,0.1946,0.12929856477774762
10,0.281,0.15715341011438236
15,0.3375,0.172105647240473
20,0.378,0.18167130088717942
5,0.205,0.13787668675077105
10,0.2896,0.1650681073673649
15,0.3415,0.17882337342932525
20,0.3841,0.1888832719497249
5,0.2052,0.13897287979058892
10,0.2913,0.16667576513585852
15,0.3511,0.18248766418396223
20,0.3877,0.19110371562011713
5,0.2061,0.14192536005932033
10,0.2936,0.17026757502424458
15,0.3477,0.18457967722113897
20,0.3873,0.19394547814550797
Metric,HitRate,NDCG
5,0.0382,0.024116195221298726
10,0.0631,0.0321249215524006
15,0.0834,0.03747399738601112
20,0.1013,0.041713420235590985
5,0.0367,0.02284638388887741
10,0.0574,0.029448698383146944
15,0.0734,0.033681510211397696
20,0.0904,0.037703094634355026
