Epoch,Loss,preLoss
1,15.853926,2.346963
2,10.475012,0.8380745
3,7.397371,0.5598408
4,5.405591,0.3998609
5,4.173156,0.3056282
6,3.3623173,0.25014734
7,2.7909446,0.20616047
8,2.3852282,0.18244904
9,2.0805545,0.16061598
10,1.8411458,0.14731333
11,1.6597618,0.1351773
12,1.509019,0.12800041
13,1.3891337,0.12113174
14,1.2950289,0.118366286
15,1.2154677,0.11403392
16,1.1434739,0.107244834
17,1.0695169,0.100802995
18,1.0156386,0.10089686
19,0.9635318,0.09625098
20,0.9206184,0.095860966
21,0.88458693,0.093318865
22,0.84684736,0.08771656
23,0.81770575,0.08622605
24,0.7887251,0.08356717
25,0.756945,0.0831729
26,0.72816765,0.080818586
27,0.6983153,0.07731484
28,0.6715717,0.074965656
29,0.64461064,0.07177212
30,0.61957186,0.069564596
31,0.6001251,0.06584881
32,0.58117884,0.06445861
33,0.5646792,0.06414913
34,0.549521,0.06371708
35,0.53391397,0.062182385
36,0.51508605,0.057114996
37,0.50160617,0.056425065
38,0.49694234,0.056673527
39,0.47875944,0.05395875
40,0.46562833,0.05315595
41,0.4534692,0.052742213
42,0.44028926,0.049472596
Epoch,Loss,preLoss
1,4.6320987,1.0031813
Epoch,Loss,preLoss
1,9.388131,3.1535373
2,4.6585927,1.7160273
3,3.4462001,1.2961942
Epoch,Loss,preLoss
1,8.274075,3.6253204
2,4.5449347,1.7231541
3,3.2159607,1.2458887
4,2.5898323,1.0966381
Epoch,Loss,preLoss
1,12.419438,3.3013444
2,10.902332,1.5754116
3,9.080335,1.1244863
4,7.303479,0.8995274
5,5.8856454,0.73145884
6,4.838752,0.6377552
7,4.0488844,0.57185346
8,3.4485486,0.5277238
9,2.977073,0.485806
10,2.6131222,0.45930856
11,2.328304,0.43897533
12,2.086542,0.40725118
13,1.8997196,0.39272302
14,1.7452465,0.3757679
15,1.6199064,0.3634693
16,1.4999405,0.33840293
17,1.3968701,0.3164163
18,1.3145205,0.30390897
19,1.2363935,0.28864664
20,1.1717417,0.27807018
21,1.1032925,0.25799218
22,1.0573313,0.25431567
23,1.0013226,0.23563287
24,0.9642539,0.2342182
25,0.91981804,0.22216651
26,0.89047515,0.21991643
27,0.8538867,0.2082545
28,0.8230859,0.20162053
29,0.7946488,0.19682795
30,0.7657275,0.18916494
31,0.74157155,0.18556626
32,0.72047853,0.18292081
33,0.7022432,0.18091303
34,0.67867404,0.17202482
35,0.66387236,0.17244397
36,0.63877696,0.16224805
37,0.6210512,0.160179
38,0.6063889,0.1589993
39,0.5870737,0.15170489
40,0.5742632,0.15029457
41,0.56376886,0.15061855
42,0.54939824,0.14591992
Epoch,Loss,preLoss
1,13.790037,2.2960382
2,8.029777,0.6500137
3,5.978974,0.39151606
4,4.6017303,0.2893008
5,3.729999,0.2383215
6,3.1424174,0.21105285
7,2.732598,0.19053078
8,2.42651,0.17412798
9,2.1865563,0.16502626
10,1.9935553,0.15271655
11,1.8415167,0.14467841
12,1.7023153,0.13063362
13,1.5893695,0.13208441
14,1.4892039,0.11952988
15,1.4019437,0.11637505
16,1.3300235,0.11384486
17,1.2629588,0.10565691
18,1.2055234,0.10332564
19,1.1492288,0.098986916
20,1.0989635,0.09739555
21,1.0536511,0.0947087
22,1.0173782,0.09080712
23,0.97419846,0.08545981
24,0.9353989,0.085232735
25,0.90000284,0.08136078
Epoch,Loss,preLoss
1,13.775713,2.2959704
2,8.015177,0.64912933
3,5.9698877,0.39294586
4,4.5860615,0.29471138
5,3.694867,0.23332906
6,3.1136467,0.20816116
Epoch,Loss,preLoss
1,13.048073,2.3382666
2,8.227385,0.57716733
3,6.0645437,0.3248657
4,4.5868974,0.240991
5,3.6925225,0.20905814
6,3.1107686,0.18348593
7,2.7020774,0.16292886
8,2.4227853,0.15122879
9,2.1823728,0.14291824
10,1.9963114,0.1303331
11,1.846343,0.12596299
12,1.7142341,0.11831876
13,1.601022,0.1120101
14,1.5052582,0.10900973
15,1.415709,0.1025058
16,1.3365154,0.09709289
17,1.2644908,0.0889591
18,1.2271264,0.09474939
19,1.1966196,0.08993794
20,1.1507365,0.0867409
21,1.0953094,0.08203475
22,1.0501635,0.07973025
23,1.070132,0.07966183
24,0.97836846,0.07689001
25,0.9784728,0.0788159
26,0.9528614,0.07525648
27,0.9044987,0.0704548
28,0.8609289,0.0646991
29,0.8289663,0.0643561
30,0.7989491,0.06176251
31,0.7861802,0.06176884
32,0.76583856,0.061101686
33,0.7469838,0.05822012
34,0.7236058,0.056740116
35,0.7012598,0.056328475
36,0.67784333,0.05159108
37,0.66297615,0.053545315
38,0.65510386,0.052537374
39,0.65271896,0.05104489
40,0.6397521,0.047944196
41,0.6271686,0.0529312
42,0.6073612,0.046887163
43,0.5899483,0.04427781
44,0.5773754,0.04487469
45,0.5741141,0.0450368
46,0.5624305,0.043870367
47,0.5549282,0.046668347
48,0.54398793,0.04363354
49,0.5308388,0.040575575
