Metric,HitRate,NDCG
5,0.0759,0.046717353134985894
10,0.1289,0.063617900971131
15,0.1777,0.07652574214708865
20,0.2177,0.08596427480957078
5,0.1749,0.11544231569727552
10,0.2633,0.14390799293192136
15,0.3215,0.15932238071494642
20,0.368,0.1702915355881304
5,0.1906,0.12716573238852646
10,0.2878,0.1584570551282342
15,0.351,0.17514030198922295
20,0.4013,0.18702122555600972
5,0.1917,0.12522970295597946
10,0.2886,0.1563851804082939
15,0.3539,0.1736263980241387
20,0.4056,0.18583065819256045
5,0.1992,0.13093319459839275
10,0.2987,0.16290784377097217
15,0.3651,0.18045419066284077
20,0.4147,0.19217371625461038
5,0.2027,0.13428990337385868
10,0.3039,0.16673693482620325
15,0.3705,0.18428744221109816
20,0.4185,0.1956622978104997
5,0.1922,0.12252527567503033
10,0.2964,0.1559737703621733
15,0.3666,0.17457973814328365
20,0.4185,0.18682214393586688
5,0.2058,0.13460981877062078
10,0.3126,0.16914274530215284
15,0.3881,0.18915225724667598
20,0.441,0.20165586449847692
5,0.2045,0.13227350332032048
10,0.319,0.1691735580513229
15,0.3931,0.1887844928800665
20,0.4486,0.20188174400449663
5,0.2163,0.1405600883172879
10,0.3277,0.17649752042212996
15,0.4021,0.19619512449772417
20,0.4555,0.20881537523600618
5,0.2299,0.15047380529497315
10,0.3401,0.1860578487356856
15,0.4102,0.20459783285655073
20,0.4603,0.21642803541382874
5,0.223,0.14502889772259792
10,0.3335,0.1806098834189574
15,0.4071,0.20010246649747168
20,0.4574,0.211990098043822
5,0.241,0.16002688979387833
10,0.3549,0.196837815223564
15,0.4259,0.21565132946271723
20,0.4746,0.22715333768286008
5,0.2352,0.1512086275863428
10,0.3483,0.18772147186787555
15,0.4142,0.20521780434228085
20,0.4631,0.216755457363262
5,0.2471,0.16309356963837685
10,0.3576,0.19879090689394258
15,0.4249,0.21662364294526973
20,0.4739,0.22821385531847668
5,0.2492,0.1636902427880414
10,0.3617,0.19986619789526933
15,0.4322,0.21854617788555605
20,0.4798,0.22978016102473597
5,0.2582,0.1726603366038294
10,0.3722,0.20949769624563086
15,0.4406,0.22767271722425408
20,0.4894,0.23923240465732415
5,0.2526,0.16755374738945003
10,0.3692,0.2051633742331098
15,0.4366,0.2229838826690295
20,0.4845,0.23430061461690166
5,0.26,0.1725088800270421
10,0.3721,0.20875298824376232
15,0.4419,0.2272428765689594
20,0.4887,0.23829647876352697
5,0.2604,0.17272260867110775
10,0.3717,0.2086217760967644
15,0.4375,0.22606861729448693
20,0.4888,0.23818670908516237
5,0.2633,0.1730935773298847
10,0.3772,0.20991903271379148
15,0.4442,0.22766776739098638
20,0.4918,0.2389293632385803
5,0.2702,0.1803356057999657
10,0.3784,0.21522710819207605
15,0.4439,0.23257691261051705
20,0.4951,0.24467615787392183
5,0.2631,0.1764436048843169
10,0.3716,0.21151461119397913
15,0.4426,0.2302780146422393
20,0.4942,0.24246845008413356
5,0.2626,0.174459683437847
10,0.3702,0.2093709554737114
15,0.4395,0.2277471210523709
20,0.49,0.23967246509724274
5,0.2715,0.182078415914389
10,0.3812,0.21747461964078438
15,0.447,0.23495879244261883
20,0.4952,0.24636277009274585
5,0.2745,0.18662712072898677
10,0.3817,0.22130208368762333
15,0.4471,0.2385986600566699
20,0.4953,0.2499810242229404
5,0.2832,0.19080957472082824
10,0.385,0.2235375771432261
15,0.4519,0.2412344288742677
20,0.4964,0.25175316786900864
5,0.2816,0.18975365730929397
10,0.3876,0.22394147901883762
15,0.4511,0.24075619374305857
20,0.4937,0.25083030248587124
5,0.2807,0.18807953859457904
10,0.3863,0.2222071373474269
15,0.4535,0.2399639022667784
20,0.5012,0.2512342337645986
5,0.2829,0.192269631324553
10,0.3872,0.22596006815531647
15,0.4493,0.2424332881457352
20,0.5007,0.25459144069184303
5,0.2782,0.18953202255731455
10,0.3846,0.22390908113634264
15,0.4531,0.2420418768092397
20,0.4998,0.2530664410086338
5,0.2821,0.19210744127591423
10,0.3874,0.22607595640905243
15,0.4563,0.2443525859414512
20,0.5037,0.2555640683357003
5,0.2848,0.19380814389752296
10,0.3914,0.22835866440384425
15,0.458,0.2459372183279304
20,0.5042,0.256872587207882
5,0.2898,0.19721581880190275
10,0.3943,0.2310795393788744
15,0.4577,0.24787630528679405
20,0.5037,0.25872760731404953
5,0.2953,0.20202050080924494
10,0.3948,0.23416195876747262
15,0.4605,0.25156149528568444
20,0.5058,0.262258140762226
5,0.2882,0.19610502996357462
10,0.3905,0.22912928480789982
15,0.4569,0.24667340530018436
20,0.5005,0.25697741597846213
5,0.2911,0.19952159226425487
10,0.3894,0.23147562740238295
15,0.4571,0.24941878036861262
20,0.5026,0.2601787829688996
5,0.2909,0.19985262570167422
10,0.3912,0.23240077442674195
15,0.4603,0.2506755241955562
20,0.5025,0.2606295049022232
5,0.2894,0.1981284291791781
10,0.3906,0.23085785733223055
15,0.4595,0.24909976128361827
20,0.501,0.2589236075866459
5,0.2889,0.1984809586321469
10,0.3933,0.2323209628411194
15,0.458,0.2494191878146577
20,0.5006,0.25949235769731743
5,0.2938,0.2024965942131945
10,0.393,0.23455754504579268
15,0.4573,0.2516049756686473
20,0.5021,0.26219129198607133
5,0.2958,0.20375546726315133
10,0.394,0.23552953231873866
15,0.4569,0.2522063724703479
20,0.502,0.2628594422788324
5,0.2935,0.2023543186393808
10,0.396,0.23542894460055655
15,0.457,0.2515907759956697
20,0.5021,0.26225864155937395
5,0.2937,0.2020200338966736
10,0.3945,0.23461464301776605
15,0.4553,0.250756658741109
20,0.5012,0.26161196712493345
5,0.2966,0.20451513300405966
10,0.3975,0.23708693286178995
15,0.4597,0.253536922656196
20,0.5043,0.26406941484213375
5,0.2954,0.20387714692099607
10,0.3965,0.23648159446576578
15,0.4594,0.2530614159913302
20,0.5038,0.26353174632940957
5,0.2964,0.20391346820515333
10,0.3964,0.23616637471853538
15,0.4584,0.2525320902666368
20,0.504,0.26329997129193594
5,0.2954,0.203943933658603
10,0.3954,0.23625341583157627
15,0.4584,0.2528842588273703
20,0.5017,0.2631180500088554
5,0.2947,0.20395700297607341
10,0.3963,0.23671232084133134
15,0.4569,0.25273494059831925
