Epoch,Loss,preLoss
1,13.047673,2.3389952
2,8.214155,0.5767994
3,6.044833,0.32383245
4,4.5707655,0.24226913
5,3.6739743,0.20544389
6,3.0999262,0.18714188
7,2.6973915,0.1698444
8,2.3988605,0.15178558
9,2.1718493,0.14390066
10,1.9861414,0.13211389
11,1.8304726,0.12416895
12,1.7001922,0.11994977
13,1.5917113,0.113392934
14,1.49367,0.10749622
15,1.4074942,0.10362677
16,1.3328578,0.09941969
17,1.2598169,0.089104846
18,1.193348,0.08946598
19,1.1334989,0.08469091
20,1.0902545,0.084571674
21,1.0438666,0.079734445
22,1.007185,0.0790696
23,0.96699905,0.073611125
24,0.93065566,0.07510331
25,0.89361477,0.06848368
26,0.8626558,0.06797823
27,0.835241,0.06652044
28,0.8115045,0.06560637
29,0.78532267,0.06338895
30,0.754825,0.05809913
31,0.73234516,0.058693696
32,0.71215945,0.05686138
33,0.6906742,0.055937964
34,0.673222,0.05392173
35,0.655088,0.053215645
36,0.6319952,0.048222236
37,0.619286,0.051288795
38,0.6052148,0.048415605
39,0.59416425,0.0496607
40,0.58034956,0.046546016
41,0.5715326,0.049169295
42,0.55714315,0.045530252
43,0.5438753,0.043258283
44,0.5313522,0.042805262
45,0.52137536,0.0433393
46,0.511046,0.04139327
47,0.50167817,0.040221874
48,0.49066472,0.03832563
49,0.4814588,0.037351705
50,0.4749903,0.03858227
51,0.46770412,0.037654825
52,0.46066076,0.0368373
53,0.451588,0.034712084
54,0.44406614,0.034463234
55,0.4383152,0.035550054
56,0.4304246,0.032814577
57,0.42475381,0.03311455
58,0.4174834,0.031345937
59,0.41185194,0.03130309
60,0.40573984,0.030079275
61,0.39977798,0.028557386
62,0.39712027,0.030837696
63,0.39361304,0.03131067
64,0.3891115,0.030467713
65,0.38389352,0.028782204
66,0.38063043,0.029413054
67,0.37469655,0.027225638
68,0.3700485,0.026203463
69,0.36712942,0.026824076
70,0.362129,0.025120864
71,0.35918516,0.025536368
72,0.3568148,0.026281733
73,0.35357547,0.025927868
74,0.3492409,0.023569036
75,0.34692118,0.02443908
76,0.3433045,0.023544913
77,0.3407198,0.023478601
78,0.33791256,0.023137474
79,0.3340104,0.021618323
80,0.3337562,0.023539543
81,0.32923478,0.021044534
82,0.327596,0.021494191
83,0.3247672,0.020650107
84,0.3239059,0.021781476
85,0.32159787,0.021266576
86,0.31979972,0.021195369
87,0.31791878,0.02089404
88,0.31593412,0.020412887
89,0.31392527,0.019990796
90,0.31233382,0.019950546
91,0.31086,0.019826014
92,0.30902427,0.019259833
93,0.306963,0.018551255
94,0.30648854,0.019319098
95,0.30469865,0.018727299
96,0.30245095,0.017696906
97,0.30169493,0.018049061
98,0.3000772,0.017588012
99,0.29889858,0.017368233
100,0.297632,0.017094607
101,0.29721504,0.017683605
102,0.29559976,0.017000696
103,0.29530907,0.017642895
104,0.294186,0.017355535
105,0.29327217,0.017284092
106,0.2924164,0.017248834
107,0.29093638,0.016557295
108,0.29114002,0.017532606
109,0.28926012,0.016339397
110,0.28900433,0.016774787
111,0.28780127,0.016193172
112,0.28726754,0.016310206
113,0.28644377,0.01615043
114,0.2862258,0.016570598
115,0.2843786,0.015207572
116,0.28408986,0.015531784
117,0.28328237,0.015264878
118,0.28302044,0.015472727
119,0.28249556,0.015495865
120,0.2811497,0.014565058
121,0.2812326,0.015131103
122,0.2808688,0.01519087
123,0.2798253,0.014556715
124,0.28014225,0.015341048
125,0.28041935,0.016043724
126,0.27906775,0.014926406
127,0.2788928,0.015178886
128,0.27802557,0.014657075
129,0.2771501,0.014137298
130,0.27728075,0.014606377
131,0.27704394,0.014670616
132,0.27683586,0.0147468
133,0.27657294,0.014566265
134,0.27581638,0.014302963
135,0.27527526,0.014030372
136,0.27567405,0.014716061
137,0.27550647,0.014722536
138,0.27464548,0.014114631
139,0.27370214,0.013499862
140,0.27444512,0.014423482
141,0.2743402,0.0145279765
142,0.27393964,0.014315262
143,0.2740129,0.014562512
144,0.27329913,0.014058019
145,0.27299502,0.013895179
146,0.27273417,0.013902451
147,0.27283838,0.014118033
148,0.27161568,0.013188342
149,0.27287072,0.014524892
