Metric,HitRate,NDCG
5,0.1124,0.07069037267074348
10,0.192,0.0962680480010346
15,0.245,0.11028319063511154
20,0.2942,0.12189326132955346
5,0.1845,0.12191244401338824
10,0.2691,0.14908398327164046
15,0.3231,0.16336768119096076
20,0.3699,0.17443261969012538
5,0.2059,0.13527428327578014
10,0.3052,0.16720052523509074
15,0.3685,0.18391450495130007
20,0.4166,0.1952766182348862
5,0.1978,0.12872166836940965
10,0.2957,0.16033070540790992
15,0.3624,0.1779828464326672
20,0.4087,0.1889168349397738
5,0.204,0.13325760048126306
10,0.3044,0.16560074821099582
15,0.3745,0.18415410454982764
20,0.4208,0.19508721163224405
5,0.2284,0.15198821242883054
10,0.3374,0.18716426588010485
15,0.3999,0.20372597040220364
20,0.4483,0.21517232710077847
5,0.2075,0.13527153487002572
10,0.3092,0.16804893130083953
15,0.3727,0.18485661564221248
20,0.4207,0.19620296919581826
5,0.218,0.13955685382198896
10,0.3248,0.17392927906925681
15,0.3897,0.19107347915428985
20,0.4412,0.20325079139978722
5,0.2442,0.15941379680770798
10,0.3472,0.19271166239193244
15,0.4121,0.20988031866744114
20,0.4608,0.2213871111263802
5,0.2442,0.16135490372635475
10,0.3506,0.19574013465966908
15,0.4202,0.2141720045246363
20,0.4687,0.22563956830049414
5,0.244,0.16051538366380544
10,0.3508,0.19516699257264608
15,0.4125,0.21148078094690878
20,0.463,0.2233973339414614
5,0.2485,0.16320573896833426
10,0.3554,0.1976719045300504
15,0.4198,0.2147310425325984
20,0.4668,0.22582806612272957
5,0.2624,0.1753219292456023
10,0.3634,0.2080582381875517
15,0.4256,0.22452035561639455
20,0.4685,0.23466607042465742
5,0.2504,0.16428217562631153
10,0.3549,0.198028091832791
15,0.4178,0.21467980316886331
20,0.4652,0.22587131156697757
5,0.2592,0.17217145281894647
10,0.36,0.20473239027338208
15,0.4277,0.22261458321198332
20,0.4716,0.2329877048542297
5,0.2609,0.17576835302880048
10,0.3682,0.2105209720260109
15,0.4307,0.22711765557867597
20,0.4758,0.23778220531077598
5,0.2592,0.17612315085733768
10,0.3653,0.21035059358712124
15,0.4303,0.22759514766710323
20,0.473,0.2376792572599055
5,0.2566,0.17236650593757902
10,0.3608,0.2059685840351798
15,0.4206,0.221825058467821
20,0.466,0.23252194451624456
5,0.2698,0.18207794262785018
10,0.3762,0.21641283921679916
15,0.4327,0.23136581094214917
20,0.476,0.2416088017893252
5,0.2706,0.18343098431648533
