Metric,HitRate,NDCG
5,0.0693,0.04300219848609751
10,0.1227,0.06016006968488938
15,0.1709,0.07287828575898891
20,0.2137,0.0829857420912271
5,0.1298,0.08229160331315356
10,0.212,0.108723107121257
15,0.2761,0.12563711137661332
20,0.3266,0.13759464620215656
5,0.1447,0.09179916059538813
10,0.2368,0.12137448086113017
15,0.3111,0.14100479070484498
20,0.3638,0.15345002295783183
5,0.1806,0.11719049099362146
10,0.2811,0.14946038170141532
15,0.3492,0.16748259047669842
20,0.4045,0.18054273663166565
5,0.185,0.12067031367418629
10,0.2826,0.15200606429944924
15,0.3532,0.17067760392357545
20,0.4039,0.18266787199779405
5,0.1864,0.12095596102779245
10,0.293,0.1552298402233735
15,0.3695,0.1754523048053892
20,0.4246,0.1884722128755951
5,0.1895,0.12084804552837888
10,0.294,0.15439451568341336
15,0.3684,0.17407908003491715
20,0.4201,0.1862762860679655
5,0.2149,0.13921024272708135
10,0.3212,0.17340187965235476
15,0.398,0.1937883401148571
20,0.4455,0.20500369991337788
5,0.2175,0.14342327417697878
10,0.3267,0.17856285471043049
15,0.4011,0.198232949676218
20,0.4537,0.21067870077916045
5,0.2236,0.1467698744845192
10,0.3321,0.18156136172370468
15,0.4039,0.20058504593279144
20,0.4537,0.21235250306091744
5,0.2252,0.147137693708759
10,0.3345,0.18236886847114792
15,0.4089,0.20202715539582916
20,0.462,0.21457669213445218
5,0.2336,0.15262186203346012
10,0.346,0.18889302240109415
15,0.4156,0.20729288906041976
20,0.4674,0.21951762304426498
5,0.2286,0.1500166769118961
10,0.3466,0.1880590031437944
15,0.4201,0.20755243563114295
20,0.4713,0.21964222635685993
5,0.2407,0.1588255532507742
10,0.3529,0.19499189569367031
15,0.4213,0.21316951300080506
20,0.4732,0.22543438986352807
5,0.2381,0.15752745736061827
10,0.352,0.19427696037362271
15,0.4256,0.21378189057759892
20,0.4715,0.22460759352883028
5,0.2404,0.16021892503056664
10,0.3554,0.19730336442206495
15,0.4268,0.21621106191796402
20,0.4752,0.2276507270270229
5,0.2457,0.16334840458131822
10,0.359,0.1997148638643434
15,0.4286,0.2181111539044482
20,0.4762,0.22936406698479367
5,0.2507,0.16642915083976892
10,0.3608,0.20189455027345085
15,0.4337,0.22120044165055414
20,0.4824,0.23270212072651922
5,0.2342,0.15432008927233382
10,0.3489,0.19129669846028627
15,0.4234,0.21101842899385864
20,0.4759,0.2234269754684949
5,0.243,0.16121521390607052
10,0.358,0.19836311894486672
15,0.4308,0.21759182801918392
20,0.482,0.22970700030410618
5,0.2537,0.16983281571923295
10,0.3656,0.20605672730529032
15,0.4375,0.22514783647611084
20,0.4848,0.23633355650421703
5,0.2617,0.17571907749356902
10,0.3735,0.21179998558101934
15,0.4429,0.2300937574985661
20,0.4896,0.24113523810407222
5,0.2557,0.17121986495962152
10,0.3663,0.20691389779130914
15,0.4372,0.22573120772821384
20,0.4861,0.23725985891542908
5,0.2663,0.17892085071647876
10,0.369,0.21199973408222114
15,0.4371,0.23004953668010517
20,0.4863,0.2416920590300344
5,0.2666,0.17973106098601144
10,0.3699,0.21309449025814647
15,0.4412,0.23193326267464046
20,0.4861,0.24255025104917935
