Metric,HitRate,NDCG
5,0.1011,0.06831354711051756
10,0.1531,0.08503906375916752
15,0.1885,0.09438461966491503
20,0.215,0.10065725408476489
5,0.1089,0.07361046287085438
10,0.1631,0.09113496549874855
15,0.2012,0.10122337994270893
20,0.2343,0.10901345348413631
5,0.1221,0.08254625510935638
10,0.1755,0.09975408686642881
15,0.2147,0.11010413201312222
20,0.244,0.11700329794905047
5,0.1215,0.08097766223611055
10,0.1758,0.09843418914260568
15,0.2113,0.10780541475019204
20,0.2417,0.11499279815249745
5,0.1122,0.07782171050220311
10,0.1622,0.09393290879245678
15,0.194,0.1023494087534861
20,0.2241,0.1094471767663284
5,0.1221,0.08470195922104712
10,0.1779,0.10267266469171554
15,0.2137,0.11215180433981661
20,0.2413,0.1186657484364989
5,0.1149,0.0788494966413178
10,0.1671,0.09564917872952362
15,0.2038,0.1053583011048017
20,0.2293,0.11137749512961317
5,0.1192,0.08074262085692778
10,0.1721,0.09780141290691317
15,0.2103,0.1079158948677219
20,0.236,0.11399786115533336
5,0.1262,0.08540613195488846
10,0.1782,0.1021911840459216
15,0.2144,0.11177831815583081
20,0.2424,0.11839050832808694
5,0.1233,0.08616022032769591
10,0.173,0.10208041183109591
15,0.2091,0.1116485481982777
20,0.2365,0.11811575415408017
5,0.1339,0.09115841378697423
10,0.191,0.10943724491654003
15,0.2281,0.11920773565430236
20,0.2562,0.12584515793554582
5,0.1313,0.09035755675557203
10,0.1881,0.10865983785179262
15,0.228,0.11921078176374704
20,0.2539,0.12531100000286421
5,0.1358,0.09306316227328637
10,0.1905,0.11071516750918302
15,0.2329,0.1219178688750329
20,0.2618,0.1287346765791733
5,0.1358,0.09305227606971092
10,0.195,0.11213678111772409
15,0.2315,0.1218052386132682
20,0.2614,0.12887102324802166
5,0.1333,0.09252835392317763
10,0.1916,0.11121864177173345
15,0.2275,0.12072477569800838
20,0.2579,0.1279183760844783
5,0.1406,0.0951213235264527
10,0.2023,0.11499144379857527
15,0.2412,0.12529860710998308
20,0.2734,0.13289226417402314
5,0.1416,0.09715740482320048
10,0.2019,0.11645711128163973
15,0.2385,0.12611717747840914
20,0.2749,0.13471994647043192
5,0.1422,0.09739316047659567
10,0.203,0.11696461061665821
15,0.241,0.1270123941555026
20,0.2711,0.13413433962561225
5,0.1463,0.10096445075959505
10,0.2058,0.12010444697219921
15,0.2471,0.13101633717751018
20,0.2775,0.13819732893836004
5,0.1449,0.0994154650157817
10,0.2075,0.11959425152327617
15,0.249,0.13053765035907142
20,0.279,0.13762682507829907
5,0.1488,0.10207413741091295
10,0.2133,0.1228905546612259
15,0.2585,0.13480374004140178
20,0.2853,0.14110576395482488
5,0.1468,0.1012689570524646
10,0.2085,0.1211201391047428
15,0.2501,0.13214539999789998
20,0.2847,0.14031479690093707
5,0.1488,0.10188199306293629
10,0.2096,0.1214132661608228
15,0.2524,0.13273631646469297
20,0.284,0.14018607990896192
5,0.1505,0.10216362750912192
10,0.214,0.12262031285618773
15,0.2562,0.1337576457894132
20,0.2903,0.14180965191440684
5,0.1502,0.10304355058461333
10,0.2154,0.12400639519201624
15,0.2617,0.13627199581511232
20,0.2926,0.14356239755682446
5,0.1533,0.10467233261444087
10,0.2183,0.1255751058869821
15,0.2576,0.13595393535721753
20,0.2882,0.14318397021049467
5,0.1586,0.10867372149567611
10,0.2224,0.12923052046291408
15,0.2631,0.13999537193763315
20,0.2938,0.1472263617209406
5,0.152,0.10448666716541606
10,0.2202,0.12639656285722975
15,0.2608,0.1371475864988588
20,0.2913,0.1443531600743473
5,0.152,0.10447343258327119
10,0.2173,0.12539459583280102
15,0.2596,0.13660266857971506
20,0.2892,0.1435852022588219
5,0.1517,0.10470400097658314
10,0.2172,0.12575199481272845
15,0.2592,0.1368759332128758
20,0.2909,0.14435859296739953
5,0.1526,0.10549196614923718
10,0.2169,0.12622405299854886
15,0.2585,0.13724275908988645
20,0.2904,0.14478317782601186
5,0.1555,0.10662544292189886
10,0.2192,0.12715463490717227
15,0.2621,0.13853438393473178
20,0.295,0.1463050031684715
5,0.1535,0.10582316383729026
10,0.219,0.12684778196667243
15,0.2627,0.1384254820837806
20,0.2937,0.14574171586972742
5,0.154,0.10603282689823522
10,0.2192,0.12701525964299323
15,0.2612,0.138139008084339
20,0.2923,0.14548512278034587
5,0.157,0.10768669584566049
10,0.2199,0.12785214985332927
15,0.2634,0.13934581587295164
20,0.2949,0.1467757338149776
5,0.1544,0.10611993022100447
10,0.2199,0.1271307487569029
15,0.2618,0.1382053162327077
20,0.2931,0.1455825281811804
5,0.1553,0.10673124762024438
10,0.2205,0.1276712712818738
15,0.2623,0.13873569458784504
20,0.2924,0.1458500325019422
5,0.1567,0.10783034937698097
10,0.223,0.12913385172671593
15,0.2667,0.14069322089584108
20,0.2941,0.14715017892577376
5,0.1547,0.10666862182751378
10,0.2207,0.12791816098284606
15,0.2636,0.13929066776627305
20,0.293,0.14623665381807865
5,0.1562,0.1072338543516972
10,0.225,0.12934356370063765
15,0.2659,0.1401240876811811
20,0.2959,0.1472043140694329
5,0.1568,0.1077027080660615
10,0.2241,0.129324168706472
15,0.266,0.14039171453206295
20,0.2961,0.14749778783831774
5,0.1571,0.10788516556017885
10,0.2227,0.1290035610070998
15,0.2651,0.14022679753147535
20,0.2952,0.1473388534418918
5,0.1563,0.10749593817155237
10,0.2218,0.12856687985202264
15,0.2651,0.1400084531499209
20,0.2944,0.14691426758419915
5,0.1564,0.10762853520145206
10,0.222,0.12876094953289532
15,0.2642,0.13992051254861634
20,0.294,0.14695316622415625
5,0.1559,0.10702313327776865
10,0.2215,0.12821527844344538
15,0.2638,0.1394037561174175
20,0.293,0.146302414290327
5,0.1556,0.10731957676560744
10,0.2209,0.12841837539436757
15,0.2642,0.13988829029028196
20,0.2933,0.14676590672951328
5,0.1563,0.10738924058987015
10,0.2218,0.12849605532129443
15,0.2634,0.13948920457910685
20,0.2937,0.14664872298489637
5,0.156,0.10765951374499132
10,0.2221,0.12897068535281941
15,0.2625,0.13966101865642364
20,0.2932,0.14691812855656072
5,0.1564,0.10764944046630526
10,0.2214,0.12866710338518425
15,0.2643,0.1400140275335905
20,0.2941,0.14704928421359667
5,0.1585,0.10875140201496515
10,0.2227,0.12945413599495334
15,0.2663,0.14098003414419047
20,0.2961,0.14801554171775128
5,0.1586,0.10865555217247433
10,0.2228,0.1293433283812198
15,0.2653,0.1406050282151006
20,0.2961,0.1478835050022773
