Metric,HitRate,NDCG
5,0.1443,0.09130220588592376
10,0.2186,0.11519204972010029
15,0.274,0.1298420384108478
20,0.3083,0.13794991719234342
5,0.183,0.12181313389950507
10,0.2671,0.14893929072482284
15,0.325,0.1642512313798078
20,0.3689,0.17460994343241956
5,0.1842,0.1232540982648372
10,0.2737,0.15214771283663261
15,0.3357,0.16853874617485684
20,0.3795,0.17889166198302453
5,0.1844,0.12147467795385156
10,0.2793,0.1521058412359514
15,0.339,0.16790293770919387
20,0.3816,0.17797672303360376
5,0.1839,0.11863184244810515
10,0.2774,0.14884546363518694
15,0.3325,0.16338005921083604
20,0.3782,0.17419542002505528
5,0.1982,0.1309079324172926
10,0.2883,0.15997564483640322
15,0.3475,0.17563545989793955
20,0.3904,0.185783932643002
5,0.2025,0.13008983795185347
10,0.2969,0.16052585587012924
15,0.3585,0.17680442962959514
20,0.3997,0.1865384914351531
5,0.2111,0.13964638641615512
10,0.3021,0.16899962698928114
15,0.361,0.1846355748700545
20,0.4043,0.19482783992202202
5,0.2128,0.14122885705084715
10,0.3011,0.16976184570325226
15,0.36,0.1853599496480605
20,0.4036,0.19566261019856215
5,0.2044,0.13407068520204188
10,0.2969,0.1639454089651875
15,0.3628,0.18137020130671627
20,0.4055,0.19143213039874504
5,0.2155,0.1421530140274047
10,0.3111,0.1731028675433021
15,0.3714,0.18906120926143175
20,0.4157,0.19950130691899634
5,0.2163,0.142247772617427
10,0.314,0.17378846454050081
15,0.3708,0.18885952456667288
20,0.4153,0.19936249826883748
5,0.2092,0.13689609723369492
10,0.304,0.16736924356694333
15,0.3646,0.18340900349928133
20,0.4039,0.1926918909010256
5,0.21,0.13927755126980598
10,0.3027,0.1693786546137388
15,0.3614,0.18497096317678258
20,0.4056,0.19540370463029483
5,0.2121,0.14148589521740693
10,0.3011,0.1701841517314849
15,0.3578,0.18519879769550066
20,0.3999,0.19515269906385593
5,0.2268,0.15340521315356592
10,0.3179,0.18280939430418003
15,0.3741,0.1977086506197035
20,0.4182,0.20811266391525096
5,0.2199,0.14520761554700237
10,0.3114,0.1747245949743691
15,0.371,0.19049932506897457
20,0.4125,0.20029587223503134
5,0.2267,0.1517964335969009
10,0.3221,0.1826084897945648
15,0.3836,0.1989004055356755
20,0.4249,0.20867701263713798
5,0.2248,0.15070897910442832
10,0.3179,0.18081695982807763
15,0.3733,0.1954951822417383
20,0.4166,0.20571915395996343
5,0.2273,0.15400156670708956
10,0.3157,0.18256617852507967
15,0.3785,0.1991826293614442
20,0.4202,0.2090296233576912
5,0.2284,0.15346342346675532
10,0.3205,0.18317624409714714
15,0.3781,0.19842181355815006
20,0.4161,0.20738666525148555
5,0.2219,0.14833234640756673
10,0.3143,0.1781786087997342
15,0.3735,0.1938777304726917
20,0.4145,0.2035736324401595
5,0.2246,0.15145923913404744
10,0.3161,0.1809019051087021
15,0.371,0.19544317084768897
20,0.4091,0.20445009410703444
5,0.2307,0.1575118100810796
10,0.3236,0.18742691257495292
15,0.3773,0.20160072990473446
20,0.4215,0.21203905954623414
5,0.2379,0.16181478875761765
10,0.3312,0.19193578184853693
15,0.3886,0.2071016226013448
20,0.4296,0.21679399730507215
5,0.238,0.1611793965354874
10,0.3259,0.18945316660529293
15,0.3817,0.20423907524704218
20,0.4186,0.212950448724642
5,0.2322,0.15935088499589042
10,0.3205,0.18787770614047858
15,0.3748,0.2022228658776684
20,0.4189,0.21264836110296878
5,0.2352,0.1609625252234919
10,0.325,0.1900209247125358
15,0.3804,0.20467330188653518
20,0.4208,0.21421080637614567
5,0.2393,0.16287947849742637
10,0.3247,0.19047434651964648
15,0.3814,0.2054672867915899
20,0.4211,0.2148339796302033
5,0.2344,0.162454214593703
10,0.3217,0.19071329837776976
15,0.3765,0.2052651128827894
20,0.4141,0.21413111186203276
5,0.2407,0.1677901850349128
10,0.3262,0.19532574076187784
15,0.3833,0.2104266754956293
20,0.4208,0.21927596502766877
5,0.2456,0.17050126204166033
10,0.3343,0.1990791011125406
15,0.3875,0.21314552796720154
20,0.4279,0.22270138190400113
5,0.2443,0.17078341775285316
10,0.3328,0.1992933238107481
15,0.386,0.21341169060516382
20,0.4247,0.222580608793782
5,0.2456,0.17238124228457863
10,0.3314,0.2000833909636818
15,0.3864,0.21462630448577974
20,0.4226,0.22317489474025556
5,0.2475,0.1735778454746238
10,0.3307,0.20049528490646387
15,0.3852,0.21492919622953469
20,0.4232,0.22390354545690155
5,0.2486,0.17449325352155165
10,0.3326,0.20155488564967808
15,0.3881,0.21622305623252397
20,0.4291,0.22591446825277495
5,0.246,0.17312753371583148
10,0.3335,0.20139614708756925
15,0.3857,0.21519619789962444
20,0.4257,0.22465781359328185
5,0.2523,0.1776692018272507
10,0.3344,0.20402076104979466
15,0.3873,0.21802761527820758
20,0.4257,0.22710912604800393
5,0.2449,0.17371418232007715
10,0.3258,0.19989603010335258
15,0.383,0.21502146900351837
20,0.4216,0.22414761201749975
5,0.2511,0.17667468423867874
10,0.3318,0.20265956132627497
15,0.3868,0.21721236541789185
20,0.426,0.22646659446204354
5,0.2486,0.1750733032623059
10,0.3298,0.20124845360667978
15,0.3819,0.21504559460155842
20,0.4226,0.2246764510765477
5,0.2491,0.17514417281025219
10,0.3315,0.20172348203524515
15,0.3841,0.21564235352825767
20,0.4228,0.22477904691294043
5,0.2501,0.1762141412999442
10,0.3329,0.20287120538374387
15,0.3871,0.21718410941534835
20,0.424,0.22589029777498132
5,0.25,0.17526038560715182
10,0.3297,0.20088653295587663
15,0.3844,0.2153597379774773
20,0.4206,0.2239121989881017
5,0.2483,0.17458241114228695
10,0.3308,0.20122385989581887
15,0.3844,0.2153890857101811
20,0.4215,0.22414445671035182
5,0.2487,0.17476191080276196
10,0.3296,0.20089128627275488
15,0.3819,0.2147239489961351
20,0.4207,0.22388886581280412
5,0.2494,0.17613926923767487
10,0.33,0.20223566283488803
15,0.3823,0.2160748634443745
20,0.4197,0.22493220185660628
5,0.2506,0.17769044084286037
10,0.3309,0.2036847530447583
15,0.384,0.21771461589479185
20,0.4214,0.2265780940463901
5,0.2516,0.17767094959132348
10,0.3312,0.20340978763160986
15,0.3853,0.21768237799501644
20,0.4224,0.22646743918323614
5,0.2514,0.17792508413083605
10,0.3291,0.20313494862569645
15,0.3862,0.21821864474180902
20,0.4231,0.22693964177028064
5,0.2512,0.17773629061783738
10,0.3297,0.20317607847990254
15,0.3852,0.21783795563557243
20,0.4205,0.22621231082679388
