Metric,HitRate,NDCG
5,0.1328,0.08628895576410915
10,0.2154,0.11285520484195777
15,0.2759,0.12888326336220776
20,0.3194,0.13914693604336112
5,0.1694,0.10886330304828211
10,0.2663,0.1400246151041691
15,0.3317,0.1573513817577385
20,0.3825,0.16933679034853943
5,0.1724,0.11075266206782848
10,0.2644,0.14037662766992293
15,0.3311,0.15799167169675585
20,0.3781,0.16909606792533713
5,0.189,0.12357111359352857
10,0.2909,0.15633665316619957
15,0.3598,0.17453979722152366
20,0.4076,0.18582798235690948
5,0.1799,0.1161334453164689
10,0.2764,0.14706500133277436
15,0.3417,0.16431282782937742
20,0.3902,0.17576949394845756
5,0.1949,0.1270635159001189
10,0.2887,0.15743555520343477
15,0.3567,0.17543487695299936
20,0.4069,0.1873025264583831
5,0.1784,0.11329441053196473
10,0.2728,0.1436362866538741
15,0.3435,0.1623055452437501
20,0.3953,0.17453179990227544
5,0.206,0.13306297646136606
10,0.3085,0.16608441935726104
15,0.3735,0.18329033333387373
20,0.4222,0.1947960389996586
5,0.1861,0.12054666200707032
10,0.286,0.15276009918536354
15,0.3552,0.1710596760591922
20,0.4014,0.1819882604547131
5,0.2056,0.13323826357200588
10,0.315,0.16848914382569488
15,0.3882,0.18789856412042918
20,0.4362,0.19923511738615202
5,0.2146,0.1421849831692439
10,0.3153,0.17463859344786847
15,0.3784,0.19133615635687673
20,0.4275,0.20291792720657828
5,0.2135,0.13694248382416205
10,0.3128,0.16899502838802055
15,0.3823,0.187396609940965
20,0.4323,0.19920568512250192
5,0.2208,0.14459139718763464
10,0.3212,0.17683553661025836
15,0.3917,0.1954911341709714
20,0.4399,0.20687316742020279
5,0.2092,0.13777723849697296
10,0.3111,0.17052294690912803
15,0.378,0.18818762155532678
20,0.4258,0.19947547743933827
5,0.2153,0.14120819131162005
10,0.3162,0.17383807231967113
15,0.3815,0.19112136092672177
20,0.4271,0.2018720605878107
5,0.2206,0.1454583432331784
10,0.3207,0.1778649294438224
15,0.388,0.19566038852457665
20,0.4332,0.20632934489719523
5,0.22,0.14436590520968115
10,0.3244,0.1780392302415101
15,0.3922,0.19600131314455668
20,0.4403,0.20736366216301816
5,0.2195,0.144853760281596
10,0.3281,0.17998313276900757
15,0.3911,0.19671215979916756
20,0.439,0.20802486772422263
5,0.2302,0.15264690921205734
10,0.3315,0.18536028725155046
15,0.4005,0.20362788961097839
20,0.4465,0.21450188328850317
5,0.232,0.15326772011838236
10,0.3326,0.18570379857208213
15,0.3941,0.20194885916630648
20,0.439,0.21256057343475548
5,0.2419,0.1598516668886615
10,0.3412,0.19195456425290308
15,0.4069,0.20932424727336482
20,0.4501,0.21953619725852005
5,0.2311,0.1522357602988994
10,0.33,0.1840789291340006
15,0.3905,0.20005960185813598
20,0.4371,0.211077946238697
5,0.2393,0.1600608805234958
10,0.3434,0.19381536687987103
15,0.4066,0.21057723321029748
20,0.4546,0.2219372173557751
5,0.2456,0.16709335383815124
10,0.3425,0.19839480245277577
15,0.4042,0.21475950525562112
20,0.4478,0.22504398397348008
5,0.2459,0.16510865613022585
10,0.3449,0.19702118886659356
15,0.406,0.21319653168304326
20,0.4515,0.22395823375156987
5,0.2459,0.16659835324641462
10,0.3461,0.19890395363964747
15,0.4072,0.21511327730445065
20,0.4499,0.22522341200840937
5,0.2497,0.17101170229977453
10,0.3476,0.20264736384201118
15,0.4066,0.21825428405438224
20,0.4504,0.22859461886255766
5,0.2499,0.16922648225610057
10,0.3429,0.19909937897600935
15,0.4044,0.21537470971793554
20,0.4446,0.22489460854842241
5,0.2535,0.1719319000570226
10,0.3483,0.2026488587245953
15,0.4091,0.21871640867763126
20,0.4488,0.22809834523261738
5,0.2565,0.1731619959077814
10,0.349,0.20306457113554868
15,0.4095,0.21901088946616493
20,0.4489,0.22831075460689745
5,0.2519,0.1709968281183183
10,0.3441,0.2008347256979413
15,0.4062,0.2172634551722876
20,0.4475,0.2269962867249184
5,0.261,0.17845906467123113
10,0.3537,0.2083796786011307
15,0.4114,0.22365291274484908
20,0.4527,0.23341256000304816
5,0.2594,0.17923186212193587
10,0.3523,0.20926776287886673
15,0.4133,0.22539684855656414
20,0.454,0.23501042277571227
5,0.2553,0.17544173870822583
10,0.3465,0.2049559941459241
15,0.4036,0.22003824117892096
20,0.4447,0.2297606692862544
5,0.2547,0.17506858049407273
10,0.3491,0.20553233636348395
15,0.4038,0.22003100630569047
20,0.445,0.22979182737087148
5,0.2627,0.1817109582637632
10,0.3558,0.21171714648207335
15,0.4145,0.22723355752859783
20,0.4527,0.23625670101260948
5,0.2586,0.17820890664576056
10,0.3477,0.2070942845804261
15,0.4074,0.22289387352310205
20,0.4464,0.23211027361909756
5,0.2592,0.1794653564593852
10,0.3509,0.20910866734574043
15,0.4084,0.224286349834021
20,0.4493,0.23393719912444202
5,0.2619,0.1831775004655333
10,0.3538,0.2130496589581589
15,0.4096,0.227767340781432
20,0.4508,0.2375113212885904
5,0.2612,0.18101657524531653
10,0.3533,0.21083136027696686
15,0.4098,0.22574781181035788
20,0.4516,0.2356410078746028
5,0.2635,0.1837360680385615
10,0.3554,0.21350522568849095
15,0.4103,0.22806621114903636
20,0.451,0.2376917205479937
5,0.2676,0.18500459926346688
10,0.361,0.21513501351588474
15,0.4165,0.22980160494768648
20,0.458,0.23961438906851582
5,0.2604,0.18096617253816819
10,0.3546,0.21144468977210248
15,0.4109,0.226342353909924
20,0.4537,0.236443665073082
5,0.265,0.1842923733628936
10,0.3574,0.2142158008597883
15,0.4151,0.2294985213952656
20,0.4534,0.23856115192531946
5,0.2625,0.18415289298131052
10,0.3563,0.21452818101358617
15,0.4165,0.23039919764111405
20,0.4551,0.2395147009450621
5,0.2624,0.18363959137875155
10,0.3557,0.21381262221668393
15,0.4138,0.22920656497820083
20,0.4541,0.2387227672893275
5,0.2632,0.1830777988245089
10,0.3539,0.21236147798212154
15,0.4086,0.22683875726212535
20,0.4512,0.23692536722294413
5,0.2687,0.18739819802512173
10,0.3605,0.21703254422333593
15,0.4139,0.2311432891129736
20,0.4544,0.24073065821028664
5,0.2635,0.1843901254467645
10,0.3551,0.21402276551834992
15,0.413,0.22932496021631282
20,0.4543,0.23907360016470733
5,0.265,0.18578786700251024
10,0.355,0.21488596400649554
15,0.4132,0.23027370414721213
20,0.454,0.23992084814953113
5,0.2645,0.18530906399475938
10,0.3546,0.21438573451132376
15,0.4137,0.22998798065029996
20,0.4546,0.23965016969857517
