Metric,HitRate,NDCG
5,0.1274,0.08162284022038936
10,0.2087,0.10773256766312558
15,0.2721,0.12452895227029692
20,0.317,0.13514591842181672
5,0.1872,0.12225054087366284
10,0.2809,0.1524791418909556
15,0.3477,0.17014718947803592
20,0.3982,0.1820709388422932
5,0.2026,0.13460889098187653
10,0.306,0.16790795795978516
15,0.3765,0.18656326268093146
20,0.4223,0.1973725676499295
5,0.2074,0.13768102200180973
10,0.3084,0.17014608983783272
15,0.3773,0.1883983340162143
20,0.4263,0.19998579936267874
5,0.2179,0.14506694037627732
10,0.3216,0.1784513916274425
15,0.3904,0.19665093217037483
20,0.4385,0.2080058676121676
5,0.2258,0.14958609813629972
10,0.327,0.1823087789984218
15,0.3937,0.19996096856200926
20,0.4427,0.21154613371477884
5,0.2254,0.14819850478451657
10,0.3328,0.1827324936082736
15,0.3997,0.2004609155338919
20,0.4471,0.21165902322917468
5,0.2426,0.1605855952934669
10,0.3469,0.1943565409317419
15,0.4131,0.21188980568121507
20,0.4591,0.22276551719348386
5,0.2466,0.16153367200664964
10,0.3526,0.19577790713806037
15,0.4199,0.213555170445469
20,0.4642,0.22401886451403388
5,0.2385,0.15729740561637243
10,0.3481,0.1925914421274661
15,0.4204,0.2117306117919315
20,0.4678,0.2229479292494485
5,0.2394,0.16035059293092546
10,0.3515,0.19650407359826702
15,0.4185,0.21424114139006933
20,0.4614,0.22435982797471118
5,0.2452,0.16176744352423963
10,0.35,0.19558656628542737
15,0.4186,0.21373642740086046
20,0.4655,0.2248423637466827
5,0.2508,0.16884887973632098
10,0.3584,0.20362939064336374
15,0.4258,0.22149433276233668
20,0.4711,0.23218991369584838
5,0.257,0.17068522869749514
10,0.3634,0.2049719765961644
15,0.4295,0.22246913836526047
20,0.4737,0.23289738193175918
5,0.2428,0.16120952803563923
10,0.351,0.19608037400046302
15,0.417,0.21356927661838968
20,0.4654,0.2250147108046704
5,0.2534,0.16800129459519408
10,0.3589,0.2021576628680533
15,0.4256,0.21982505461228144
20,0.4733,0.23108106760461783
5,0.2657,0.18001430091301032
10,0.3728,0.21463966905982088
15,0.4344,0.23093687617810651
20,0.4765,0.2408982429060457
5,0.2569,0.17152056408976754
10,0.3675,0.20736844193296328
15,0.4344,0.22508343091867433
20,0.4767,0.23508294704719815
5,0.2625,0.17531198383794805
10,0.3695,0.209667617920113
15,0.428,0.22515034553325322
20,0.4715,0.23541451320062207
5,0.2648,0.17808448586725273
10,0.3664,0.21078395427293517
15,0.4268,0.2267836799276689
20,0.4713,0.23727687386949028
5,0.2697,0.18103433674987213
10,0.3717,0.2139056015528015
15,0.4299,0.22934839636986973
20,0.4762,0.24030233156907307
5,0.2689,0.18376644883929566
10,0.369,0.21609374404765025
15,0.4317,0.23268495583808957
20,0.4736,0.24257726276638686
5,0.2652,0.17944216185318712
10,0.3707,0.21356791326986432
15,0.4327,0.2299612000315968
20,0.475,0.23997159452195083
5,0.2706,0.18517905312480568
10,0.3759,0.2191614365961038
15,0.4318,0.23397338723976435
20,0.4763,0.2444965655269122
5,0.2721,0.18515475285094787
10,0.3728,0.21768286402527387
15,0.4293,0.23266108283013037
20,0.4742,0.24327495354288736
5,0.2811,0.19203802743788898
10,0.3804,0.22410294933413694
15,0.4364,0.23895633564449595
20,0.4808,0.24941626132440592
5,0.2757,0.18814422673597891
10,0.377,0.2208677156449336
15,0.4366,0.23661691663642506
20,0.4779,0.24637200786889557
5,0.2852,0.1970702921253426
10,0.3812,0.22825024254133805
15,0.4413,0.24414397592256354
20,0.4809,0.2534953602312134
5,0.2825,0.19374462469215836
10,0.3797,0.2252087122454287
15,0.4409,0.241384604961066
20,0.4847,0.2517407392696603
5,0.2859,0.19921413591839104
10,0.3813,0.2300703879614166
15,0.4385,0.24525108677094903
20,0.4796,0.25495315174630206
5,0.2797,0.19160734336922275
10,0.3778,0.22324927504334297
15,0.4344,0.23824839284107815
20,0.4757,0.24800914941115915
5,0.2908,0.2036466172054227
10,0.3872,0.23479168834861844
15,0.4426,0.24944368422186952
20,0.4834,0.25908571715163525
5,0.2883,0.20191796438579376
10,0.3831,0.23259022543888294
15,0.4421,0.24822296662697427
20,0.484,0.2581191926139733
5,0.2927,0.20393066939298612
10,0.3855,0.23398917194962923
15,0.445,0.2497191290748051
20,0.4817,0.25838063104270675
5,0.2906,0.20279158683255485
10,0.3841,0.23297298782818074
15,0.4409,0.24804299421257897
20,0.4794,0.25715496912684277
5,0.2908,0.20376990227656688
10,0.3854,0.23436213281998017
15,0.4406,0.24895607460480773
20,0.4821,0.25877742518870284
5,0.2936,0.20762918628825028
10,0.3845,0.23693845172876668
15,0.4418,0.25212626841167773
20,0.481,0.26140143095078705
5,0.2898,0.204439349703793
10,0.384,0.2349470204459034
15,0.4404,0.24987002706249278
20,0.4804,0.2593465855836454
5,0.2858,0.20221574166925957
10,0.3823,0.23349061372753285
15,0.4387,0.24838614214378127
20,0.4768,0.25740409247614443
5,0.296,0.20987693756062187
10,0.3871,0.23926266898235657
15,0.4423,0.2538687668372578
20,0.4809,0.26299924307853056
5,0.2922,0.2077191384117006
10,0.3822,0.236932115662172
15,0.4383,0.25179795697196866
20,0.4782,0.26123788511176477
5,0.2886,0.20407090366223402
10,0.3813,0.23411767879012915
15,0.4336,0.24798310067764542
20,0.4733,0.2573855155514871
5,0.292,0.20740432133015735
10,0.3842,0.23727130402348767
15,0.4363,0.2510755297494561
20,0.4787,0.2611391212185498
5,0.2941,0.2087177477862156
10,0.3838,0.2377331652124095
15,0.4361,0.2516214709392913
20,0.4775,0.26142088970017385
5,0.2952,0.21002958873615662
10,0.3848,0.23894298395096575
15,0.4379,0.2530073018560656
20,0.4771,0.26225767904777997
5,0.2938,0.20832958873615656
10,0.385,0.2377615524304776
15,0.4354,0.25107843533253427
20,0.4731,0.25999394760256
5,0.2939,0.20836248975501376
10,0.384,0.2374381513043189
15,0.4362,0.25122833954909235
20,0.4743,0.26024064400019936
5,0.2917,0.20762382813217706
10,0.3803,0.2363686872338145
15,0.436,0.25110676583614666
20,0.4729,0.2598390686561283
5,0.2927,0.20788578528676935
10,0.3827,0.2370566188202602
15,0.4365,0.25131237364305475
20,0.4755,0.26053473119212106
5,0.2922,0.20747141776636435
10,0.3843,0.2372631624768914
15,0.4388,0.25166143961338694
20,0.4756,0.26036711537476653
5,0.2918,0.2073730152072877
10,0.382,0.23665370507217845
15,0.4385,0.2515838649260823
20,0.4764,0.26053284410902955
