Metric,HitRate,NDCG
5,0.1352,0.08762243541927561
10,0.206,0.11019014311922683
15,0.2602,0.12446400232393141
20,0.3044,0.13490351353749128
5,0.1943,0.12691862842665386
10,0.2908,0.15797790410051016
15,0.3491,0.1733870649866032
20,0.3979,0.18490502583701784
5,0.1916,0.12641359531712212
10,0.2967,0.1601867981826803
15,0.3679,0.17905770081601752
20,0.4198,0.19133371146127734
5,0.2135,0.1394874449374739
10,0.3252,0.17550156354368615
15,0.3889,0.19239263029805168
20,0.4371,0.2037854191964968
5,0.2244,0.14943092408430508
10,0.337,0.18575455267868565
15,0.4035,0.2033694294963972
20,0.4533,0.21515245216292797
5,0.2293,0.14985162581182795
10,0.3395,0.1854329658705635
15,0.4094,0.20393887263700197
20,0.4555,0.21482900089713017
5,0.216,0.13718314539252893
10,0.3285,0.17356831413957632
15,0.4005,0.19263345189564685
20,0.4497,0.20426803876989005
5,0.2321,0.14917843220589397
10,0.3524,0.1881390277053604
15,0.4192,0.20580146168414404
20,0.4664,0.2169421735505358
5,0.2458,0.1595026554051429
10,0.3578,0.19568152327722887
15,0.4237,0.21310835080728252
20,0.4709,0.22427892879221886
5,0.2432,0.15940185962781148
10,0.3567,0.19606867399973338
15,0.4262,0.2144740314154118
20,0.475,0.2260049306002889
5,0.264,0.17512319104434498
10,0.3717,0.20983116062230817
15,0.4397,0.22783610970714135
20,0.4848,0.23849571548621634
5,0.2501,0.16405358621141944
10,0.3609,0.19976399361415056
15,0.4265,0.21716477872714163
20,0.4751,0.22865493837839798
5,0.2544,0.17070493957828922
10,0.3645,0.206272053738843
15,0.4269,0.22279523186929923
20,0.4775,0.23475256206108616
5,0.2538,0.16974979359758105
10,0.3567,0.20301718900937493
15,0.4243,0.22091653266520656
20,0.4694,0.23156910853548934
5,0.2712,0.17887691329511102
10,0.3841,0.215392957925401
15,0.447,0.23208718256066513
20,0.4892,0.24206270315930964
5,0.2568,0.1714285521612501
10,0.3665,0.20690374890300936
15,0.4327,0.2244520099331371
20,0.4793,0.23545876174004288
5,0.2551,0.16959910618888616
10,0.3601,0.2035526216021973
15,0.4247,0.22066757772862175
20,0.4741,0.23233511071864046
5,0.2537,0.16725618885622834
10,0.3651,0.2032862929337128
15,0.4335,0.22141088811004997
20,0.4802,0.23243122009335443
5,0.2707,0.186069681993798
10,0.3744,0.21958019807222437
15,0.4384,0.23654434098720648
20,0.4839,0.24731170608292286
5,0.2744,0.18469030048609916
10,0.3844,0.22019418678536967
15,0.4463,0.23658018276905077
20,0.4877,0.24635352896335144
5,0.2722,0.18512023697222055
10,0.3767,0.21895418446795883
15,0.441,0.2359264423220322
20,0.4849,0.24630355260895923
5,0.2766,0.18886084037156275
10,0.3806,0.22251279072127067
15,0.4446,0.2394757847421928
20,0.4868,0.24945275129553324
5,0.2795,0.19210614803863676
10,0.3823,0.22538430968233497
15,0.44,0.24065581742710948
20,0.4815,0.25044864602550515
5,0.2836,0.19463266947354388
10,0.3825,0.22664187575244074
15,0.4442,0.24296218758439622
20,0.4842,0.2523987292305526
5,0.2822,0.19411614618950496
10,0.3859,0.22774576330682075
15,0.4396,0.24197854139424194
20,0.481,0.25176331633487237
5,0.2832,0.1961200669444304
10,0.3787,0.2270091266368485
15,0.4397,0.24316496173977153
20,0.4785,0.25230949023153315
5,0.287,0.19817129792440946
10,0.3885,0.23104661246575742
15,0.4448,0.2459821924839415
20,0.4873,0.2560146311886044
5,0.2882,0.1998348222304587
10,0.3877,0.2319986837637698
15,0.4508,0.2487169824503937
20,0.4881,0.25753680932518236
5,0.2935,0.20339030630780927
10,0.3928,0.23562104234033923
15,0.4515,0.25113577204892745
20,0.4917,0.2606209835041537
5,0.2891,0.20236150659979285
10,0.3891,0.23474392344274775
15,0.4454,0.2496592398100437
20,0.4828,0.2585092745250484
