Metric,HitRate,NDCG
5,0.1362,0.08736971696408487
10,0.2089,0.11069787027575671
15,0.2618,0.12470099092019941
20,0.304,0.13466040947625693
5,0.1984,0.13171689983955417
10,0.2861,0.16011476072377617
15,0.3496,0.17690672610156521
20,0.394,0.18741557948775456
5,0.1982,0.13100218481886017
10,0.3024,0.16462308641557222
15,0.3724,0.18318382587638735
20,0.4183,0.19401629022988093
5,0.2018,0.1348725383942121
10,0.3004,0.16669178808578466
15,0.3657,0.18399393674280515
20,0.4114,0.1948018968517859
5,0.2198,0.1457711001153848
10,0.3171,0.17706737399950526
15,0.388,0.1958262156830402
20,0.4323,0.206284474803181
5,0.2339,0.15431007785667647
10,0.3371,0.1876379950355536
15,0.4053,0.2056742870484422
20,0.4513,0.21653116683697726
5,0.2123,0.1346394482394391
10,0.3185,0.1689128589375494
15,0.3887,0.18750939161602737
20,0.4386,0.19930110334888232
5,0.2405,0.1584051612110382
10,0.3453,0.19241704209319577
15,0.4147,0.21081288191131026
20,0.4641,0.22249134340786744
5,0.2369,0.15555691091108878
10,0.3459,0.1907992522122678
15,0.4099,0.20774703529639338
20,0.4603,0.21966109468473347
5,0.2351,0.15547312478954295
10,0.344,0.19057889272464285
15,0.4125,0.20865104547594196
20,0.4612,0.22014998562636806
5,0.2406,0.15972535702016155
10,0.3459,0.1938606094614992
15,0.4122,0.21141508698020176
20,0.463,0.2234145326563374
5,0.2516,0.16531802980616925
10,0.3554,0.1988112954051373
15,0.4233,0.21677667442170795
20,0.4664,0.22696338548618436
5,0.2402,0.16119313959178075
10,0.3502,0.1966700341829668
15,0.4152,0.21388635190211025
20,0.461,0.22470570465192277
5,0.2508,0.1647264386127048
10,0.358,0.19934437411886233
15,0.4238,0.21676317557606653
20,0.4692,0.22747996768522688
5,0.2574,0.17443809372513072
10,0.3642,0.2089577131249801
15,0.4295,0.22617745244260545
20,0.473,0.23646900599000797
5,0.2535,0.1706026863022335
10,0.3547,0.20313513915513035
15,0.4187,0.22006366063724173
20,0.4659,0.23121941459657433
5,0.2521,0.16956496152207176
10,0.3627,0.20533169268878068
15,0.4262,0.22214786912019568
20,0.4713,0.2328086041779613
5,0.2675,0.17985399528172197
10,0.3692,0.21270404249211589
15,0.4296,0.22872799694851786
20,0.4759,0.23969386031224327
5,0.2701,0.18330921116534898
10,0.3735,0.21678023739154179
15,0.4319,0.23222514616233003
20,0.4742,0.24223661010024233
5,0.2668,0.18204288216379794
10,0.3695,0.21518767721820595
15,0.4312,0.23154800571791098
20,0.4751,0.24190993940261674
5,0.2641,0.17865392310392264
10,0.3628,0.21059995714844085
15,0.4275,0.2277449721168741
20,0.4695,0.23768021926770444
5,0.2693,0.18354134321865512
