Epoch,Loss,preLoss
1,7.1255217,1.1553365
2,4.6361995,0.3097748
3,3.4797006,0.15820763
4,2.6075053,0.11472001
5,2.0512018,0.09087538
6,1.6903597,0.07772237
7,1.4439602,0.068949506
8,1.2629337,0.059728734
9,1.1325152,0.058487706
10,1.0368217,0.05610161
11,0.9602691,0.052308053
12,0.891202,0.05008482
13,0.82477933,0.044708762
14,0.7669171,0.042231552
15,0.7206031,0.042421617
16,0.68234473,0.03930658
17,0.64566994,0.03701832
18,0.6116203,0.036349773
19,0.5790536,0.034889102
20,0.5533034,0.03267172
21,0.5305249,0.032551844
22,0.5088281,0.0305884
23,0.48977908,0.030277396
24,0.47032356,0.029321153
25,0.45217714,0.028092325
26,0.4314894,0.025150325
27,0.4116877,0.024081763
28,0.39340526,0.022076651
29,0.3820909,0.023643129
30,0.36957252,0.021048754
31,0.3556338,0.019728862
32,0.3458392,0.020902906
33,0.3398407,0.021585783
34,0.33328682,0.020739425
35,0.32279128,0.019595854
36,0.3130869,0.019221194
37,0.30439222,0.019269321
38,0.2964713,0.017733758
39,0.2886186,0.017430473
40,0.27938,0.015349503
41,0.27146813,0.01514147
42,0.26296666,0.013891545
43,0.25672194,0.01460254
44,0.2499394,0.013833107
45,0.24408957,0.013401134
46,0.2384279,0.012483983
47,0.23432648,0.012895497
48,0.23004651,0.012529053
49,0.22624807,0.0123076085
50,0.22136684,0.011450911
51,0.21787202,0.01184592
52,0.21395183,0.010968242
53,0.20983143,0.010412181
54,0.20644417,0.010604592
55,0.20222995,0.009753643
56,0.19935647,0.010023978
57,0.19640322,0.009869357
58,0.19255275,0.008753899
59,0.1900222,0.009002503
60,0.18689443,0.008457243
61,0.18424822,0.008213587
62,0.18241706,0.008673716
63,0.17949809,0.007937963
64,0.1770947,0.0076927976
65,0.17462668,0.007227718
66,0.17286327,0.0074285017
67,0.17064196,0.007022341
68,0.16891952,0.007147973
69,0.16693035,0.0068812133
70,0.16478767,0.006313396
71,0.16304745,0.006194092
72,0.1620743,0.0065476755
73,0.16053052,0.0064198775
74,0.15892394,0.0061245337
75,0.15729892,0.0057638194
76,0.15577365,0.005491716
77,0.15461878,0.005575817
78,0.15331449,0.0052471133
79,0.15204339,0.0051382957
80,0.15092911,0.0051134303
81,0.14955913,0.0048569595
82,0.14874144,0.0049110255
83,0.14746872,0.004607376
84,0.1471333,0.005130486
85,0.14587438,0.0047235903
86,0.1447237,0.0043824175
87,0.14434794,0.004783778
88,0.14327556,0.0044688815
89,0.14217423,0.0040245997
90,0.14169362,0.0042795106
91,0.14103904,0.004245951
92,0.1403325,0.004138519
93,0.1392757,0.0037391246
94,0.13842079,0.0035269521
95,0.13811724,0.0037856929
96,0.13733546,0.003566709
97,0.13653263,0.0033315278
98,0.13603961,0.0033112566
99,0.13547532,0.0032783349
100,0.13504383,0.0033165023
101,0.1348516,0.0036145314
102,0.13410863,0.0032716878
103,0.1336774,0.0033491657
104,0.13335197,0.0034118847
105,0.1326365,0.003113885
106,0.13251813,0.0033280824
107,0.13187507,0.0030434444
108,0.13160111,0.0031022532
109,0.13126644,0.003082562
110,0.13102308,0.0032067194
111,0.13064772,0.0031492028
112,0.13010344,0.0028771278
113,0.12976041,0.0028339294
114,0.12961629,0.0030060667
115,0.12918803,0.0027984548
116,0.12864405,0.0024492464
117,0.12859312,0.0026359144
118,0.12838583,0.0027721827
119,0.12833534,0.0028960942
120,0.12786803,0.0026436537
121,0.1278246,0.0028235062
122,0.12743224,0.0027121229
123,0.12691364,0.0023403422
124,0.12680787,0.0024431194
125,0.12700929,0.0028058358
126,0.12643506,0.002379701
127,0.1266196,0.0027661936
128,0.12606743,0.0023933458
129,0.12588966,0.0023014122
130,0.12567604,0.0023240533
131,0.12553397,0.002282106
132,0.1253644,0.0022833967
133,0.12534246,0.002371918
134,0.12504488,0.0022001832
135,0.12505409,0.0024359543
136,0.12504591,0.0025150257
137,0.12477575,0.0023099426
138,0.12469016,0.0023434523
139,0.1244187,0.0021819533
140,0.12437439,0.0022851818
141,0.12436493,0.0023255472
142,0.12410313,0.00220277
143,0.1242345,0.0023994658
144,0.12385372,0.0021231624
145,0.123945095,0.002297213
146,0.12367819,0.002126566
147,0.12354903,0.0020614953
148,0.12363913,0.0023055556
149,0.1236431,0.0023258345
Epoch,Loss,preLoss
1,7.1287246,1.1545838
2,4.638139,0.30968183
3,3.480228,0.1567391
4,2.6078384,0.11501914
5,2.05245,0.09129162
6,1.6930254,0.07919064
7,1.4486283,0.06981998
8,1.2693944,0.061823346
9,1.1408497,0.059984207
10,1.0432366,0.056149334
11,0.9579433,0.0500952
12,0.88278836,0.048675757
13,0.81975937,0.044982176
14,0.76255333,0.042976517
15,0.7167719,0.040765963
16,0.68039703,0.04142242
Epoch,Loss,preLoss
1,7.130722,1.1573391
2,4.6431417,0.3104242
