Metric,HitRate,NDCG
5,0.1372,0.08771774033887245
10,0.2104,0.11118695023931277
15,0.2643,0.12546515824190924
20,0.3059,0.1352570840387858
5,0.1981,0.13040171093714012
10,0.2911,0.1602727667420072
15,0.3502,0.17586849052366132
20,0.3953,0.18651364259022968
Metric,HitRate,NDCG
5,0.1341,0.08679730748154486
10,0.2144,0.11268551130518976
15,0.277,0.12926523743626997
20,0.3195,0.1393080747935737
5,0.1714,0.1100739471259288
10,0.2669,0.14074244482642426
15,0.3335,0.15838630146784935
20,0.382,0.16984653198658406
5,0.1734,0.11067190602523808
10,0.2665,0.14062502489771447
15,0.3316,0.15789542117054603
20,0.3847,0.1704155309756507
5,0.1893,0.12295105477525176
10,0.2829,0.15302184520678208
15,0.3495,0.17061375373041865
20,0.3999,0.18250746898601738
5,0.1732,0.11204020194618888
10,0.271,0.14359469588303123
15,0.3322,0.15978233465800834
20,0.3802,0.17112841771625323
5,0.1968,0.12895845703873496
10,0.3011,0.1625473497478773
15,0.3651,0.17944604768943603
20,0.4143,0.1910674442888723
5,0.1795,0.11390805882331342
10,0.2773,0.14540285114744
15,0.337,0.16114121842859155
20,0.3872,0.17298597620672065
5,0.2129,0.13986962423903973
10,0.3159,0.17300309294616836
15,0.378,0.18945991998079065
20,0.4256,0.20069090085980956
5,0.1852,0.11904137334883297
10,0.2786,0.1491350457369265
15,0.3419,0.16589450985221785
20,0.3899,0.17722551608414133
5,0.2073,0.13666701041422374
10,0.3088,0.16930138360869446
15,0.3776,0.18748552950262387
20,0.4263,0.19900035430016094
5,0.2224,0.14549313161940455
10,0.3169,0.17592320637638248
15,0.3817,0.19306143581617735
20,0.4314,0.20480090754523914
5,0.216,0.1391797629289178
10,0.3138,0.17072439011979804
15,0.3791,0.18800923012522122
20,0.428,0.19956857158883207
5,0.2222,0.1495725750468327
10,0.3266,0.1833307220332808
15,0.3902,0.2001705277206755
20,0.4414,0.2122764120766312
5,0.2128,0.13915170281892303
10,0.31,0.17041434339147898
15,0.3775,0.18825576621064583
20,0.4238,0.19918707554203038
5,0.2154,0.14143528561649324
10,0.3195,0.17501325520326705
15,0.3845,0.19224842313559137
20,0.4353,0.20427612262736985
5,0.2153,0.14132588058167578
10,0.3159,0.17369154943700282
15,0.3814,0.19107000534215043
20,0.4258,0.20155980282454383
5,0.212,0.1392408377282986
10,0.316,0.17274148152295016
15,0.3789,0.1893843399875701
20,0.4264,0.2005888281284029
5,0.2209,0.14438462715809797
10,0.3255,0.17808197853249874
15,0.3901,0.1951148438209133
20,0.4353,0.20578620525887653
5,0.2283,0.15230288032547937
10,0.3271,0.1841723781679595
15,0.3901,0.20084023746743118
20,0.4385,0.2122815394047438
5,0.2264,0.15257470508157456
10,0.3262,0.18480179811015865
15,0.3933,0.20257573647312707
20,0.4381,0.21316658983212425
5,0.2341,0.15686589045988436
10,0.334,0.1891605641873061
15,0.3998,0.20655191407547108
20,0.4477,0.21785041586139495
5,0.2311,0.15441861059181097
10,0.331,0.18660911592996482
15,0.3916,0.2026168921955676
20,0.4403,0.21412108533006458
5,0.241,0.16568860836937147
10,0.3399,0.19764987999618672
15,0.4045,0.21476517818397314
20,0.4505,0.2256307810874295
5,0.2358,0.16279365396596632
10,0.3394,0.19608223607357625
15,0.4017,0.2125965683954167
20,0.4486,0.22367777684561438
5,0.2354,0.15930260400139182
10,0.33,0.18978932710911461
15,0.3955,0.20708924978296372
20,0.4419,0.2180656053678777
Metric,HitRate,NDCG
5,0.1004,0.06805478242786356
10,0.1512,0.08445939607667378
15,0.1889,0.09441680078185784
20,0.2159,0.10079451738228294
5,0.1065,0.0720188505752522
10,0.1596,0.08912312054530401
15,0.1951,0.09850562355950082
20,0.2278,0.10620625243308753
5,0.1194,0.08127610346211277
10,0.1776,0.09998526496269748
15,0.2155,0.10999697506474054
20,0.2444,0.11681941968943178
5,0.1196,0.08137020111631785
10,0.172,0.09829418464200816
15,0.2102,0.10835663585303652
20,0.2374,0.11478101497572872
5,0.1179,0.07985877019238984
10,0.1693,0.09643722947146345
15,0.2001,0.10460023850059497
20,0.226,0.11069836113542356
5,0.1183,0.08104591479453409
10,0.1711,0.09805361451386688
15,0.2066,0.10742970304836745
20,0.2339,0.1138740248048181
5,0.1234,0.08543161080308044
10,0.1774,0.10280302813305213
15,0.2125,0.11208728472831067
20,0.2411,0.11884772039782088
5,0.1242,0.08413727576310219
10,0.1762,0.10084690219949893
15,0.2109,0.10999405916016919
20,0.2374,0.11625693249697254
5,0.1277,0.08828606830598222
10,0.1818,0.10577875645351835
15,0.2187,0.11556710227271026
20,0.2414,0.12090627623737243
5,0.1245,0.08541040623272474
10,0.179,0.10285735017514817
15,0.2174,0.11302813873676595
20,0.2448,0.11950591797539512
5,0.1304,0.08976189302065143
10,0.1878,0.10832555574254568
15,0.2259,0.11841213661137781
20,0.2539,0.1250262664079281
