Metric,HitRate,NDCG
5,0.3192,0.2251424147678167
10,0.4385,0.26367700639666736
15,0.5176,0.2845839214618629
20,0.5687,0.29666350235411
5,0.3414,0.23808172697926047
10,0.4663,0.2784139609652255
15,0.543,0.29872519805517367
20,0.595,0.3110082228358914
5,0.3689,0.25942878870604763
10,0.4961,0.300425280127961
15,0.5686,0.3195804399525747
20,0.6239,0.33264894803147815
5,0.3625,0.257278834015366
10,0.4918,0.29901366158004433
15,0.5718,0.32019761223368726
20,0.6303,0.33401187541487626
5,0.3829,0.2715741269893439
10,0.5096,0.31240877473874173
15,0.5858,0.33260500431579754
20,0.6384,0.34502139905263
5,0.398,0.287298504462025
10,0.5208,0.3269607198264265
15,0.6005,0.348051652054918
20,0.653,0.3604395037285823
5,0.4135,0.2982628542934278
10,0.5324,0.33668429854698834
15,0.6047,0.3558198272431055
20,0.6571,0.3682079732105104
5,0.4095,0.2939992836073189
10,0.5358,0.3347289354432715
15,0.6136,0.3552988107696632
20,0.6652,0.3675008491589341
5,0.4131,0.30009880336244465
10,0.5391,0.3407627170490828
15,0.6142,0.3606422731608613
20,0.6645,0.3725391097225248
5,0.4241,0.3082626477939321
10,0.5452,0.34740287456542485
15,0.6214,0.3676018880695972
20,0.6721,0.3795955830100719
5,0.4156,0.30211650073990426
10,0.5383,0.3417195454531747
15,0.6144,0.36187769219378596
20,0.6703,0.3750957051514665
5,0.4308,0.31372723762355764
10,0.5584,0.35498799263928893
15,0.6315,0.37433765921398465
20,0.6822,0.38632366204658664
5,0.4256,0.3120720678607483
10,0.5521,0.35307845594943227
15,0.6276,0.3730746453164512
20,0.6813,0.3857682228137052
5,0.4374,0.32432747962527203
10,0.5579,0.3632710291004219
15,0.6344,0.38356044209226414
20,0.6879,0.39620693407261026
5,0.4474,0.32781585936451646
10,0.569,0.36705348943976823
15,0.6434,0.38671054259814025
20,0.695,0.39889446680647944
5,0.4625,0.34315703255959173
10,0.5913,0.38488885758317737
15,0.6593,0.4029584651774485
20,0.7094,0.41475890002090193
5,0.4544,0.3344170768879783
10,0.5799,0.37494990519631916
15,0.6522,0.39407847603927226
20,0.703,0.40608070925429224
5,0.4566,0.3396929503359147
10,0.5838,0.3809404079502673
15,0.6529,0.399252973236665
20,0.707,0.4120445252242819
5,0.4661,0.3454114873825302
10,0.5933,0.38657893027664003
15,0.6651,0.40562723858063426
20,0.7119,0.41670797686390487
5,0.4698,0.3493162494833474
10,0.5938,0.38932045754328737
15,0.6613,0.40717057239745064
20,0.7126,0.41928096399107123
5,0.4697,0.35506143618265423
10,0.5971,0.39633918171098914
15,0.6718,0.41611943831791687
20,0.7186,0.4271828242218078
5,0.477,0.3579191705968553
10,0.5997,0.3976397210310609
15,0.6682,0.4157564567966379
20,0.7138,0.426522176676696
5,0.4812,0.3600434000212674
10,0.6095,0.401554104881876
15,0.6779,0.41968751910076135
20,0.7245,0.43071326635152984
5,0.4768,0.35883736586363746
10,0.602,0.3992525435487348
15,0.6717,0.41767324416258
20,0.7206,0.4292289537362322
5,0.4916,0.3677776145910005
10,0.617,0.4083389111434866
15,0.682,0.4255101503059662
20,0.7277,0.436325142783545
5,0.4949,0.3714924703394692
10,0.6175,0.41131706113455274
15,0.6872,0.42978503508869326
20,0.7354,0.44117977183491647
5,0.4954,0.3707944380595551
10,0.6143,0.4094245441306789
15,0.6864,0.42848273358016575
20,0.7324,0.4393522114875218
5,0.4989,0.3735324099988165
10,0.6184,0.41222347818381533
15,0.6906,0.4313120926672037
20,0.7401,0.44297347345954374
5,0.5042,0.37941953662975647
10,0.627,0.4191489208280628
15,0.6972,0.437704105747819
20,0.7426,0.4484388769260636
5,0.5048,0.3845385890629686
10,0.6302,0.42522430084244717
15,0.7003,0.4438073807629872
20,0.7459,0.4545651642660214
5,0.5093,0.38720053663596266
10,0.6344,0.42761072369171643
15,0.7023,0.4455603894430051
20,0.7491,0.4566179156008027
5,0.51,0.3883476056694676
10,0.636,0.4291128443085603
15,0.7051,0.4473815830862067
20,0.7492,0.4577898895411262
5,0.5167,0.3931997917225679
10,0.638,0.4323760222292137
15,0.7117,0.4518149610210104
20,0.7566,0.4624375310404489
5,0.522,0.39777770311863514
10,0.6407,0.43630845363996285
15,0.7121,0.45518775616160984
20,0.7582,0.4660783855219026
5,0.5282,0.40032032999717976
10,0.6463,0.4384997960246893
15,0.7136,0.4563676029046083
20,0.7583,0.4669084206024782
5,0.5319,0.4046991428457709
10,0.6529,0.44379963366358616
15,0.7185,0.461150174599388
20,0.7626,0.47156926472125676
5,0.5304,0.40429328158762273
10,0.654,0.4443365751437179
15,0.7167,0.4609583844530326
20,0.7603,0.4712558738851029
5,0.5311,0.4073579338095743
10,0.6547,0.44747634252750684
15,0.721,0.46504284395998374
20,0.763,0.47495798130508926
5,0.533,0.4096141454488864
10,0.6591,0.45057170507565625
15,0.7259,0.46826281592645735
20,0.7672,0.4780121539884046
5,0.5366,0.40993845722950717
10,0.6623,0.4506490567020153
15,0.7258,0.4674712119628749
20,0.7685,0.47755929457341306
5,0.5361,0.410524876757925
10,0.6632,0.45168775557164137
15,0.7264,0.4684518236043114
20,0.7729,0.4794453971918175
5,0.54,0.414101488544377
10,0.6644,0.45448619413676933
15,0.7303,0.47194277157227543
20,0.773,0.4820243860635961
5,0.5438,0.41706496385791697
10,0.6654,0.4565244752784637
15,0.7333,0.47451094144476813
20,0.7724,0.48375936767428246
5,0.5468,0.4204712639573501
10,0.666,0.459202868861011
15,0.7323,0.4767687315108016
20,0.7722,0.48620487981684046
5,0.5495,0.4221389402218586
10,0.6677,0.4604860784642793
15,0.7322,0.4775981773149114
20,0.7751,0.48775958344771897
5,0.5489,0.42180470185921115
10,0.6704,0.46129439321065546
15,0.7349,0.47842193273703715
20,0.7773,0.4884496037716035
5,0.5506,0.4220494106452249
10,0.6723,0.4616108954620855
15,0.7351,0.4782481899612596
20,0.775,0.4876920062178839
5,0.5526,0.4246056263052969
10,0.6728,0.46373269223653896
15,0.7384,0.48111043433962775
20,0.7765,0.49012038961869236
5,0.5542,0.42623195379528517
10,0.6728,0.4648714062987323
15,0.739,0.48240248861304225
20,0.7779,0.49161551463403586
5,0.5554,0.4266268354915938
10,0.6735,0.4650868320766851
15,0.7397,0.48258989183297046
20,0.7801,0.49214548865629376
5,0.5563,0.42708103711903433
10,0.6754,0.46582819697990846
15,0.7387,0.48258512038192003
20,0.7808,0.49254058294518516
