Metric,HitRate,NDCG
5,0.2793,0.19337485356837072
10,0.3881,0.22848357730155727
15,0.4609,0.24774412653426753
20,0.5144,0.2603700840184164
5,0.3519,0.2504990477281799
10,0.4659,0.2872477011476096
15,0.5433,0.3077370916774572
20,0.5995,0.3210114681123205
5,0.3699,0.26894563637096963
10,0.4884,0.3071322864222527
15,0.5583,0.3256142813571605
20,0.6117,0.3382172453762334
5,0.384,0.2818295425261987
10,0.4984,0.3186148138090652
15,0.5732,0.3384066444018621
20,0.6268,0.35107831510762366
5,0.3924,0.28980897470447614
10,0.5098,0.3277575348160469
15,0.5819,0.3468419072698765
20,0.6352,0.35944376344523143
5,0.3844,0.28204302307545087
10,0.5042,0.32064209114190595
15,0.5772,0.3399577261172301
20,0.6281,0.35200198107549413
5,0.4039,0.29528663437005626
10,0.5232,0.3339502542673719
15,0.5956,0.35311011409524057
20,0.648,0.3654921990042652
5,0.4187,0.31040279408780264
10,0.5388,0.34918825580858387
15,0.6095,0.36792371795735496
20,0.6632,0.3805965844632514
5,0.4111,0.3047752210001027
10,0.5268,0.3421749459212834
15,0.5989,0.36125953232476826
20,0.6503,0.373398519785381
5,0.4084,0.3014021362370316
10,0.5289,0.3403640903600489
15,0.6034,0.36008436167999386
20,0.6571,0.3727630017523613
5,0.4264,0.3184798705794593
10,0.5394,0.3549472114914086
15,0.6104,0.37378127155946683
20,0.6644,0.386566514744061
5,0.4222,0.3135565416731911
10,0.5463,0.3534998304439679
15,0.6193,0.37283658859867136
20,0.6707,0.38497805397264345
5,0.4246,0.31621202863304654
10,0.5438,0.35478700723569445
15,0.6187,0.3745872995587563
20,0.6756,0.3880479238050366
5,0.4246,0.31539011414517754
10,0.5464,0.35475941784423104
15,0.6149,0.37289946603271046
20,0.6653,0.3848149226160781
5,0.4295,0.3190034803474291
10,0.5519,0.35855418509991477
15,0.6212,0.3768911361306977
20,0.6754,0.3897300813789177
5,0.4328,0.32147787496900193
10,0.5523,0.36025190446252253
15,0.6281,0.38029544772981405
20,0.6783,0.3921599956023945
5,0.4382,0.3258015395066374
10,0.5591,0.3646812135961411
15,0.629,0.38314007843720765
20,0.6825,0.3957831789797109
5,0.4533,0.3386337659214352
