Metric,HitRate,NDCG
5,0.2933,0.20704845149200873
10,0.4017,0.24198272444396138
15,0.4751,0.2613997699547695
20,0.5274,0.27375153289944754
5,0.3423,0.24230798352017846
10,0.4679,0.28289708628671567
15,0.5399,0.3019087458572928
20,0.598,0.3156104023365376
5,0.3746,0.26703523563716747
10,0.4986,0.30720245556779907
15,0.5745,0.3273220997644302
20,0.6269,0.3397307938514154
5,0.3763,0.2700497381327806
10,0.5054,0.31169907318609025
15,0.5846,0.33264573633219113
20,0.6362,0.3448324054836194
5,0.3951,0.2850266126855157
10,0.5189,0.3250584438788528
15,0.5956,0.34539599875263577
20,0.6509,0.3584694149381623
5,0.4135,0.2994638119789986
10,0.5301,0.337212628728956
15,0.6055,0.3571939558907142
20,0.6591,0.36985566320733865
5,0.4248,0.310029096040627
10,0.5467,0.34957819278014723
15,0.6211,0.3692674184624238
20,0.6701,0.3808393972622615
5,0.4364,0.32012090160467627
10,0.5577,0.35924463686146485
15,0.6297,0.3782666864450781
20,0.6828,0.39083717704872517
5,0.4426,0.32600249718139507
10,0.5639,0.3651630010267772
15,0.6341,0.38374601397260855
20,0.682,0.3950858257127922
5,0.4364,0.3169527729640384
10,0.5645,0.3583782083242204
15,0.6374,0.37771974885239606
20,0.6892,0.38998865480480904
5,0.4433,0.32683035369602514
10,0.5652,0.36632306361607575
15,0.6425,0.38676886794152743
20,0.6945,0.39906213961247516
5,0.4472,0.3290957708519546
10,0.5735,0.36982884173273517
15,0.6472,0.3894013027024325
20,0.6932,0.4002769613837725
5,0.4432,0.3278464502207595
10,0.5711,0.36912249806342956
15,0.6458,0.38888608952143544
20,0.6965,0.4008650415647245
5,0.456,0.338955110354329
10,0.5845,0.38061694460355594
15,0.6588,0.4002643700822123
20,0.7102,0.4124212818587337
5,0.4632,0.34461710516180616
10,0.5847,0.38394612495875674
15,0.6561,0.4028407055178855
20,0.7066,0.4147643164091512
5,0.4702,0.34967629420600344
10,0.59,0.3884765674442255
15,0.6622,0.40762482084663887
20,0.7103,0.41900597550930024
5,0.4708,0.34937111646000474
10,0.5955,0.3897037784551469
15,0.6713,0.4098103425781095
20,0.7209,0.4214989917208586
5,0.4809,0.35653845461705763
10,0.6093,0.39809870525305235
15,0.6815,0.4171726693925988
20,0.7257,0.4276075037219902
5,0.4795,0.35760052778457324
10,0.6041,0.3981104596116128
15,0.6752,0.41692562052381926
20,0.7224,0.4280907913597403
5,0.4853,0.3620806728870832
10,0.6077,0.401767779346792
15,0.6781,0.4204253165608353
20,0.7295,0.43257188925804246
5,0.4894,0.3642226031804176
10,0.6139,0.4045186555033475
15,0.6855,0.42353275292568043
20,0.7341,0.4350024262489907
5,0.4911,0.37005489810063696
10,0.6148,0.4101551581597545
15,0.6907,0.43031475676716274
20,0.7408,0.4421622986980884
5,0.4928,0.37192250942788385
10,0.6204,0.41324634689104395
