Metric,HitRate,NDCG
5,0.2596,0.17511335757215346
10,0.3801,0.21400317729939916
15,0.4502,0.23255577574703662
20,0.5105,0.2468078419557661
5,0.3361,0.23873261317431688
10,0.4512,0.2757975874008612
15,0.5256,0.2955090394100819
20,0.5761,0.3074149533122521
5,0.3573,0.260553408326284
10,0.4656,0.29554284154161753
15,0.5358,0.31414961781039685
20,0.5884,0.3265864994235324
5,0.375,0.27579626165739374
10,0.4896,0.31277095598693233
15,0.5579,0.3308630654271672
20,0.6101,0.3431981818985911
5,0.3767,0.2777152872680122
10,0.4885,0.31371874660407767
15,0.5599,0.3326271630298776
20,0.6123,0.34497919959906975
5,0.3818,0.2809914220755512
10,0.4969,0.3181693759765135
15,0.562,0.3354043507614289
20,0.6178,0.34860713078065325
5,0.3861,0.2840017255008065
10,0.5003,0.32090693115367175
15,0.5729,0.34011513890314443
20,0.625,0.3524590255739857
5,0.3983,0.29341658552764727
10,0.5108,0.32975632871285604
15,0.5852,0.3494040909968956
20,0.6403,0.3624039737211241
5,0.3958,0.2928721785920719
10,0.5086,0.32931181502845025
15,0.586,0.34981571974328685
20,0.6405,0.3626643098340516
5,0.3998,0.29568850772865046
10,0.5203,0.33467044872921814
15,0.5941,0.3541922595569805
20,0.6469,0.36667393444820934
5,0.421,0.30960393164200384
10,0.5381,0.3475150183016697
15,0.6109,0.36680780770136007
20,0.6593,0.37824761578468147
5,0.4024,0.2982274095414382
10,0.5193,0.33598860695966437
15,0.5956,0.35624412604376693
20,0.6485,0.3687266612204221
5,0.4158,0.30658825078541124
10,0.5326,0.34437046133639854
15,0.6016,0.36261897278174937
20,0.6556,0.3753866219119204
5,0.4121,0.30568246316710995
10,0.5328,0.3446939115836992
15,0.604,0.36353050170082885
20,0.6543,0.37540861225482697
5,0.4138,0.3057505582982075
10,0.5357,0.3452157166028072
15,0.6116,0.3652924739588648
20,0.6657,0.3780743352164507
5,0.4225,0.3103997456325602
10,0.5415,0.3488556880940778
15,0.6103,0.36704583487434445
20,0.6639,0.3796998738100205
5,0.4194,0.3109461836362579
10,0.5368,0.3489334615260424
15,0.615,0.3696557547283681
20,0.6716,0.38303171875905945
5,0.4255,0.31589174750554905
10,0.5457,0.3547437293177567
15,0.621,0.3746802874015295
20,0.6758,0.3876227629968638
5,0.4265,0.31636745830126056
10,0.547,0.3552345429771273
15,0.623,0.3753242339740278
20,0.6757,0.38775606258580336
5,0.4235,0.31356270939771874
10,0.546,0.35325599116046374
15,0.6209,0.3730812787646638
20,0.6741,0.3856504782482591
5,0.4301,0.32030047111136944
10,0.5535,0.3602679590572775
15,0.6267,0.3796465004974991
20,0.6839,0.39318347414771
5,0.4309,0.3214876331999744
10,0.5508,0.3601156210658908
15,0.6305,0.38123241546697195
20,0.6818,0.39337600819849244
5,0.4361,0.32454810704728954
10,0.5592,0.36441509971497965
15,0.6325,0.38374002848317523
20,0.6867,0.39654471463538965
5,0.4326,0.3209028290607241
10,0.5532,0.35990389846380083
15,0.6289,0.3799357005237564
20,0.6884,0.3939878899699179
5,0.4428,0.3284982851041566
10,0.5621,0.366897329178829
15,0.6386,0.3871476267715706
20,0.6921,0.399766059371862
5,0.4404,0.32572847136182703
10,0.5598,0.36444244796755326
15,0.64,0.3856299701104144
20,0.6967,0.39904124270454927
5,0.4429,0.3297911044504621
10,0.5623,0.36848993304791416
15,0.6415,0.38944400275490865
20,0.6982,0.40285229546128687
5,0.439,0.32694376327161734
10,0.5614,0.36657105297965636
15,0.642,0.38790305872250047
20,0.6983,0.40118411757770767
5,0.4421,0.3273797175655332
10,0.5648,0.3670143710289824
15,0.6457,0.3884647154706164
20,0.7008,0.40149046358871043
5,0.4477,0.3334478277731834
10,0.5685,0.3723947868681568
15,0.643,0.3921117855109652
20,0.7012,0.40585694409871664
5,0.4469,0.33282930198786537
10,0.568,0.3720119246095241
15,0.6473,0.39301902713378334
20,0.7016,0.40585049441743115
5,0.4482,0.33418304232190316
10,0.5686,0.3731976157541562
15,0.6489,0.3945004892729916
20,0.7014,0.4069058454374936
5,0.4475,0.33350715835665473
10,0.5729,0.3740959668495534
