Metric,HitRate,NDCG
5,0.148,0.10895551605996413
10,0.1949,0.12406258333294268
15,0.2303,0.13342853698484392
20,0.2576,0.13988881031098288
5,0.1581,0.11854925918803079
10,0.2075,0.13443861771339014
15,0.2449,0.1443161180317541
20,0.2732,0.1509955031905176
5,0.1789,0.1330745267182445
10,0.2378,0.15203747323419436
15,0.2812,0.16349228493640033
20,0.3168,0.17189277988283355
5,0.1803,0.1349333559438905
10,0.2401,0.15417196282141357
15,0.2819,0.16522294139698954
20,0.3173,0.1735796259192102
5,0.1701,0.12555835453639505
10,0.2244,0.14303536615717635
15,0.2645,0.15364827534302827
20,0.3016,0.16240969959608445
5,0.1816,0.13555918301176725
10,0.2394,0.15414924641629085
15,0.2905,0.1676432264835934
20,0.3282,0.17656696864316468
5,0.1835,0.1364858230045334
10,0.2492,0.15769039923542602
15,0.2964,0.170195907263112
20,0.3408,0.18067471053660786
5,0.1919,0.14162325624902738
10,0.2637,0.16476673885144735
15,0.3101,0.1770025329744189
20,0.3473,0.1857801761204405
5,0.1979,0.14659921347362959
10,0.2627,0.16743520135837145
15,0.315,0.1812583476056919
20,0.3541,0.19047399812464805
5,0.1987,0.14731490975649075
10,0.2661,0.1690395954329831
15,0.3166,0.1823752794612312
20,0.3574,0.1920066286911692
5,0.2021,0.15088649680005686
10,0.2706,0.17289525138018558
15,0.3222,0.18654998833903189
20,0.3627,0.19610929936088572
5,0.2055,0.15208366568837803
10,0.2768,0.17505955318374275
15,0.3277,0.18852719077969263
20,0.369,0.19829147387235907
5,0.2157,0.15966235991159636
10,0.2906,0.18365633055441774
15,0.3455,0.19813950546533268
20,0.3861,0.2077068464981188
5,0.2141,0.15942996957292063
10,0.2874,0.18306030382848631
15,0.3428,0.19768831632347725
20,0.3877,0.20831001308872282
5,0.2225,0.16432428107922661
10,0.2952,0.1878062398184234
15,0.3513,0.20263345531863264
20,0.3977,0.2135797140455441
5,0.2251,0.1642420249055933
10,0.3012,0.18861806756390131
15,0.3599,0.20414597869806408
20,0.4036,0.21445799868324394
5,0.2307,0.16930724737424818
10,0.3092,0.194627063697761
15,0.3629,0.20882867189165363
20,0.4078,0.21945674472562027
5,0.2258,0.1670692148544243
10,0.2991,0.19058689273444873
15,0.3567,0.20579363339184514
20,0.4018,0.2164592918332598
5,0.2294,0.16988098388580788
10,0.3065,0.19473323026930295
15,0.3672,0.21076632711119064
20,0.412,0.22133308634456267
5,0.23,0.16869948119475656
10,0.3068,0.19334619229513397
15,0.3699,0.21000990024066915
20,0.411,0.21969733764036592
5,0.2303,0.17020720562094285
10,0.3101,0.19592682258126082
15,0.3693,0.21158491194403337
20,0.418,0.2230702018887598
5,0.2352,0.17243446278191604
10,0.3154,0.1982002428489228
15,0.3737,0.21362576994335544
20,0.418,0.2240996970791054
5,0.2355,0.1727908353292036
10,0.316,0.19861774572688476
15,0.376,0.21449962296774602
20,0.4187,0.22457832292462185
5,0.2439,0.17906239629416176
