Metric,HitRate,NDCG
5,0.3182,0.22373371027145567
10,0.4387,0.26259678540648584
15,0.5167,0.2832364403465705
20,0.5707,0.2959912044414735
5,0.3432,0.23726836237541757
10,0.4697,0.2781179260226126
15,0.5463,0.2983725894624621
20,0.5997,0.31099440838383596
5,0.3648,0.2579443768241473
10,0.4959,0.30019345261972763
15,0.5699,0.31976530101342876
20,0.6242,0.33258595344640296
5,0.3637,0.26299902453207646
10,0.4977,0.3060297901395121
15,0.5755,0.3266168558300094
20,0.6314,0.33983045541463386
5,0.3927,0.28138825082996494
10,0.5221,0.32299510357954575
15,0.5959,0.34251907674053916
20,0.6492,0.3550935725507297
5,0.3962,0.28391251793022176
10,0.5187,0.3234435090503911
15,0.5946,0.34350275491271925
20,0.6431,0.35498993355027525
5,0.402,0.287970067645163
10,0.5268,0.3283201582990232
15,0.5997,0.34761051902015716
20,0.6479,0.3590049501618387
5,0.4163,0.2996007757659854
10,0.5411,0.3398350287011161
15,0.6132,0.3588959919447254
20,0.6628,0.3706128666706361
5,0.4121,0.30080420816863285
10,0.5369,0.3410966612874188
15,0.6097,0.3603913671732195
20,0.6648,0.373414601125585
5,0.4239,0.3088708733308484
10,0.5451,0.34812954844354715
15,0.6213,0.3683247795568772
20,0.6697,0.37976198319683474
5,0.4275,0.3110403802003818
10,0.5487,0.3502217281987422
15,0.6224,0.36974717331850776
20,0.6738,0.3819114561057173
5,0.4313,0.31624748444082873
10,0.5608,0.3581737784279321
15,0.6336,0.3774577674975541
20,0.6788,0.38816001000537914
5,0.4337,0.3179283837023924
10,0.5591,0.358284330816957
15,0.6311,0.3773518295926487
20,0.6837,0.3897549761307048
5,0.4433,0.32738220077347
10,0.5671,0.3673849907655376
15,0.6384,0.3862227125783737
20,0.6907,0.39857945608951506
5,0.4294,0.3157829522525603
10,0.5568,0.3569399247459222
15,0.6349,0.3776563162240235
20,0.6905,0.39080051580667613
5,0.4481,0.3312585418779632
10,0.5751,0.3724131310677598
15,0.6479,0.39171123624058074
20,0.7004,0.4041300934316818
5,0.4589,0.33825248960328835
10,0.5835,0.3785426659751841
15,0.6505,0.3962865149881299
20,0.7016,0.40837393331512173
5,0.4509,0.3326225822133074
10,0.58,0.37439248818308923
15,0.655,0.39423871097012586
20,0.7035,0.40570982327719524
5,0.4629,0.3419642273433117
10,0.589,0.382800555621531
15,0.6629,0.4024065418382917
20,0.7108,0.4137282564486548
5,0.4629,0.34516752563761727
10,0.5894,0.38617716117178114
15,0.6637,0.4058575759931931
20,0.715,0.4179714427444729
5,0.4664,0.3483541962230138
10,0.5968,0.390684497256261
15,0.6714,0.4104360294439907
20,0.7211,0.422183416068565
5,0.4721,0.35263571358553475
10,0.5927,0.3914343587596266
15,0.6637,0.4102481278415308
20,0.7152,0.4224409125229893
5,0.4801,0.35930822755260877
10,0.6043,0.39944261694035615
15,0.6758,0.4183738417796915
20,0.7233,0.42960786759421
5,0.4804,0.3624942077887714
10,0.6072,0.40363518754051897
15,0.6761,0.42186336487631954
20,0.7245,0.4332994079044768
5,0.4898,0.3672167643068734
10,0.6133,0.4071891874542783
15,0.6834,0.42581930152487
20,0.7323,0.4373719988570999
5,0.4881,0.36849976251302635
10,0.6155,0.40969038296396465
15,0.686,0.428337266723091
20,0.7365,0.4402744419786838
5,0.4975,0.3729124862799621
10,0.6191,0.4121488472830891
15,0.6888,0.4306487663601171
