Metric,HitRate,NDCG
5,0.2971,0.20789473037949782
10,0.4071,0.2433695963543093
15,0.4837,0.26363612521910035
20,0.5394,0.27679054565212374
5,0.3446,0.24362952041002017
10,0.461,0.28119317536888394
15,0.5438,0.30307490489879346
20,0.6015,0.3167091349568445
5,0.3824,0.27519282764389474
10,0.5028,0.3140702769568261
15,0.5758,0.3334162265950889
20,0.626,0.3452800172749371
5,0.3875,0.280535816411996
10,0.5158,0.3219940687357941
15,0.5876,0.3410119316347857
20,0.6383,0.3530003544878161
5,0.398,0.2855634397638582
10,0.5219,0.3255714620879755
15,0.5978,0.3456638364925512
20,0.6507,0.35815523417083117
5,0.4203,0.3052473432391238
10,0.5371,0.3430392698748052
15,0.6103,0.3624088753769215
20,0.6618,0.37456549064139455
5,0.4135,0.3021590810466609
10,0.5402,0.34309987295474714
15,0.6134,0.3625069427655679
20,0.6616,0.37388747620826596
5,0.4304,0.31495284454369304
10,0.5514,0.3539338474482622
15,0.6223,0.3727005719789447
20,0.6751,0.3852031230058264
5,0.4339,0.3223777615118277
10,0.5602,0.3632101393720939
15,0.6338,0.3826705491040615
20,0.6836,0.39441708482960236
5,0.4418,0.32528019794543506
10,0.5582,0.36296663588670186
15,0.6326,0.3826607614988056
20,0.6837,0.39473692502306124
5,0.4471,0.3297580469508061
10,0.5717,0.3700249006686311
15,0.6379,0.3875396679526185
20,0.6881,0.3994116003671571
5,0.4497,0.33502730752647636
10,0.5768,0.376147364008868
15,0.6494,0.39534190823583915
20,0.6992,0.4071191459958315
5,0.4395,0.3260925757783799
10,0.5713,0.36870539370560595
15,0.6465,0.3886350585335119
20,0.6964,0.4004084714317991
5,0.4628,0.34178446685253144
10,0.5881,0.3821733724545036
15,0.6655,0.4026367035147832
20,0.7137,0.41403727596903034
5,0.4621,0.34656198257974263
10,0.5891,0.3877213235371738
15,0.6611,0.4068052959789024
20,0.7111,0.4186306510027823
5,0.472,0.35374278768368966
10,0.5923,0.39280618596924305
15,0.6633,0.41158742897542205
20,0.712,0.42308453119970063
5,0.4737,0.35375593774814673
10,0.5935,0.3925152150849044
15,0.665,0.41140536655686255
20,0.7119,0.42248976205515903
5,0.4676,0.3485550493686838
10,0.5925,0.3890924847278257
15,0.6643,0.40810614759928493
20,0.713,0.41963188911784666
5,0.4752,0.35611914934887673
10,0.5992,0.3962637529494842
15,0.6698,0.4149853972475342
20,0.716,0.4258897210035311
5,0.4732,0.35354552676708795
10,0.6009,0.3949497210699062
15,0.6754,0.414739931192329
20,0.7237,0.4261388069045847
5,0.4813,0.3584354581164899
10,0.6104,0.4002611882413072
15,0.6817,0.41916518433334166
20,0.7293,0.43040993525594406
5,0.4811,0.3614296845177764
10,0.604,0.40130346315241916
15,0.683,0.4222459932556533
20,0.7285,0.4330165741504921
5,0.494,0.3706080050516599
10,0.6157,0.40999224401299755
15,0.6839,0.4280471886568316
20,0.7324,0.43952614212085855
5,0.4968,0.3753822433949751
10,0.6218,0.4158428002112309
15,0.6901,0.43393947945351613
20,0.7371,0.4450440699140898
5,0.4987,0.3777438880467897
10,0.6228,0.41812181379782104
15,0.6885,0.4355218824868218
20,0.7386,0.44737332103903693
5,0.5014,0.3778680237753687
10,0.6278,0.4185770731000023
15,0.6984,0.43727829137193264
20,0.7446,0.44821502051030704
5,0.4993,0.3780192554979997
10,0.6267,0.41933274079429655
15,0.6981,0.43823256806586497
20,0.7446,0.44921100863768654
5,0.4978,0.3774958725093507
10,0.6235,0.41829677723342445
15,0.6945,0.4371085592469668
20,0.743,0.448579893976321
5,0.5059,0.3853917180734694
10,0.6305,0.4258148742983098
15,0.7018,0.4446902527300189
20,0.7502,0.45614257382765766
5,0.5099,0.38646879703173476
10,0.6324,0.4260356428232958
15,0.7043,0.4450949524704643
20,0.7517,0.4562737712515516
5,0.5116,0.39065853449158483
10,0.6353,0.430617227804829
15,0.7086,0.45004934752289255
