Metric,HitRate,NDCG
5,0.2746,0.18933995226641442
10,0.3927,0.2275000284487024
15,0.4635,0.24622708765883616
20,0.5229,0.2602631661843108
5,0.3346,0.23428824201234888
10,0.4598,0.2746616365105457
15,0.5353,0.2946225727199116
20,0.5908,0.3077066264621349
5,0.3622,0.2580165519614066
10,0.4867,0.29837139467461754
15,0.5647,0.31899276539743016
20,0.6171,0.3313651444719544
5,0.3825,0.2766889855082498
10,0.5108,0.31823268038338515
15,0.5845,0.3376981621508666
20,0.634,0.34938263326942254
5,0.3942,0.28431214946578603
10,0.5185,0.32445499492198254
15,0.592,0.34392273745002344
20,0.6445,0.3563199165559088
5,0.4034,0.29330377972044547
10,0.5355,0.33604783378078446
15,0.6082,0.3552706232296869
20,0.6615,0.3678594448946121
5,0.4086,0.29775463326038504
10,0.528,0.33634702705949965
15,0.6043,0.3565841953592062
20,0.6564,0.36887984977391913
5,0.4146,0.3026930969758734
10,0.5428,0.344309889292794
15,0.6163,0.3637184909621819
20,0.6731,0.37713863663152086
5,0.4291,0.31397119568527976
10,0.5524,0.35387261131639663
15,0.6238,0.3728090502989596
20,0.6766,0.3852746011393282
5,0.4314,0.3162275343166106
10,0.5525,0.35537345313936863
15,0.6299,0.37586329623265846
20,0.6812,0.3879965375130911
5,0.4351,0.31945170704619247
10,0.5599,0.3598996929101924
15,0.6334,0.3793450649077724
20,0.6863,0.3918461272094447
5,0.4436,0.32719115646183744
10,0.5645,0.36626877229603955
15,0.6402,0.3863385701155305
20,0.6861,0.3971795252604908
5,0.4464,0.3271918101584507
10,0.5704,0.3673078676843488
15,0.6451,0.38709584198933406
20,0.695,0.3988850299621494
5,0.4522,0.3328665042205536
10,0.5754,0.3726819145838023
15,0.6499,0.3923870379304101
20,0.7013,0.4045151696400334
5,0.4551,0.33838609586701707
10,0.5798,0.3785991840471078
15,0.6513,0.39754462121267287
20,0.7025,0.4096440656397036
5,0.4646,0.3471961246341074
10,0.5883,0.3870230860003385
15,0.6598,0.40599219152398147
20,0.7132,0.4186077635510234
5,0.466,0.34666319057830675
10,0.594,0.3879517131320673
15,0.6653,0.4068603252073086
20,0.7129,0.4181132283714005
5,0.4677,0.3494149759385637
10,0.5894,0.38886436717337775
15,0.6627,0.40829049697295006
20,0.7131,0.42019404695375107
5,0.4738,0.3533049322866489
10,0.5997,0.3940269446401172
15,0.673,0.4134488088502882
20,0.7213,0.42485649462412356
5,0.4756,0.3572709664744241
10,0.6018,0.3980237561949451
15,0.6723,0.41669428141280557
20,0.7217,0.42835975182406283
5,0.481,0.3590346092600053
10,0.6077,0.3999160426776167
15,0.6815,0.4194698920736949
20,0.7314,0.4312701523063688
5,0.4781,0.3584209230443831
10,0.6021,0.39855067978352204
15,0.6718,0.41704077746787727
20,0.7257,0.4297851781832408
5,0.4873,0.36524473482012193
10,0.6174,0.40731072616133635
15,0.6867,0.42562803373854075
20,0.7334,0.4366719802454777
5,0.4892,0.3675458881948612
10,0.6168,0.4088034404728757
15,0.6843,0.4266981117137994
20,0.7365,0.43905379103311987
5,0.4939,0.36882487616111403
10,0.6189,0.40926512811505267
15,0.686,0.427052790459467
20,0.7362,0.43892898975418154
5,0.4941,0.3705134873280603
10,0.617,0.4102785159995743
15,0.6896,0.42950209204826095
20,0.7394,0.44128037582337193
5,0.5016,0.3781987317719767
10,0.626,0.41839961074564447
15,0.6966,0.4371081527983738
20,0.7429,0.4480621749020469
