Metric,HitRate,NDCG
5,0.2764,0.19125222467126177
10,0.3915,0.2283666600849383
15,0.4678,0.24858451381501132
20,0.5253,0.2621712699192752
5,0.3364,0.23415175497877358
10,0.4584,0.27341643011913097
15,0.5333,0.2932451378112021
20,0.5922,0.3071586357779889
5,0.3635,0.26177168795410005
10,0.4872,0.30173122112553724
15,0.5633,0.3218677437056973
20,0.6164,0.3344231421517869
5,0.3784,0.2738584096718587
10,0.4997,0.31302375767758533
15,0.5779,0.3337913210600345
20,0.6311,0.3463493060111848
5,0.3827,0.2730869362204945
10,0.518,0.3167965632898704
15,0.5973,0.3378259484367479
20,0.65,0.3502958733797798
5,0.4066,0.29650412359424433
10,0.5292,0.3360557709580504
15,0.6053,0.3562222987261205
20,0.6565,0.36831979412305776
5,0.4105,0.2970917184769225
10,0.5398,0.33893998937474545
15,0.6208,0.3603844018561958
20,0.6732,0.3727756412058151
5,0.4122,0.30120551983889793
10,0.5401,0.3426781453646863
15,0.6222,0.3643766526240117
20,0.6742,0.37666493795244443
5,0.4233,0.3097461044109829
10,0.5539,0.3519813018994213
15,0.6286,0.3717424976765729
20,0.6827,0.3845183090544387
5,0.4307,0.3179923204997296
10,0.551,0.35674972975131003
15,0.6257,0.37657206412711736
20,0.6745,0.3880923230915068
5,0.4389,0.3234881296718033
10,0.5647,0.36438395821588837
15,0.6387,0.3839756959077661
20,0.689,0.39587359025497826
5,0.4471,0.3296611722673028
10,0.5711,0.36967115960920965
15,0.6408,0.3881424666981698
20,0.6916,0.40016022287088304
5,0.44,0.3254212750347692
10,0.5676,0.3666526624969376
15,0.6457,0.38731872756226454
20,0.6973,0.3994979388364376
5,0.4488,0.33350269951458617
10,0.5775,0.37504142294629284
15,0.6468,0.39338425062341265
20,0.6984,0.4055615957157853
5,0.4606,0.3407820174025636
10,0.5857,0.3810609295113939
15,0.6557,0.39960825947107786
20,0.7084,0.41206930998187175
5,0.4632,0.34501467188209234
10,0.5869,0.38499053384133836
15,0.6605,0.40443805956549156
20,0.7078,0.41561942146908804
5,0.4637,0.3424835218349388
10,0.5892,0.3830493414864805
15,0.6619,0.40229371058059715
20,0.711,0.413879913427665
5,0.4595,0.34088036394328186
10,0.5862,0.38196960835621324
15,0.6607,0.4017428078153529
20,0.7139,0.41431577530928926
5,0.4703,0.3484430667322943
10,0.5973,0.3895424735684168
15,0.6706,0.4090030269543481
20,0.7154,0.4196072869627197
5,0.476,0.3514751809615709
10,0.5983,0.3911782227080868
15,0.6724,0.4107693156598581
20,0.7196,0.42194893224260793
5,0.4741,0.35483913337690454
10,0.6006,0.3958570836727486
15,0.6758,0.4157773900871921
20,0.7286,0.42825254480733227
5,0.4856,0.36533822005708866
10,0.6096,0.405489111177092
15,0.6838,0.42514192050522015
20,0.733,0.4367666254527081
5,0.4882,0.3657352829988282
10,0.6158,0.40710764165509533
15,0.6905,0.4268540353995063
20,0.7371,0.43785286113652516
5,0.4847,0.36526154078843914
10,0.6104,0.4060667298947735
15,0.6876,0.4264700247938671
20,0.7351,0.4376829123204263
5,0.496,0.3721903804488106
10,0.6214,0.4127255253801859
15,0.6931,0.4317088222897587
20,0.7384,0.44241276850835065
5,0.4998,0.374289321297572
10,0.6186,0.41275543699083445
15,0.6913,0.43198418793480087
20,0.7362,0.44259507861041614
5,0.5013,0.3762545318314209
10,0.6251,0.4162817382167221
