Metric,HitRate,NDCG
5,0.0375,0.023386121755143947
10,0.0689,0.03336674795213967
15,0.0981,0.04105954906077698
20,0.1236,0.04706899154264289
5,0.0626,0.03885965444850494
10,0.1116,0.05456784010696514
15,0.1478,0.06409700554421625
20,0.1823,0.07222669753318348
5,0.0793,0.04761189431393081
10,0.1337,0.06509044567117847
15,0.1783,0.07689611662265775
20,0.2175,0.0861379408132825
5,0.0899,0.05537535916685943
10,0.1513,0.07503663606622699
15,0.2012,0.08823579491547816
20,0.2427,0.09802072238033205
5,0.0981,0.06122245312990407
10,0.1677,0.08352228760727451
15,0.2207,0.09752837478954189
20,0.2636,0.10763780135182262
5,0.1112,0.07065685903210657
10,0.1826,0.09368628467812257
15,0.2392,0.10867772442580285
20,0.2845,0.1193801780799157
5,0.12,0.07514793960209011
10,0.1904,0.09775982665574712
15,0.2488,0.11318573684909036
20,0.2962,0.12437468529171543
5,0.1238,0.07917546993325718
10,0.1962,0.10245182210177299
15,0.2529,0.1174223890681759
20,0.3004,0.12862696966276296
5,0.1292,0.08141836193129244
10,0.2049,0.10579310957358531
15,0.2611,0.12069744844171978
20,0.3045,0.13094894306076135
5,0.1355,0.08582894319938349
10,0.2146,0.11113493025330097
15,0.2744,0.12693807335068044
20,0.3201,0.13771778056044004
5,0.136,0.08943007487680374
10,0.2079,0.11251373936014408
15,0.2646,0.12749378689416177
20,0.3085,0.13784845744405888
5,0.1446,0.09431735296751872
10,0.2245,0.11987722269769609
15,0.2764,0.13360653773200146
20,0.3233,0.14468251985741032
5,0.1438,0.0934106015059972
10,0.2238,0.11911124028000243
15,0.2812,0.1342731218567994
20,0.3273,0.14514611747054984
5,0.1486,0.09596127007662167
10,0.2238,0.11998811284405686
15,0.2848,0.136055482687518
20,0.3324,0.14729356490346326
5,0.1478,0.0954818634476549
10,0.2238,0.11999649762153536
15,0.2848,0.13610531340048798
20,0.334,0.14769983156225702
5,0.1538,0.10120655240907313
10,0.2344,0.12723277551387432
15,0.2964,0.1436306818700064
20,0.3419,0.15434235045101066
5,0.1548,0.10203594644972247
10,0.2345,0.12780551865471942
