Epoch,Loss,preLoss
1,15.0318775,1.8319772
2,10.651445,0.5930242
3,4.8893433,0.46494132
4,3.7838807,0.38427222
5,3.409573,0.35216302
6,3.098719,0.31843406
7,2.851377,0.29739967
8,2.6591136,0.290468
9,2.4759033,0.26716465
10,2.3295126,0.25983736
11,2.2047784,0.24991155
12,2.096283,0.24893343
13,1.9958766,0.23818004
14,1.9098098,0.23180053
15,1.8240435,0.22102721
16,1.7586588,0.2246509
17,1.6897509,0.21716884
18,1.6228349,0.20852666
19,1.572342,0.21103334
20,1.5199848,0.20624101
21,1.4764463,0.20277731
22,1.4315045,0.19816463
23,1.3972021,0.20026822
24,1.3614408,0.19794059
25,1.3266214,0.19388458
26,1.2860792,0.18391831
27,1.2577379,0.18426703
28,1.2241251,0.17747971
29,1.2049209,0.1827245
30,1.1823494,0.18085812
31,1.1545354,0.17321435
32,1.1375681,0.17635894
33,1.1141185,0.17099182
34,1.0921445,0.1662656
35,1.0705054,0.16208911
36,1.0530663,0.16126178
37,1.0352885,0.15933712
38,1.0190046,0.15779111
39,1.0046196,0.15844274
40,0.98894817,0.15499416
41,0.97216284,0.15010598
42,0.96000636,0.14943662
43,0.94468606,0.14489433
44,0.93529737,0.14644122
45,0.9177831,0.13959256
46,0.91014814,0.14225873
47,0.8970621,0.13865617
48,0.88802546,0.13859221
49,0.8773801,0.13636862
50,0.8680911,0.13459697
51,0.8569895,0.13101539
52,0.84889203,0.13069123
53,0.8435477,0.13257368
54,0.83083713,0.12640354
55,0.82235414,0.124657854
56,0.8154014,0.123941556
57,0.80811805,0.122293256
58,0.8008889,0.12117411
59,0.79545414,0.12071743
60,0.78975356,0.12083946
61,0.7802344,0.11687734
62,0.7832532,0.12472161
63,0.7702959,0.11547814
64,0.7679249,0.117568925
65,0.7610322,0.11532366
66,0.7530316,0.11144234
67,0.74693054,0.10896076
68,0.7409355,0.10717704
69,0.7385138,0.10853388
70,0.7338457,0.10768573
71,0.7276493,0.104813375
72,0.72790223,0.108770646
73,0.71962285,0.10334281
74,0.7197411,0.10638927
75,0.7111509,0.10051002
76,0.7081965,0.10038455
77,0.7081951,0.10293762
78,0.7041297,0.10175238
79,0.7022196,0.10217838
80,0.69641364,0.098792166
81,0.69311583,0.0979697
82,0.6906103,0.09769566
83,0.69055206,0.09949677
84,0.6890761,0.100176886
85,0.6802801,0.09318948
86,0.68289745,0.09768211
87,0.6787118,0.09574143
88,0.6766658,0.09538417
89,0.6727905,0.09326057
90,0.6698595,0.09164771
91,0.6673516,0.090978645
92,0.6672711,0.09240878
93,0.6653842,0.09183965
94,0.661208,0.08915801
95,0.65985596,0.089028545
96,0.65798074,0.08870764
97,0.6589606,0.09096215
98,0.65456474,0.08758799
99,0.6551087,0.089590475
100,0.65362227,0.0890554
101,0.6528578,0.08937345
102,0.6488724,0.086494565
103,0.6492104,0.088161446
104,0.6481183,0.08768459
105,0.6450802,0.08559116
106,0.6423877,0.08383211
107,0.64195937,0.08410663
108,0.6405325,0.083749324
109,0.6407508,0.08470905
110,0.6407277,0.08543097
111,0.6383163,0.08388309
112,0.63844293,0.08465819
113,0.63648546,0.08370505
114,0.6380435,0.08582256
115,0.631822,0.079997644
116,0.63208973,0.08104455
117,0.6349959,0.08447286
118,0.6349792,0.0852242
119,0.6331243,0.08419079
120,0.6296189,0.08109823
121,0.62996453,0.082032725
122,0.62880427,0.08159485
123,0.6285023,0.08149405
124,0.62635076,0.0798022
125,0.62663954,0.08047779
126,0.62579936,0.080107614
127,0.6292424,0.084112845
128,0.62292147,0.078125276
129,0.624401,0.07992611
130,0.6256758,0.08170367
131,0.6236957,0.08041826
132,0.6246804,0.081344865
133,0.6234129,0.08042729
134,0.6214944,0.07879507
135,0.62206924,0.079862125
136,0.62331295,0.08162032
137,0.61785597,0.07616462
138,0.62132156,0.07990151
139,0.62132573,0.08018847
140,0.6185331,0.07769079
141,0.61958957,0.07891108
142,0.6198963,0.08002886
143,0.6188598,0.07871018
144,0.6180316,0.078024104
145,0.6173988,0.077484936
146,0.6161331,0.07686533
147,0.6170794,0.0774736
148,0.6173874,0.07823315
149,0.6168312,0.07808298
