Metric,HitRate,NDCG
5,0.0528,0.03415887516818335
10,0.091,0.04639196581963904
15,0.1238,0.055067581956941385
20,0.151,0.06147419021890555
5,0.07,0.044813915518252694
10,0.116,0.059621891355872945
15,0.1568,0.0703937481147814
20,0.1921,0.07872597886864734
5,0.0689,0.04451470834423184
10,0.1143,0.05908825582581244
15,0.1549,0.06979536769003421
20,0.1852,0.07694894252271771
5,0.0863,0.05470557652549568
10,0.1375,0.07110793266564958
15,0.184,0.08336479965691708
20,0.2228,0.09253618049479059
5,0.095,0.062267294019434316
10,0.1561,0.08183208643363901
15,0.2044,0.09455762116092359
20,0.2456,0.10428570012082164
5,0.0974,0.06408903533776637
10,0.1598,0.08409934543944787
15,0.2059,0.09632435619853251
20,0.2473,0.10608678608586393
5,0.0898,0.05755511148138837
10,0.1515,0.07747476186823835
15,0.2,0.0902729229529507
20,0.24,0.09972044388002611
5,0.1021,0.06564366038022312
10,0.1663,0.08613232993986071
15,0.2133,0.09856060617356822
20,0.2569,0.10885626617157809
5,0.1028,0.06775127911906992
10,0.1695,0.08912509941287088
15,0.2193,0.10230463046934246
20,0.2616,0.11228863339195766
5,0.1176,0.07694655159986796
10,0.1877,0.09945721830541564
15,0.2413,0.11362328521604075
20,0.2853,0.12402324709478141
5,0.1177,0.07651879595276107
10,0.184,0.09782336250771675
15,0.2382,0.11215670602437096
20,0.2838,0.12292439459053908
5,0.1306,0.08501430727056662
10,0.2042,0.10863397931520449
15,0.2576,0.12273417183378943
20,0.304,0.13371934485541523
5,0.1274,0.08447469842277042
10,0.2004,0.10783310656180359
15,0.2566,0.12269816960552064
20,0.3018,0.1333640504519749
5,0.1192,0.07788131136255032
10,0.1882,0.09992827453551065
15,0.2406,0.11374990069636781
20,0.2876,0.12482158160896384
5,0.136,0.0886168396857009
10,0.2079,0.1117115952183181
15,0.2643,0.1266181303881288
20,0.3113,0.13773206208079686
5,0.1315,0.08633694013306857
10,0.2055,0.11013570371033747
15,0.2599,0.12452252388110155
20,0.3069,0.1356222755791802
5,0.1238,0.08134576962876983
10,0.1989,0.1055195584021318
15,0.2534,0.11991613159550522
20,0.3039,0.13185319265767392
5,0.1248,0.08043289030297215
10,0.1976,0.10381478115798991
15,0.254,0.11870865278554003
20,0.2977,0.12902249099901472
5,0.1316,0.08652278123986538
10,0.2116,0.11215586309184104
15,0.2703,0.12769198346137067
20,0.3174,0.1387743275142784
5,0.1283,0.08415088946335621
10,0.2024,0.10795764567868323
15,0.254,0.12159207195341847
20,0.3003,0.13252182042385696
5,0.1296,0.08531674700390854
10,0.2066,0.11006520689368969
15,0.2601,0.12420525981685036
20,0.3078,0.13548137810126676
5,0.1334,0.08755056992391583
10,0.2118,0.11270536213830551
15,0.2666,0.12719626737752904
20,0.3145,0.13850416952771355
5,0.1349,0.08765184714892699
10,0.2142,0.11299992477425208
15,0.2743,0.12887164978452673
20,0.3204,0.13975764476004712
5,0.13,0.0853318917998098
10,0.2122,0.11188808702760107
15,0.2685,0.12670190161017728
20,0.3116,0.1368697462597284
5,0.137,0.08979588556336607
10,0.2189,0.1160647717283
15,0.2793,0.1319979326303679
20,0.3233,0.14236532811992797
5,0.1337,0.08701290680424145
10,0.2076,0.11064471144540948
15,0.2657,0.1259731673536686
20,0.313,0.1371379152319142
5,0.1377,0.09182702930406604
10,0.2168,0.11728498467379227
15,0.2746,0.13253519507482298
20,0.3229,0.14395893008742153
5,0.1441,0.0955994080920568
10,0.2216,0.12052188142381831
15,0.2817,0.136391817361992
20,0.3269,0.1470623481918344
5,0.137,0.09173485727907256
10,0.2139,0.1164707788524978
15,0.2745,0.13245131694790052
20,0.3221,0.1436946658255098
5,0.1447,0.09562882826801479
10,0.2229,0.12091276681519582
15,0.2829,0.13678858424706886
20,0.3309,0.14811753835404376
5,0.1432,0.09457704733197082
10,0.2186,0.11880922479872118
15,0.279,0.13472260802105732
20,0.3297,0.14668775378347723
5,0.1426,0.09455641542903973
10,0.2214,0.11993650890123793
15,0.282,0.1359059305636403
20,0.3282,0.14680344004425744
5,0.1413,0.09273687270757175
10,0.2221,0.11862573497582792
15,0.2775,0.13322553939499168
20,0.3289,0.14537294675649648
5,0.1444,0.09580785055530706
10,0.2221,0.12076165504559437
15,0.2828,0.1368084776720017
20,0.3291,0.14773786523514235
5,0.1468,0.0959582578230296
10,0.2229,0.12029573460120216
15,0.2833,0.13627585672470863
20,0.3312,0.14756117874262487
5,0.1452,0.09521816127646693
10,0.225,0.12076761519577954
15,0.2857,0.13681094453513787
20,0.3323,0.1478253070827097
5,0.1452,0.09531478537692162
10,0.2238,0.12060884743625579
15,0.2849,0.13674857963453255
20,0.333,0.14808435456948285
5,0.1456,0.09572875836509598
10,0.2236,0.12080502733274563
15,0.2835,0.13657425793106426
20,0.3319,0.1479998787518607
5,0.1459,0.09549498952746939
10,0.2251,0.1208228942378926
15,0.2865,0.13703420150584708
20,0.3332,0.14804767325180665
5,0.1447,0.09500797695051466
10,0.2242,0.12055672471562495
15,0.285,0.13657978081826722
20,0.3329,0.14787707288367477
5,0.1447,0.09509055052506905
10,0.2277,0.12172452520428635
15,0.2878,0.13755453695191694
20,0.3328,0.14817516453604632
5,0.1422,0.09356187150261767
10,0.2251,0.12023769265511847
15,0.2836,0.13567244379488855
20,0.3299,0.14660167658745532
5,0.1442,0.0949087948410611
10,0.2251,0.12097362427120859
15,0.2821,0.13599563367281384
20,0.3288,0.14702756643817372
