Epoch,Loss,preLoss
1,21.99799,2.3060849
2,7.5266848,1.1069586
3,5.2162952,0.83285314
4,4.348584,0.7149783
5,4.137015,0.6156034
6,3.5909622,0.5458047
7,3.421367,0.501032
8,2.941592,0.48975238
9,2.4985118,0.4438161
10,2.3109899,0.41852498
11,2.1784902,0.40223593
12,2.0741282,0.4013671
13,1.9577494,0.37380564
14,1.8701725,0.36556983
15,1.7863,0.35562697
16,1.7164478,0.35149467
17,1.6557577,0.34840864
18,1.5954597,0.34012863
19,1.5417011,0.33421516
20,1.4926329,0.33076867
21,1.4446509,0.32224444
22,1.3969742,0.3130092
23,1.3672068,0.31754488
24,1.3325139,0.31437576
25,1.2914584,0.3025739
26,1.252435,0.29147655
27,1.227689,0.29319707
28,1.1959517,0.28626496
29,1.1741352,0.28719229
30,1.1563087,0.28923383
31,1.135697,0.2880021
32,1.1161606,0.28691012
33,1.0889934,0.27730468
34,1.0685527,0.27391425
35,1.0495795,0.27051848
36,1.0353159,0.27087048
37,1.0230575,0.2715721
38,1.0033207,0.2645091
39,0.9874724,0.26180872
40,0.97414285,0.26028872
41,0.9649566,0.26283717
42,0.95234215,0.26099142
43,0.93772143,0.25617597
44,0.9312236,0.25950712
45,0.91461277,0.2526235
46,0.9078606,0.25460503
47,0.8992032,0.2539242
48,0.8871069,0.2492152
49,0.8843242,0.25450215
50,0.8665042,0.2442997
51,0.8639592,0.24872053
52,0.8543574,0.24585012
53,0.85115755,0.2489125
54,0.8410889,0.24459305
55,0.83102494,0.24019727
56,0.8242451,0.23954675
57,0.81968296,0.24018946
58,0.8210781,0.24663123
59,0.8051508,0.23495539
60,0.8010365,0.23600034
61,0.7944481,0.23416086
62,0.800354,0.24460573
63,0.7920437,0.23996258
64,0.7930554,0.24489065
65,0.78184307,0.23717467
66,0.7760272,0.23517433
67,0.76608396,0.22829175
68,0.76521456,0.23116426
69,0.76486474,0.23425822
70,0.7596775,0.2325361
71,0.75586957,0.23162512
72,0.759603,0.23830184
73,0.7529988,0.23433931
74,0.7404296,0.22462502
75,0.74221516,0.2289474
76,0.7350437,0.22431068
77,0.7414395,0.2331037
78,0.73514205,0.22876339
79,0.7333533,0.2290461
80,0.72958386,0.22759524
81,0.7288329,0.22887751
82,0.7310211,0.23301642
83,0.7267842,0.23055522
84,0.7234978,0.22914498
85,0.71405506,0.22144511
86,0.7203068,0.22932264
87,0.71510994,0.2258761
88,0.71714365,0.22959837
89,0.70486766,0.2187279
90,0.7102837,0.225337
91,0.7067579,0.2235013
92,0.70973814,0.22768345
93,0.70523894,0.22435756
94,0.69574183,0.21607849
95,0.6992794,0.2207294
96,0.7003842,0.22317049
97,0.7027063,0.22668616
98,0.69265014,0.21747951
99,0.69530785,0.22131948
100,0.6931721,0.22005875
101,0.69647586,0.22415379
102,0.687775,0.2167013
103,0.6937372,0.223913
104,0.6897008,0.22037868
105,0.6933902,0.22466847
106,0.6859094,0.21783562
107,0.68610084,0.21871392
108,0.6855799,0.21929732
109,0.682006,0.2163491
110,0.6818732,0.21716368
111,0.6833659,0.21922633
112,0.6834175,0.21952932
113,0.68468773,0.22180367
114,0.68184257,0.21964173
115,0.6722503,0.21023326
116,0.674215,0.21299092
117,0.67938316,0.21867771
118,0.68389,0.22374646
119,0.67994183,0.2202456
120,0.67074376,0.2117585
121,0.6779655,0.21932375
122,0.67545146,0.21744916
123,0.6707794,0.2131067
124,0.67089736,0.21365246
125,0.6718384,0.2149274
126,0.67135084,0.21486887
127,0.67710626,0.22102448
128,0.6680552,0.2120529
129,0.67142135,0.21595855
130,0.6747279,0.21944138
131,0.66892856,0.21419516
132,0.6771282,0.22240487
133,0.67050517,0.21610455
134,0.6685677,0.2143838
135,0.67054886,0.21698837
136,0.6661304,0.21298929
137,0.66573894,0.21246807
138,0.6603316,0.20722544
139,0.66723543,0.21470904
140,0.66734195,0.21503858
141,0.66693413,0.214643
142,0.66917026,0.21744673
143,0.66330796,0.21138331
144,0.6682386,0.21653566
145,0.6677836,0.21615024
146,0.6660687,0.21495275
147,0.6615984,0.21030793
148,0.66198313,0.21106203
149,0.6617618,0.21112747
