Metric,HitRate,NDCG
5,0.0539,0.034639802174277645
10,0.0918,0.04678774374168221
15,0.1242,0.055315977006092365
20,0.1511,0.06167142698284598
5,0.0719,0.04498350943959664
10,0.1253,0.06197126648890933
15,0.1702,0.0737945791232055
20,0.2062,0.08229313848894201
5,0.0919,0.05915303459627696
10,0.1509,0.07807075372036386
15,0.1961,0.09000797974900286
20,0.2313,0.09833343970934293
5,0.1087,0.06953099336481815
10,0.1731,0.0903182176607605
15,0.2221,0.10326219799623901
20,0.2648,0.113350111219017
5,0.1215,0.07921638048626378
10,0.1894,0.10103611347396393
15,0.2384,0.11396935563655154
20,0.2833,0.12456437711857225
5,0.1223,0.07899177629096225
10,0.1949,0.10232375173899493
15,0.2481,0.11637140727038665
20,0.2929,0.12695184704876464
5,0.1279,0.08281099136558606
10,0.2017,0.10655146670418096
15,0.2603,0.12202404042333795
20,0.3051,0.13259181123450914
5,0.1247,0.08166418161934451
10,0.196,0.10457112402617308
15,0.2498,0.11881812815936171
20,0.2959,0.12970882766907413
5,0.1328,0.08678914676982268
10,0.2045,0.1096859936600569
15,0.2579,0.12379209955858848
20,0.3006,0.13387940799580095
5,0.1406,0.09288256305039758
10,0.2178,0.1176923316281767
15,0.2737,0.13242322093912773
20,0.3195,0.14325741250822083
5,0.1342,0.08911138374715055
10,0.2081,0.11280546814815513
15,0.2677,0.12855438419533935
20,0.3099,0.1385270481292981
5,0.1419,0.09459036501430985
10,0.2212,0.12004520362297735
15,0.2782,0.1350193858862213
20,0.3242,0.14588019141084788
5,0.1432,0.09476102740924877
10,0.225,0.12115324747756115
15,0.2825,0.13636922494621095
20,0.3291,0.14736516416258696
5,0.1454,0.09609381577161778
10,0.2218,0.12064064189780517
15,0.2781,0.1355222717716086
20,0.3222,0.14595012752016895
5,0.1419,0.09416529357968119
10,0.2208,0.11950143429021744
15,0.2804,0.13520311290681264
20,0.3255,0.14585045192919985
5,0.1461,0.09818216014070787
10,0.2292,0.12483197196356928
15,0.2913,0.14121981248292462
20,0.3384,0.1523434748900663
5,0.1494,0.1002482957941511
10,0.2315,0.12666060120981704
15,0.2898,0.1421168641987136
20,0.3388,0.1536717911697994
