Epoch,Loss,preLoss
1,15.493703,1.6886454
2,9.375236,0.69812554
3,7.727797,0.51854974
4,8.4404545,0.45879492
5,4.6468177,0.42044488
6,4.3906717,0.38466033
7,3.4078083,0.35745615
8,3.575203,0.34212855
9,3.1813974,0.31892285
10,2.9134028,0.30731285
11,2.456347,0.30503744
12,2.3886924,0.29259467
13,2.6406398,0.28003275
14,2.365027,0.2724564
15,2.037842,0.2672052
16,1.9158022,0.26735038
17,1.8518448,0.254594
18,1.9388456,0.25659958
19,1.7286942,0.25690404
20,1.6891124,0.25340018
21,1.6144358,0.2444524
22,1.661204,0.2509895
23,1.5711462,0.24704766
24,1.5346016,0.24879798
25,1.4645808,0.24536781
26,1.4123027,0.23373906
27,1.4387567,0.23807713
28,1.3852909,0.23798582
29,1.3488853,0.23588204
30,1.3399068,0.23616037
31,1.3535827,0.229969
32,1.2987344,0.23708391
33,1.299889,0.23092286
34,1.2763371,0.22152276
35,1.2347344,0.2221019
36,1.2036743,0.22119656
37,1.2026209,0.22416992
38,1.1825771,0.2189152
39,1.1782968,0.2156574
40,1.1599195,0.21303053
41,1.1464288,0.2138278
42,1.1565166,0.21715462
43,1.1302335,0.21076941
44,1.1104238,0.20538077
45,1.0900742,0.20510204
46,1.089144,0.21012995
47,1.0857389,0.20958889
48,1.098912,0.20444016
