Metric,HitRate,NDCG
5,0.0469,0.030671870439390448
10,0.0816,0.04175672028365648
15,0.1104,0.04936246432402076
20,0.1345,0.05506351242524617
5,0.077,0.04889949819383918
10,0.1228,0.06357306945222775
15,0.1614,0.07373889025985947
20,0.1903,0.08058280386278195
5,0.0659,0.042978500584762644
10,0.1075,0.05623901703498385
15,0.1449,0.06612051798548042
20,0.1771,0.07373686942819933
5,0.0869,0.05640643844289427
10,0.1413,0.07384655202513772
15,0.182,0.08457828258608843
20,0.2214,0.09387291546186403
5,0.0845,0.05488863558063666
10,0.1365,0.07157462479286412
15,0.1769,0.0822394619861452
20,0.2132,0.09080296202534413
5,0.1025,0.06672659028186613
10,0.1613,0.08564109385620877
15,0.208,0.09796672010000605
20,0.2474,0.10726973949007765
5,0.0918,0.05932511649948651
10,0.151,0.07833789251166576
15,0.2,0.0912611744970116
20,0.2402,0.10075478731442097
5,0.0895,0.056614529928169455
10,0.1451,0.07452798635022714
15,0.1912,0.08670764386253536
20,0.235,0.09706846677151813
5,0.0913,0.05935958996221348
10,0.1508,0.0785659030561324
15,0.1958,0.09044583968369238
20,0.2374,0.10029032141151377
5,0.107,0.07026038218056839
10,0.1667,0.08943988038675821
15,0.2155,0.10233325772341491
20,0.2578,0.11231382618902477
5,0.1068,0.06953044335205272
10,0.1672,0.08883537436096912
15,0.2193,0.1025737204377914
20,0.2624,0.11274738080145273
5,0.1119,0.07356168828836536
10,0.1775,0.09455432392639218
15,0.2309,0.10865344145027504
20,0.2762,0.119351991832814
5,0.1187,0.07753062650960438
10,0.1807,0.0973466114040993
15,0.2358,0.1118853970160824
20,0.2837,0.12320103314115391
5,0.1127,0.07185473215125837
10,0.1801,0.09347475561799973
15,0.2295,0.10655284229787367
20,0.2715,0.11644189432453778
5,0.1214,0.07984066171817604
10,0.1903,0.10197773630095829
15,0.2422,0.11566110492393161
20,0.2904,0.12702453036088834
5,0.1169,0.07530917142371392
10,0.1834,0.0967109648668695
15,0.2395,0.11153411109544524
20,0.2858,0.12246504772322064
5,0.1177,0.07451735036588236
10,0.1843,0.09595707426352452
15,0.2408,0.11088068666509783
20,0.286,0.12156514453942664
5,0.1235,0.0791973460242559
10,0.1935,0.10169240274241487
15,0.249,0.11633794432990771
20,0.2941,0.12699049841833177
5,0.129,0.08313304022103887
10,0.2006,0.10620660603092258
15,0.2575,0.12128229174381432
20,0.3054,0.1325939523642388
5,0.1271,0.08208759550641767
10,0.1984,0.10501289640213757
15,0.2568,0.1204661024558123
20,0.303,0.13137915202803488
5,0.127,0.0823561960927977
10,0.2028,0.10662414173908553
15,0.2574,0.12106755053678898
20,0.3044,0.13215266085933805
5,0.1276,0.08336672622852657
10,0.2039,0.10795374803655738
15,0.2618,0.12322715785525072
20,0.3072,0.1339557774285236
5,0.1302,0.08454864147971329
10,0.2034,0.1080009109455515
15,0.2545,0.12153087668013443
20,0.3037,0.1331726841885662
5,0.1305,0.08511902815952258
10,0.1974,0.10664986534632674
15,0.2532,0.12140588595998052
20,0.3023,0.13299685061922978
5,0.1324,0.08582696959170341
10,0.2054,0.10929978107834457
15,0.2616,0.12414935712547845
20,0.3133,0.13634557111752615
5,0.1265,0.08204178701081569
10,0.2007,0.10596709871921373
15,0.2563,0.12066069012496852
20,0.3034,0.13179447523257104
5,0.1331,0.08612134859102002
10,0.2062,0.1096462402096023
15,0.2678,0.1259079791176862
20,0.3149,0.13704214879450327
5,0.1334,0.08732186463112818
10,0.2085,0.1113807429652083
15,0.2668,0.12680011846105263
20,0.3141,0.13797619298422378
5,0.1361,0.08895445662785699
10,0.2082,0.11207880526559674
15,0.265,0.12709972954302154
20,0.3117,0.13813615263175094
5,0.1333,0.08796039014213144
