Epoch,Loss,preLoss
1,8.397518,2.7973337
2,5.1183743,1.115654
3,4.4253263,0.84014016
4,3.930338,0.73925316
5,3.558762,0.67136204
6,3.2305634,0.5902072
7,2.9927719,0.55941373
8,2.7798967,0.51958215
9,2.6058953,0.49324122
10,2.4450698,0.4641314
11,2.31247,0.44429356
12,2.2187161,0.45348248
13,2.0946813,0.41746634
14,2.0017667,0.40427214
15,1.9187406,0.3955539
16,1.8422201,0.38513118
17,1.7742199,0.37702954
18,1.7070065,0.36410242
19,1.6513628,0.3568032
20,1.6133277,0.3649411
21,1.5592052,0.35150972
22,1.5165026,0.34724683
23,1.4824159,0.34814674
24,1.445604,0.3438473
25,1.406771,0.33505398
26,1.3709743,0.3281658
27,1.3528012,0.33624792
28,1.3166785,0.32382756
29,1.2933207,0.3222599
30,1.2766378,0.32660696
31,1.2467965,0.31601882
32,1.2307473,0.31974274
33,1.2006694,0.30732718
34,1.1838305,0.30661952
35,1.1688942,0.3074645
36,1.1506879,0.30340832
37,1.13972,0.305793
38,1.1186938,0.297377
39,1.1045096,0.2960338
40,1.0924395,0.29592645
41,1.0792999,0.29385978
42,1.0690259,0.29412585
43,1.0567732,0.29148796
44,1.0391548,0.28354755
45,1.0264059,0.28012937
46,1.0265303,0.2885198
47,1.0139084,0.28361747
48,1.0045086,0.28210476
49,1.0060524,0.2913269
50,0.9854907,0.27771106
51,0.9814383,0.2802317
52,0.96454,0.27011305
53,0.9706265,0.282253
54,0.9570047,0.27434638
55,0.9465378,0.26945817
56,0.9409873,0.26959476
57,0.93800676,0.2716382
58,0.9397491,0.2783496
59,0.92297345,0.26572937
60,0.9208385,0.2683317
61,0.9109761,0.2631146
62,0.9162444,0.2727223
63,0.9134183,0.2732633
64,0.9117457,0.27537006
65,0.8993704,0.26657552
66,0.89420384,0.265047
67,0.88545835,0.25948936
68,0.8854805,0.26315123
69,0.8821497,0.26275155
70,0.87820226,0.26222652
71,0.8727396,0.2595076
72,0.87779427,0.26768655
73,0.87120914,0.2636054
74,0.86332595,0.25833595
75,0.86214036,0.25947547
76,0.8565222,0.2563329
77,0.8593605,0.2612403
78,0.857448,0.26131818
79,0.85480833,0.26061228
80,0.8480592,0.2558246
81,0.8505494,0.26040816
82,0.8501464,0.2618252
83,0.84522533,0.2586189
84,0.8435772,0.2587169
85,0.8353591,0.25211304
86,0.84315956,0.26167858
87,0.8383988,0.25841334
88,0.8366767,0.25824127
89,0.83312905,0.25594366
90,0.8321997,0.25633246
91,0.82831717,0.25404936
92,0.8370301,0.26406464
93,0.827655,0.25570953
94,0.8206345,0.24982722
95,0.8216444,0.25180784
96,0.82838,0.2599415
97,0.82848644,0.26109555
98,0.81905806,0.25250837
99,0.81835777,0.25287926
100,0.81832856,0.25361365
101,0.8223497,0.25840718
102,0.8183349,0.2554049
103,0.8170555,0.2555053
104,0.8132637,0.25221986
105,0.8152729,0.25484878
106,0.80867785,0.24887621
107,0.8089824,0.24986759
108,0.8100916,0.25185817
109,0.8050187,0.24741904
110,0.8104042,0.2536354
111,0.8056369,0.24935074
112,0.80869293,0.25271523
113,0.808839,0.25388595
114,0.80589485,0.2515092
115,0.7937619,0.23948443
116,0.80272657,0.24938425
117,0.8041631,0.25116187
118,0.8108471,0.25826478
119,0.804808,0.25292218
120,0.7951225,0.24380903
121,0.802804,0.25183535
122,0.8015873,0.25120512
123,0.7996033,0.24958488
124,0.7991509,0.24946436
125,0.7975173,0.24824676
126,0.79712474,0.24810854
127,0.80961883,0.26101834
128,0.7963356,0.24789605
129,0.80028504,0.2522692
130,0.8029103,0.2550203
131,0.79411286,0.24685875
132,0.801983,0.25473124
133,0.79221284,0.24526457
134,0.793911,0.24716926
135,0.79839385,0.25225097
136,0.7959868,0.2502851
137,0.79179305,0.24590537
138,0.788195,0.24249637
139,0.7923392,0.24709857
140,0.7928759,0.24798135
141,0.7973289,0.25235015
142,0.7943103,0.24989574
143,0.7946421,0.2500851
144,0.79515225,0.25076586
145,0.79330385,0.2489713
146,0.7957012,0.25178128
147,0.78566504,0.24170673
148,0.79555535,0.25201687
149,0.7905399,0.24706177
