Metric,HitRate,NDCG
5,0.0426,0.026235574479042453
10,0.0755,0.03682879756903005
15,0.1037,0.044240858338420334
20,0.1257,0.049449294241982945
5,0.0524,0.034106629729476194
10,0.0871,0.04522702764671581
15,0.1215,0.054295797945705396
20,0.1528,0.061682089323013466
5,0.052,0.03424789367036599
10,0.0903,0.046451154490525524
15,0.1244,0.05544517436988658
20,0.1517,0.06188292856518361
5,0.0593,0.03939338247935317
10,0.0995,0.052300037688849124
15,0.1321,0.060880221418898886
20,0.1639,0.06839179636473794
5,0.0575,0.038226020326844426
10,0.0968,0.050717519287044266
15,0.1352,0.0608459032581637
20,0.1687,0.06877264007290512
5,0.0654,0.0420709388108013
10,0.1027,0.053971711578359075
15,0.1357,0.06269351594195964
20,0.1677,0.07025511277399642
5,0.0641,0.042093379529334604
10,0.1037,0.05482656814030379
15,0.1415,0.06479756607491302
20,0.1704,0.07161485643139816
5,0.0591,0.038251475641364135
10,0.1043,0.052741703040918526
15,0.1392,0.06194877137448125
20,0.1707,0.06938053546613857
5,0.063,0.04108815299336803
10,0.1047,0.05448427328147845
15,0.1417,0.06424167230949379
20,0.1712,0.07121641317854624
5,0.0656,0.04287450296858291
10,0.1056,0.05567409778168723
15,0.1365,0.06381545810378636
20,0.1682,0.07128772973957373
5,0.0517,0.03373276166532358
10,0.0949,0.047541062105850025
15,0.1305,0.0569556426560572
20,0.1616,0.06430004752641057
5,0.0589,0.03849548275229607
10,0.0985,0.051192132679775126
15,0.1328,0.0602849132600185
20,0.162,0.06719971371599119
5,0.0621,0.03988957786156539
10,0.1033,0.05313068630424758
15,0.1369,0.061973499468663804
20,0.1721,0.07028082653287267
5,0.0652,0.04195752019209157
10,0.1109,0.05655850139898764
15,0.1464,0.06595694106598123
20,0.1776,0.0733423173926662
5,0.0657,0.042832054484474295
10,0.1077,0.056331185921554276
15,0.1443,0.0660069766270616
20,0.1761,0.0735132854487961
5,0.0653,0.04300385544765516
10,0.1089,0.05699591068989629
15,0.144,0.06627228263493373
20,0.1729,0.07310066801185602
5,0.0699,0.045446979730778936
10,0.1132,0.05926317369719224
15,0.1486,0.06862656582991752
20,0.1821,0.07654214849205573
5,0.0684,0.044445808125593435
10,0.109,0.05744184502301599
15,0.1436,0.0665783782004416
20,0.1754,0.07408244680506552
5,0.0644,0.04210735244999514
10,0.1081,0.05611290215171683
15,0.1423,0.06515165964035582
20,0.1747,0.07279333270049967
5,0.066,0.042543671054189096
10,0.1107,0.0568214193282845
15,0.1466,0.06630224100959058
20,0.1778,0.07367774529866863
5,0.0637,0.04162324865747293
10,0.1025,0.054067821149317345
15,0.1363,0.06298922105238361
20,0.1676,0.07039329821839828
5,0.0684,0.044121077467570505
10,0.1069,0.05643959464080251
15,0.1419,0.0656621428896354
20,0.1731,0.0730368118545761
5,0.0691,0.04561736393316628
10,0.1104,0.058901791282740125
15,0.1444,0.06791089216676825
20,0.1743,0.07497849349845367
5,0.0694,0.04525658328190271
10,0.1103,0.05831781818211438
15,0.1451,0.06748526598935553
20,0.1765,0.07489250780179797
5,0.0713,0.04665195307124746
10,0.1105,0.059132326797480685
15,0.1485,0.0692018203200325
20,0.178,0.07617015472684742
5,0.0698,0.045659074202973715
10,0.113,0.0594460591656367
15,0.1442,0.06768401883721419
20,0.1748,0.07489732399456352
5,0.0653,0.04200182660852603
10,0.1087,0.05592334829462393
15,0.1429,0.06494764748407042
20,0.1742,0.07233567401461324
5,0.0735,0.04736361614523637
10,0.1143,0.06029253294657541
15,0.1492,0.06951416384702505
20,0.1795,0.07667149979826651
5,0.0713,0.04635113256825147
10,0.1159,0.06064106541814539
15,0.1513,0.06997806059308861
20,0.181,0.07698111038464334
5,0.0709,0.04583997225876841
10,0.1123,0.05908825043242042
15,0.1488,0.0687209384123424
20,0.1821,0.07658767201438343
5,0.0686,0.04460889097790823
10,0.1132,0.058911149611095004
15,0.1489,0.06834991403168304
20,0.1791,0.0754937532182593
5,0.0715,0.04611997052959151
10,0.1158,0.0602429327088763
15,0.1529,0.07003759636503326
20,0.1812,0.07671203708742252
5,0.0699,0.04516273358748343
10,0.1143,0.05936563652618283
15,0.1513,0.06914645695635863
20,0.1804,0.07601084153658447
5,0.0724,0.04646858419329199
10,0.1143,0.05980286302109964
15,0.1497,0.06913222730167314
20,0.1789,0.0760156213502407
5,0.0707,0.04561174802235437
10,0.113,0.0591787610292782
15,0.1502,0.06898309007919207
20,0.1811,0.07628159883729779
5,0.0696,0.0453114461044023
10,0.1126,0.05903887619246774
15,0.1494,0.06875405364552671
20,0.1825,0.07656667352543514
5,0.0706,0.04529716838328492
10,0.1141,0.05931611371728794
15,0.1492,0.06859334505366259
20,0.1802,0.07592681948537093
5,0.0693,0.04534112651252083
10,0.1126,0.059218395711927906
15,0.1505,0.06924570372251197
20,0.182,0.07665430881568645
5,0.0717,0.04591067693630987
10,0.1149,0.05968639809740408
15,0.1513,0.06931631241774125
20,0.1833,0.0768733189632205
5,0.0688,0.04473460699851881
10,0.1111,0.058221367385819005
15,0.1464,0.06749525753793324
20,0.1778,0.07490403348703187
5,0.0707,0.045425199813035236
10,0.1134,0.05916544985045125
15,0.151,0.06906065828183172
20,0.1826,0.07651178559953994
5,0.0713,0.045974476889974886
10,0.1143,0.059805158808389
15,0.1503,0.06930396840318284
20,0.1814,0.07664190359585066
5,0.0716,0.046278503129698376
10,0.1143,0.05995294086459438
15,0.1495,0.06924612464820314
20,0.1802,0.07648793558342129
5,0.0717,0.04638656325476581
10,0.1138,0.059853160149898735
15,0.1522,0.06996353166094932
20,0.1813,0.07683311385441959
5,0.0714,0.04587832506201819
10,0.1155,0.05996498129701131
15,0.1509,0.06933438760964605
20,0.18,0.07620920072557487
5,0.0719,0.046559716570775705
10,0.1148,0.06031126195919087
15,0.1513,0.0699557342721398
20,0.181,0.07697746432072598
5,0.0714,0.04604669604327307
10,0.1156,0.060233270592057304
15,0.1518,0.06980201274422304
20,0.182,0.07694289383692304
5,0.0706,0.04563875454357845
10,0.1152,0.059980961772017165
15,0.1517,0.06960841051609172
20,0.183,0.07697254929923172
5,0.0704,0.04539473442709939
10,0.1148,0.05965610173161942
15,0.1494,0.06878669795817333
20,0.1821,0.07650793360015712
5,0.0717,0.046337807375319624
10,0.1151,0.060213557667607075
15,0.1492,0.06920490330055105
20,0.1809,0.07669783884964712
5,0.0714,0.04617015402471221
10,0.1147,0.060067334843270086
15,0.151,0.0696327525946459
20,0.1828,0.077129816548765
