Metric,HitRate,NDCG
5,0.0375,0.023355553429345772
10,0.0689,0.03333652298388408
15,0.0978,0.040957582774644175
20,0.1233,0.046972673355721396
5,0.0619,0.03874550084771467
10,0.1118,0.05473626559770459
15,0.1482,0.0643340933642345
20,0.1816,0.07221983507581138
5,0.0797,0.04795124300789342
10,0.1325,0.0648711848820371
15,0.1786,0.07708077742245516
20,0.2192,0.08665059911209355
5,0.0902,0.05586409598502784
10,0.1526,0.07577072252236118
15,0.1985,0.08789153035321984
20,0.2414,0.09803573648670956
5,0.0971,0.060501264177544985
10,0.1675,0.08304925231526981
15,0.2189,0.09663764261941533
20,0.2606,0.1064971139031484
5,0.112,0.07080331793540062
10,0.1851,0.09429995657794336
15,0.2388,0.1084961402887506
20,0.2853,0.11948035931648787
5,0.1209,0.07551445216627563
10,0.1944,0.09911069334315277
15,0.2487,0.11345213711226582
20,0.2944,0.12425416779706136
5,0.1243,0.07971977360221448
10,0.1958,0.1027277013896021
15,0.2522,0.11767763406343752
20,0.2998,0.12891510292128602
5,0.1278,0.08120034722042557
10,0.2047,0.10594783657449507
15,0.2601,0.12059186752068426
20,0.3049,0.1311696823784355
5,0.1343,0.08532054014704418
10,0.214,0.11084056458714045
15,0.2724,0.1262810900419028
20,0.319,0.13725048889838964
5,0.1377,0.09007077056366868
10,0.2079,0.11271454910597872
15,0.2646,0.12764715539400778
20,0.3093,0.13821151765337852
5,0.1455,0.09409864408134969
10,0.2195,0.11786956035494084
15,0.2769,0.1330988659511602
20,0.3231,0.1439912092600631
5,0.1452,0.09401477243888835
10,0.2252,0.11949689217828059
15,0.2813,0.13432011175792083
20,0.3285,0.14544437854520895
