Epoch,Loss,preLoss
1,15.031901,1.8320853
2,10.648821,0.5931235
3,4.908592,0.46530938
4,3.7876067,0.38477564
5,3.4140887,0.35214326
6,3.1048422,0.31914914
7,2.8581614,0.2980167
8,2.6661441,0.29084116
9,2.4825451,0.2669216
10,2.3369725,0.2603853
11,2.2120347,0.24985662
12,2.1039314,0.2483994
13,2.004414,0.23854868
14,1.9190012,0.23245785
15,1.8325799,0.22075292
16,1.7677128,0.22509041
17,1.6990621,0.21763615
18,1.631571,0.20867789
19,1.58161,0.21149814
20,1.5287716,0.20617238
21,1.484875,0.20241697
22,1.4402487,0.19831592
23,1.4061282,0.20039959
24,1.3707896,0.19808018
25,1.3354921,0.19365819
26,1.295118,0.18400498
27,1.2675285,0.18495426
28,1.2339983,0.17799705
29,1.2143642,0.18271622
30,1.1917069,0.18080476
31,1.1640483,0.17326155
32,1.1466483,0.17618498
33,1.12295,0.17063919
34,1.1012013,0.16605738
35,1.0806769,0.1627143
36,1.0627754,0.16144595
