Metric,HitRate,NDCG
5,0.0552,0.036285784041958
10,0.0891,0.04714854340992133
15,0.1162,0.054303398668654794
20,0.1424,0.06049668149370698
5,0.063,0.040194437474804376
10,0.1073,0.054362109256505656
15,0.1471,0.06488053125208693
20,0.1813,0.07294139364424829
5,0.0763,0.049359448366238894
10,0.1269,0.06564453978137237
15,0.1682,0.07651401706374171
20,0.2004,0.08412213719310127
5,0.0973,0.06342431951934967
10,0.1582,0.08291547617181723
15,0.2026,0.09463775208496426
20,0.245,0.10465290049975186
5,0.0966,0.061511434968652884
10,0.1541,0.08002083291938945
15,0.1971,0.09133604488404913
20,0.2353,0.10033645002669284
5,0.1195,0.07599351615017262
10,0.1907,0.09882363857285034
15,0.2456,0.1132849422474577
20,0.2895,0.12362112579053357
5,0.1306,0.08455856028109208
10,0.2047,0.1084059386120211
15,0.2645,0.12420880176069256
20,0.307,0.13422631021322945
5,0.1347,0.08875824610157843
10,0.2097,0.11288084767670448
15,0.2661,0.12781516288836015
20,0.3099,0.13815386858131135
5,0.1208,0.0783842172644781
10,0.1921,0.10122083460042655
15,0.247,0.11573369565547582
20,0.292,0.12637016752395983
5,0.1456,0.09505981658488051
10,0.2191,0.11867218832544627
15,0.2759,0.13367825428792743
20,0.3214,0.14440337790217442
5,0.1352,0.08951418684424357
10,0.2112,0.1138770455812865
15,0.2644,0.12795158406009297
20,0.3144,0.13974695079001867
5,0.1436,0.09455546558081754
10,0.2179,0.11842123517272353
15,0.2748,0.13347812364595674
20,0.3171,0.14347232789974193
5,0.1372,0.0906625471774184
10,0.2133,0.1150787590737328
15,0.2686,0.12968327902493587
20,0.3185,0.1414552415214666
5,0.1425,0.09305949424126238
10,0.2169,0.11702487188249593
15,0.2736,0.1319670069904116
20,0.3214,0.14322328867562859
5,0.1456,0.09596696601339472
10,0.2212,0.12030934173395001
15,0.2782,0.13539596362076917
20,0.3265,0.14681644793945806
5,0.1442,0.0959336236083169
10,0.224,0.12141760445971354
15,0.2818,0.1367007932318697
20,0.3278,0.1475770499671751
5,0.1471,0.0977475632894925
10,0.2271,0.12349768586781386
15,0.284,0.13853912422869902
20,0.3279,0.14890042371304263
5,0.1592,0.10385766966182274
10,0.2388,0.12955645351941247
15,0.2963,0.14470598103879853
20,0.3459,0.1564066166609228
5,0.1541,0.10238623556466883
10,0.2386,0.12961723768039177
15,0.2991,0.14562588525983453
20,0.3473,0.15701605081085201
5,0.1468,0.09624454895274812
