Metric,HitRate,NDCG
5,0.0482,0.030873829240573178
10,0.0823,0.04183860266481342
15,0.1093,0.04896118697447441
20,0.1304,0.05394159869297904
5,0.0672,0.04189850740381101
10,0.1171,0.05788740615558833
15,0.1539,0.06760552560719087
20,0.1918,0.07654981030650135
5,0.0783,0.050380913292969606
10,0.13,0.06687454614194485
15,0.1719,0.0779494056275103
20,0.2069,0.08621356503611398
5,0.1019,0.06568813260277619
10,0.1662,0.08630174029339642
15,0.2119,0.09837778472217712
20,0.2531,0.10812101299534196
5,0.1132,0.07251039269788039
10,0.1792,0.09364549801601524
15,0.2298,0.10698945714540674
20,0.2692,0.11629951883235158
5,0.1221,0.07894058625278916
10,0.1931,0.10182166528251581
15,0.2458,0.11572798277442425
20,0.2918,0.12656905201818178
5,0.1297,0.08443048509454483
10,0.1958,0.10581093324438531
15,0.2481,0.11963581489258689
20,0.2927,0.1301765034862991
5,0.1305,0.08633519518398673
10,0.2073,0.11100679411767442
15,0.2603,0.12504167865014157
20,0.3036,0.13527230480688493
5,0.1353,0.08979462836975134
10,0.2055,0.11248013444233475
15,0.2616,0.12728318437363828
20,0.3102,0.13874291207139605
5,0.1429,0.09360457337395257
10,0.2182,0.11789384183071994
15,0.2744,0.13271330606457543
20,0.322,0.14395673361079658
5,0.1426,0.09557628111389693
10,0.2182,0.11977243193608633
15,0.2746,0.13468924785816228
20,0.323,0.14609600767901612
5,0.1471,0.0988091801292625
10,0.227,0.12447017278422624
15,0.2849,0.13977097953968126
20,0.3353,0.1516630091269138
5,0.1508,0.10152324820913737
10,0.2274,0.12611586535190208
15,0.285,0.14130184997029577
20,0.3351,0.15313160777817955
5,0.1474,0.09835652379634253
10,0.2286,0.12434439144450996
15,0.2902,0.140601914387661
20,0.3403,0.1524279599984146
5,0.1536,0.10257285883429201
10,0.2344,0.1285169616326946
15,0.2909,0.1434392149263261
20,0.3427,0.15566730733450862
5,0.1565,0.1044749261378052
10,0.2329,0.1290766045159063
15,0.2886,0.14382269075241833
20,0.3392,0.1557625443599728
5,0.1549,0.10530410571739571
10,0.2349,0.13096982217018668
15,0.2952,0.14693037058237496
20,0.3416,0.15790133762627648
5,0.1567,0.1049690264827868
10,0.2365,0.1305889929839823
15,0.2995,0.14723546578326005
20,0.345,0.15799335355360475
5,0.1582,0.10600234555673371
10,0.2369,0.1313611765742611
15,0.2989,0.14775929688257117
20,0.3486,0.15949010639094136
5,0.1626,0.1071724659004702
10,0.243,0.13291521082935556
15,0.3027,0.14864518556186346
20,0.352,0.16028251150580744
5,0.16,0.106134686970414
10,0.2414,0.13234660566536502
15,0.3082,0.15002332032710503
20,0.3552,0.1611388712988353
5,0.1614,0.10626517307503121
10,0.2435,0.1325911047121179
15,0.3024,0.14812333093795704
20,0.3552,0.16060321757641882
5,0.1562,0.10459601972840853
10,0.2421,0.13217629643263232
15,0.3057,0.14899986334169069
20,0.3555,0.16075060579433295
5,0.1616,0.10919863985967813
10,0.2469,0.1366709031957719
15,0.3045,0.15189897017593085
20,0.3583,0.16462813331691342
5,0.1627,0.10974515050295854
