Epoch,Loss,preLoss
1,12.823062,1.7929169
2,6.732834,0.77007616
3,6.404246,0.56743497
4,4.8751245,0.4741041
5,4.202228,0.42141232
6,3.8361473,0.37835154
7,3.3129075,0.35797337
8,3.045533,0.3578563
9,2.7406006,0.32971314
10,2.6060853,0.3182119
11,2.3856006,0.30432564
12,2.211491,0.30404246
13,2.0775056,0.28679496
14,1.9728314,0.28231305
15,1.8725398,0.27240694
16,1.7911648,0.2698888
17,1.7169917,0.26387876
18,1.644656,0.25464964
19,1.5914904,0.25856218
20,1.5394759,0.25775906
21,1.4883888,0.25241712
22,1.4396584,0.24798155
23,1.3960488,0.24440317
24,1.3631017,0.24815162
25,1.3159592,0.23597923
26,1.2793376,0.2329249
27,1.2545207,0.23755033
28,1.2128546,0.22416842
29,1.189275,0.2264648
30,1.1674744,0.22724414
31,1.1412385,0.22386353
32,1.1234975,0.22782724
33,1.0954936,0.21880892
34,1.0742362,0.21638581
35,1.0541017,0.21399169
36,1.0442883,0.2199837
37,1.0319661,0.22168796
38,1.006467,0.21042533
39,0.99115515,0.21060884
40,0.974913,0.20771118
41,0.9654476,0.21111257
42,0.9564034,0.21331981
43,0.9367154,0.20402834
44,0.92091495,0.1987121
45,0.90542,0.19413579
46,0.9012634,0.19999275
47,0.8919792,0.20003025
48,0.8791108,0.19601844
49,0.8708874,0.1964916
50,0.8618196,0.1952805
51,0.8550925,0.19584095
52,0.8448847,0.19276828
53,0.8331617,0.18789029
54,0.82486993,0.1862868
55,0.8135664,0.18129428
56,0.812562,0.1867266
57,0.8028369,0.18259493
58,0.80217427,0.1877456
59,0.7916885,0.18170662
60,0.7865067,0.18192945
61,0.7764618,0.17717047
62,0.7766735,0.18229607
63,0.77024746,0.17975934
64,0.7725764,0.18602082
65,0.761973,0.17972198
66,0.7543568,0.17621979
67,0.7473205,0.17257884
68,0.74281466,0.172115
69,0.7397485,0.17250831
70,0.73244095,0.1687373
71,0.7307015,0.1702159
72,0.7332916,0.17627338
73,0.7221013,0.16788298
74,0.71896785,0.16757697
75,0.71547955,0.1665776
76,0.7116202,0.1653837
77,0.7125484,0.16901654
78,0.708853,0.16753319
79,0.70611393,0.16744629
80,0.7006456,0.1643795
81,0.6968454,0.16283907
82,0.6948849,0.16298394
83,0.6937118,0.16382095
84,0.6942538,0.16640918
85,0.68688864,0.16082445
86,0.6908242,0.1666615
87,0.6848391,0.16249491
88,0.68492544,0.16421844
89,0.68130815,0.16225585
90,0.67530227,0.15785986
91,0.6741444,0.15831693
92,0.6743179,0.15989248
93,0.67171973,0.15866128
94,0.6652871,0.15357123
95,0.66580164,0.15512843
96,0.66390175,0.15473959
97,0.6668333,0.15875319
98,0.65943885,0.15244035
99,0.6633691,0.15765038
100,0.6597316,0.15482885
101,0.6650273,0.16106497
102,0.655717,0.15307304
103,0.6558614,0.15430501
104,0.65548414,0.15456712
105,0.6528962,0.15300182
106,0.6486432,0.14936367
107,0.6499791,0.15143795
108,0.650665,0.15324242
109,0.64958,0.15287343
110,0.6476305,0.15172905
111,0.6458888,0.15071316
112,0.64774024,0.15303089
113,0.6456211,0.15189923
114,0.6466851,0.15347368
115,0.6398269,0.1471132
116,0.64055806,0.14867531
117,0.64704514,0.15568498
118,0.6495232,0.15862885
119,0.642799,0.15261532
120,0.6368865,0.14719996
121,0.64107215,0.15188178
122,0.6418031,0.1532038
123,0.6371212,0.14908877
124,0.63526475,0.14765307
125,0.63615626,0.14894757
126,0.63277495,0.14593148
127,0.6381143,0.15170768
128,0.63654035,0.15037656
129,0.63632,0.15065943
130,0.63595444,0.150456
131,0.6336365,0.14889362
132,0.63724554,0.15236004
133,0.63461554,0.15006405
134,0.63055533,0.14620897
135,0.6301475,0.1463178
136,0.6347099,0.15121472
137,0.6274332,0.1441751
138,0.6310116,0.1479502
139,0.63095504,0.14835648
140,0.63022935,0.1477584
141,0.6282399,0.1459608
142,0.63107383,0.14932296
143,0.6303894,0.14844239
144,0.62924385,0.14755572
145,0.6265099,0.1449415
146,0.6260699,0.14506108
147,0.6248966,0.14373097
148,0.6288738,0.14801121
149,0.62355894,0.14309308
