Metric,HitRate,NDCG
5,0.0732,0.0447926179285356
10,0.1256,0.06151396469863588
15,0.1803,0.07592895161657102
20,0.2226,0.08590349371499222
5,0.1297,0.0840738182749256
10,0.2119,0.11047092567431341
15,0.2752,0.12720650056452118
20,0.3227,0.1384470856624993
5,0.1448,0.09289736417637512
10,0.2397,0.1233130222147713
15,0.3081,0.1414424516168668
20,0.364,0.15464473139413845
5,0.187,0.12396648587110842
10,0.2895,0.15685689827141194
15,0.36,0.17556005896548563
20,0.4086,0.18703461978385413
5,0.1889,0.12344392881289606
10,0.2877,0.15522572690301534
15,0.3551,0.17308669265127383
20,0.4078,0.18553608917293085
5,0.194,0.12497451777904857
10,0.296,0.15784230912599767
15,0.3675,0.1767084684870617
20,0.4237,0.19000162916041838
5,0.2007,0.1294683980221763
10,0.311,0.16518146449957083
15,0.3815,0.18382131246158293
20,0.4349,0.19644031772541204
5,0.2136,0.14023502237761348
10,0.3269,0.17684824970023275
15,0.3989,0.19592501537413554
20,0.4527,0.2086770054266204
5,0.22,0.1428725615011752
10,0.3322,0.17894833453293738
15,0.4033,0.1978411835565863
20,0.4542,0.20988180818335977
5,0.224,0.14483030496930702
10,0.3343,0.18016572890904625
15,0.4098,0.2001399932423317
20,0.4595,0.21188456133193787
5,0.2384,0.1559126584420074
10,0.3462,0.1905590587448384
15,0.4179,0.20951555604042987
20,0.4681,0.2213667173376413
5,0.2293,0.14911291948566735
10,0.3389,0.18442066971800275
15,0.4145,0.20443169300653236
20,0.4616,0.21556705447852173
5,0.2374,0.1565745181516917
10,0.3487,0.19228437170647172
15,0.425,0.21246480856377697
20,0.4758,0.2244580218052938
5,0.2401,0.16018143039697416
10,0.3536,0.19667613349347302
15,0.4215,0.21461408174563934
20,0.4726,0.22670908763472963
5,0.2442,0.16368702780728467
10,0.3549,0.19929189223814223
15,0.4235,0.21740949931404344
20,0.4709,0.22861114742425048
5,0.2453,0.16287112476568577
10,0.3623,0.20068366392216563
15,0.4327,0.21929028739185277
20,0.4797,0.2304127606762493
5,0.2517,0.16651539424863124
10,0.3581,0.20080776033010964
15,0.4261,0.21884410627735015
20,0.476,0.2306418361268049
5,0.251,0.16818442623321717
10,0.3633,0.2043841127295304
15,0.4336,0.2229865257927755
20,0.4837,0.23481307914160415
5,0.2542,0.17069094293222822
10,0.3591,0.2045680490515115
15,0.4326,0.2239788721223615
20,0.4821,0.2357102013040952
5,0.2497,0.16968336842277498
10,0.3627,0.20615071872591148
15,0.4346,0.22510481533901092
20,0.4848,0.23695905245722387
5,0.2595,0.17640493167342683
10,0.3705,0.21209975766814126
15,0.4402,0.23056645557509023
20,0.487,0.24166014827601215
5,0.2696,0.18540543737713802
10,0.3769,0.22009628645481144
15,0.4418,0.23725186309144675
20,0.4876,0.24807494001119115
5,0.2625,0.17803528298241722
10,0.3721,0.2134916325929485
15,0.4363,0.23045346744106082
20,0.4862,0.2422490472167385
5,0.2677,0.18274827576538918
10,0.3728,0.21648434847298204
15,0.4395,0.23415945944439664
20,0.4869,0.24534859163931974
5,0.2683,0.18087302082482665
10,0.3744,0.2152197060226491
15,0.4443,0.23372802817546723
20,0.491,0.24477352142153458
5,0.2727,0.18509130903264323
10,0.3751,0.21805688822106709
15,0.442,0.23576873111006058
20,0.4876,0.24654640600243488
5,0.2757,0.18706724970353503
10,0.3801,0.2207000647819773
15,0.4465,0.23827588206398995
20,0.4915,0.2489321344868243
5,0.2712,0.1858969851297481
10,0.3779,0.22014392675435915
15,0.4436,0.2374855673938544
20,0.4886,0.2481326006253496
5,0.2778,0.19076358750403444
10,0.3773,0.22278467255720544
15,0.4453,0.24080312320923714
20,0.4927,0.252009163828287
5,0.2757,0.19086173271345536
10,0.3761,0.22338872440196114
15,0.4461,0.24190766325783816
20,0.4944,0.2533221330056497
5,0.2765,0.1892890408825763
10,0.3766,0.22149971641672855
15,0.4419,0.23877376043454873
20,0.4897,0.25007454617566655
5,0.278,0.1916500618588184
10,0.3807,0.22478078512070288
15,0.4477,0.2424997952554957
20,0.4942,0.25350219710932653
5,0.2806,0.19268362340840997
10,0.3828,0.2255401480358288
15,0.4484,0.2429032748774987
20,0.495,0.25390100465706256
