Metric,HitRate,NDCG
5,0.0291,0.017231755133084333
10,0.0509,0.02419687737622438
15,0.0708,0.029441037185674965
20,0.0925,0.034568706336165704
5,0.0875,0.05504352185848153
10,0.142,0.07246107183527473
15,0.185,0.08383957033409385
20,0.2226,0.09272717055543608
Metric,HitRate,NDCG
5,0.0367,0.022667108338573272
10,0.0682,0.03265480664387184
15,0.1005,0.04116760990025468
20,0.1342,0.04910190440566463
5,0.0874,0.05465197115585288
10,0.1487,0.0741972572025555
15,0.1999,0.08775321002778204
20,0.2412,0.09748602359006092
5,0.1207,0.07557538454736934
10,0.205,0.10265328305384344
15,0.269,0.11953956716566194
20,0.3133,0.12999931952214316
5,0.1343,0.08508276611513126
10,0.2159,0.11129689259936941
15,0.2792,0.12800379242441737
20,0.3238,0.13852328666037741
5,0.1411,0.09021527353747157
10,0.2207,0.11581963945141602
15,0.275,0.1301277340831016
20,0.3243,0.14177363918898456
5,0.1691,0.1120167390774197
10,0.2577,0.1405802386457991
15,0.3137,0.15536790459960634
20,0.3598,0.16626388141208379
5,0.1568,0.10198040485522908
10,0.2404,0.1288604481426764
15,0.2963,0.14365396939354222
20,0.3399,0.15393405127777812
5,0.185,0.12268438505379559
10,0.2711,0.15036567617021082
15,0.3263,0.16497203552812043
20,0.3697,0.1752168794308567
5,0.1796,0.11869191586181882
10,0.2656,0.14641681532024253
15,0.3175,0.1601987648083757
20,0.3598,0.17020980025657306
5,0.1922,0.1292579743839525
10,0.2781,0.15702849733227237
15,0.3364,0.17246298253407377
20,0.3785,0.18243347066593044
5,0.1978,0.13357901696640814
10,0.2875,0.1625631888528934
15,0.3373,0.17574062065953255
20,0.3829,0.18650147199043263
5,0.1897,0.12666374750873569
10,0.2737,0.15377316254274548
15,0.3238,0.16706056521286536
20,0.3649,0.17676758005465912
5,0.1885,0.12483800843919632
10,0.2705,0.15126829606959288
15,0.3275,0.1663152562370992
20,0.3735,0.17717646694250494
5,0.1954,0.13009399622757972
10,0.2788,0.1570480230422809
15,0.3323,0.1712071494142505
20,0.3698,0.18006145768465964
5,0.1954,0.12998144006771264
10,0.2792,0.15697845926716814
15,0.3359,0.17196725166412485
20,0.3743,0.1810390680737899
