Metric,HitRate,NDCG
5,0.1051,0.06584332770020805
10,0.1747,0.08829396423770666
15,0.2303,0.10298969134286795
20,0.277,0.11399911103712472
5,0.1055,0.06347233664438422
10,0.184,0.08851184563418495
15,0.2461,0.10491142320630145
20,0.301,0.11784672759681543
5,0.1083,0.06516283596560896
10,0.1985,0.0941250737750368
15,0.2708,0.11321817542609525
20,0.3348,0.12831527074011417
5,0.1121,0.06619370895683635
10,0.2039,0.09563021246147642
15,0.2811,0.11599481000551445
20,0.344,0.1308256482567968
5,0.1178,0.07222616892837562
10,0.2146,0.10317841667035686
15,0.2944,0.12425374975287637
20,0.3624,0.14029496582427461
5,0.1263,0.07583005261478444
10,0.22,0.10598610991352944
15,0.303,0.12793217794489162
20,0.3751,0.14494582165686823
5,0.1357,0.07967621831648815
10,0.2425,0.11392443289146584
15,0.3214,0.1347971574462354
20,0.3864,0.15013003635368707
5,0.1494,0.08897074815580858
10,0.2527,0.12206280442874652
15,0.3382,0.14461753662010565
20,0.4011,0.1594703650349391
5,0.1468,0.0886446347879764
10,0.2555,0.12360156875997441
15,0.3396,0.14583856845231818
20,0.4046,0.16115974783474465
5,0.1427,0.08820160399814432
10,0.2503,0.12274452144463514
15,0.3358,0.14535559477444873
20,0.3988,0.1602526950116801
5,0.1534,0.09242478056695812
10,0.2615,0.12705418074434333
15,0.3456,0.1492541307080803
20,0.4175,0.16623700819182677
5,0.163,0.0986548273576938
10,0.2743,0.13439149687567456
15,0.3587,0.15665553645576136
20,0.4272,0.17284280447345804
5,0.1682,0.10328957686230619
10,0.2827,0.13995378809741504
15,0.3693,0.16283422064185965
20,0.4364,0.17865922555970457
5,0.1668,0.10314526515345886
10,0.2815,0.14007042148713647
15,0.3711,0.1637202499855905
20,0.4373,0.17934096100863314
5,0.1739,0.10888906109225324
10,0.2887,0.14571717120506658
15,0.3728,0.16796406700956049
20,0.4418,0.18427715743749623
5,0.1774,0.11038426735035992
10,0.2892,0.14632716523330574
