Epoch,Loss,preLoss
1,10.11221,0.8875014
2,6.96726,0.36440733
3,5.200926,0.24741665
4,4.091933,0.19878057
5,3.3867843,0.17673233
6,2.913139,0.16272813
7,2.5740547,0.14847204
8,2.3159168,0.13857988
9,2.12143,0.13730834
10,1.9708141,0.13499817
11,1.8287992,0.13173085
12,1.7084525,0.13015008
13,1.6154535,0.124200225
14,1.5246702,0.12172343
15,1.4451575,0.115693055
16,1.3768587,0.11383072
17,1.3291738,0.119231746
18,1.2773974,0.11178502
19,1.2163051,0.11053358
20,1.1602525,0.10317425
21,1.1139184,0.104036234
22,1.0737073,0.09982478
23,1.0328239,0.098701134
24,1.0068505,0.09881553
25,0.97158974,0.09566763
26,0.949043,0.09726192
27,0.9209628,0.093021244
28,0.8951154,0.09458916
29,0.87289584,0.09049649
30,0.850087,0.087047435
31,0.8292683,0.08868809
32,0.8101779,0.08655393
33,0.7905965,0.08310528
34,0.7690891,0.08068906
35,0.751634,0.081491366
36,0.73287797,0.07917443
37,0.7203208,0.07918061
38,0.7095148,0.07858677
39,0.69836825,0.0783754
40,0.6843833,0.07676811
41,0.6746202,0.077866316
42,0.66075104,0.074105665
43,0.64662415,0.071937904
44,0.6354538,0.070870005
45,0.62358844,0.06890707
46,0.61560214,0.06898731
47,0.60290194,0.06594863
48,0.5945957,0.06656122
49,0.58603245,0.06591451
50,0.5779079,0.06459558
51,0.5717979,0.06346525
52,0.5630521,0.062293775
53,0.5577413,0.063346095
54,0.54955864,0.06067901
55,0.5428713,0.059227694
56,0.5367352,0.059550475
57,0.52903414,0.05760019
58,0.5245564,0.05801634
59,0.5187537,0.05685358
60,0.5102968,0.05295964
61,0.5059985,0.053778104
62,0.5023459,0.054846764
63,0.4972362,0.05326453
64,0.48958358,0.049496133
65,0.48442674,0.04953963
66,0.4812354,0.050010294
67,0.47999144,0.052144866
68,0.47454602,0.049481742
69,0.47095647,0.0488896
70,0.4680367,0.049067717
71,0.4633707,0.046750907
72,0.4601131,0.04673288
73,0.45663968,0.04590335
74,0.45260406,0.044616573
75,0.4491869,0.043755457
76,0.44664106,0.04383548
77,0.44437748,0.04339271
78,0.4401087,0.04176118
79,0.4356768,0.039449032
80,0.43443966,0.040592514
81,0.431575,0.03971546
82,0.4297583,0.039593566
83,0.42595053,0.037912298
84,0.42353946,0.037069242
85,0.42391524,0.03929611
86,0.42038736,0.037322916
87,0.41763115,0.03604462
88,0.4154995,0.03553047
89,0.4147338,0.03629441
90,0.4134144,0.035935827
91,0.41225338,0.0363285
92,0.41002837,0.03537875
93,0.40790063,0.034502544
94,0.40677887,0.0342188
95,0.405423,0.034274198
96,0.4034656,0.033029214
97,0.40242833,0.03317623
98,0.40092874,0.03287401
99,0.39969623,0.032689642
100,0.39887783,0.032473885
101,0.39629528,0.031090682
102,0.39647633,0.03200601
103,0.39420158,0.030702025
104,0.39345652,0.03059991
105,0.3917937,0.029408004
106,0.39130253,0.030151105
107,0.38984936,0.029623443
108,0.38975888,0.029543642
109,0.38820618,0.029271245
110,0.3869216,0.028470319
111,0.38727584,0.029391652
112,0.3853098,0.02788425
113,0.3846062,0.028150588
114,0.38488063,0.028569654
115,0.38345265,0.027914276
116,0.38262284,0.02738339
117,0.38191986,0.027193686
118,0.3807537,0.02645779
119,0.3804052,0.026727255
120,0.37879342,0.025709037
121,0.37937734,0.026411599
122,0.37889865,0.026274737
123,0.37838808,0.02637755
124,0.37742352,0.025853679
125,0.376495,0.025143925
126,0.3767403,0.025883293
127,0.3761965,0.025508085
128,0.3755899,0.025267726
129,0.37543294,0.025321838
130,0.37445968,0.024789132
131,0.37404004,0.024737269
132,0.37406304,0.02475712
133,0.37383145,0.025078055
134,0.37309632,0.024453225
135,0.37313908,0.024972275
136,0.37212828,0.0242504
137,0.37151673,0.023953108
138,0.37157473,0.024033058
139,0.37161818,0.024364803
140,0.3712996,0.024025286
141,0.37145978,0.024241561
142,0.3706128,0.023949731
143,0.36952162,0.02307876
144,0.36993706,0.023453016
145,0.36939412,0.023454629
146,0.37004542,0.023627648
147,0.36965126,0.023723941
148,0.36984855,0.023776833
149,0.3683193,0.022754852
