Metric,HitRate,NDCG
5,0.0885,0.05532334078834168
10,0.1502,0.07510926113073452
15,0.2073,0.09016334763495046
20,0.254,0.10121067690000246
5,0.0984,0.061670008713107155
10,0.1717,0.08520330065113972
15,0.2324,0.10124098075148516
20,0.2886,0.11449147582062662
5,0.114,0.07110759462314506
10,0.1939,0.0968075402001114
15,0.2595,0.11418465307326756
20,0.3163,0.12759990825018294
5,0.117,0.07355078083681135
10,0.2035,0.10137036035690086
15,0.275,0.12025001325649357
20,0.3351,0.13442899263337718
5,0.126,0.08090656749643887
10,0.2099,0.10782364551598912
15,0.2858,0.12791129731072842
20,0.3475,0.14247299579459985
5,0.142,0.09046069191424273
10,0.2429,0.1228543109553718
15,0.3221,0.14369756609200157
20,0.3833,0.15815555742151624
5,0.1452,0.0909457507798862
10,0.2405,0.12159503176297116
15,0.3173,0.14185788488103282
20,0.3801,0.15668640805105852
5,0.1497,0.09416466105405316
10,0.2503,0.12647914390202986
15,0.3267,0.14664093367367753
20,0.394,0.16252528471326635
5,0.1556,0.0994459881548462
10,0.2538,0.1311751823869874
15,0.3386,0.15358087283933536
20,0.4033,0.16885624609360225
5,0.1577,0.10026619415452573
10,0.2704,0.13641877354575435
15,0.3532,0.1582872765815134
20,0.4167,0.17329868403442836
5,0.1857,0.11956308946757012
10,0.2962,0.15501494095017948
15,0.3743,0.17566064030397252
20,0.4412,0.19143639952759098
5,0.1673,0.10587319364334685
10,0.2725,0.13973110774334926
15,0.3563,0.16185236643256584
20,0.427,0.17858166900429492
5,0.1744,0.11074849683376677
10,0.2839,0.14577128702438485
15,0.3702,0.16853695732854398
20,0.4353,0.18389952577712715
5,0.1749,0.11275842588106864
10,0.2852,0.14818307479495382
15,0.3717,0.17098495415165363
20,0.4381,0.18663268213524253
5,0.1805,0.11400130427674576
10,0.2903,0.1492424296612074
15,0.3766,0.17204333176252298
20,0.4435,0.18782934255413267
5,0.1846,0.11813326691121973
10,0.29,0.15190654074980584
15,0.3756,0.17452687875870648
20,0.4412,0.19003436797975595
5,0.1907,0.12226530876015546
10,0.3043,0.15887438091106146
15,0.3944,0.18267114026865441
20,0.4587,0.19786401263846087
5,0.1986,0.12618321778368283
10,0.3101,0.16200698327736676
