Epoch,Loss,preLoss
1,8.077935,1.2969267
2,5.88139,0.5062936
3,4.1911016,0.37272164
4,3.1933875,0.31112346
5,2.6068025,0.2725968
6,2.2317743,0.25065446
7,1.9629161,0.23280826
8,1.7702687,0.21966276
9,1.6205394,0.2087311
10,1.4945012,0.1995126
11,1.3889428,0.1946432
12,1.3042085,0.1898506
13,1.2278799,0.18090375
14,1.1667659,0.18268391
15,1.1076307,0.1720733
16,1.0569144,0.17134897
17,1.0097796,0.1671811
18,0.96991265,0.16582718
19,0.9351443,0.16205686
20,0.8970836,0.15875919
21,0.8702606,0.15884328
22,0.8349457,0.15043506
23,0.8036873,0.14937483
24,0.77283657,0.14634797
25,0.7534028,0.1473952
26,0.73734576,0.14496395
27,0.7137953,0.14097814
28,0.6901346,0.13820907
29,0.68034256,0.14355133
30,0.6622129,0.13725449
31,0.6478907,0.13795082
32,0.62901634,0.13262554
33,0.61190546,0.13096401
34,0.595552,0.12818047
35,0.5813156,0.12862936
36,0.5714183,0.12920105
37,0.56623065,0.13286743
38,0.5545557,0.12837406
39,0.5444437,0.126551
40,0.531142,0.12338171
41,0.519485,0.12176476
42,0.51226544,0.12318716
43,0.5028967,0.121006966
44,0.49706012,0.12216048
45,0.4885574,0.12102213
46,0.47719836,0.117062055
47,0.4685963,0.115516886
48,0.46336,0.116539635
49,0.45558167,0.11532333
50,0.44920558,0.11458645
51,0.44274515,0.11365756
52,0.43586174,0.1125191
53,0.43007916,0.111953355
54,0.42179185,0.10913058
55,0.4192099,0.111587785
56,0.41246065,0.108147286
57,0.40640506,0.106259644
58,0.4058834,0.11041357
59,0.3955515,0.10421431
60,0.3922441,0.10495424
61,0.38602462,0.10256553
62,0.38543206,0.10568271
63,0.3790221,0.10213791
64,0.37656808,0.102571845
65,0.37460715,0.10365264
66,0.37102005,0.10283367
67,0.36537093,0.1000786
68,0.3617736,0.09960741
69,0.36207,0.10265751
70,0.3530581,0.09600989
71,0.35088617,0.09647041
72,0.3518149,0.09987126
73,0.34363663,0.09395086
74,0.34215173,0.09505284
75,0.3405878,0.09573455
76,0.33931032,0.096394554
77,0.3336073,0.09259153
78,0.33280587,0.09393035
79,0.33119184,0.09408061
80,0.3277392,0.092303015
81,0.32286292,0.08914002
82,0.3240981,0.092156254
83,0.31886846,0.0884727
84,0.3190673,0.09025223
85,0.31737694,0.090175614
86,0.31418264,0.088606566
87,0.3099318,0.08576928
88,0.31004542,0.087224975
89,0.3095577,0.08795767
90,0.30933523,0.088961646
91,0.3056288,0.08644077
92,0.30507478,0.08699704
93,0.30413142,0.08710365
94,0.30090672,0.08493768
95,0.30169147,0.08676608
96,0.29715782,0.083204634
97,0.29729226,0.08436515
98,0.29747552,0.085493535
99,0.2962261,0.08504332
100,0.2937425,0.08341856
101,0.29520482,0.0856844
102,0.29335278,0.08449356
103,0.29078156,0.08271704
104,0.28731596,0.07991542
105,0.28695953,0.08036549
106,0.28722286,0.08127297
107,0.28747392,0.0822386
108,0.28453067,0.07983433
109,0.28483993,0.08085111
110,0.28220293,0.07875631
111,0.28401786,0.08114553
112,0.28097042,0.078686304
113,0.2819696,0.08024083
114,0.28208095,0.08079521
115,0.27989274,0.07907412
116,0.2798745,0.0795351
117,0.28255454,0.08260647
118,0.2761184,0.076610744
119,0.27559522,0.07655744
120,0.27452338,0.075843
121,0.27667332,0.0783354
122,0.27590817,0.078005895
123,0.27530348,0.077700086
124,0.27437392,0.07715951
125,0.27375653,0.076852515
126,0.2742327,0.07766211
127,0.27398488,0.07770695
128,0.27227846,0.07626656
129,0.2729953,0.07730649
130,0.27129862,0.075829096
131,0.26961786,0.07445464
132,0.26943198,0.07449683
133,0.27143073,0.07671045
134,0.26857,0.07405613
135,0.26948145,0.07526643
136,0.2695247,0.07545758
137,0.26905632,0.07526778
138,0.26877257,0.07512289
139,0.26758093,0.07417099
140,0.26868838,0.07545007
141,0.26911998,0.07600798
142,0.26666898,0.07382072
143,0.26740247,0.07464607
144,0.26713973,0.0745937
145,0.2664485,0.07406705
146,0.26468354,0.07244276
147,0.26675564,0.07463305
148,0.26615548,0.07410596
149,0.2662959,0.074475475
