Metric,HitRate,NDCG
5,0.0979,0.061354794149314724
10,0.166,0.08317146184859743
15,0.2191,0.09717654183716186
20,0.2658,0.10821035935442233
5,0.1066,0.0657382348553536
10,0.1866,0.09143289491646951
15,0.2491,0.10791961163803483
20,0.3075,0.12168719802752771
5,0.1206,0.07573371073845434
10,0.2092,0.10406281290276449
15,0.2791,0.12251220036495768
20,0.3381,0.13645232047502034
5,0.1364,0.08613462197645168
10,0.2262,0.11497513236640527
15,0.3009,0.13472184114194732
20,0.3636,0.14952797650669547
5,0.1505,0.09540653397608552
10,0.2517,0.12787724860561464
15,0.3282,0.1480206490525328
20,0.3872,0.1619163565546238
5,0.1537,0.09717009104902304
10,0.2542,0.12935333461758985
15,0.3306,0.14955154959947517
20,0.3954,0.16486675725299316
5,0.1658,0.10420710381770598
10,0.2681,0.13693784845518464
15,0.3459,0.1574432567424497
20,0.4123,0.17312244518852435
5,0.1673,0.10528324306160478
10,0.2716,0.13870308216763214
15,0.3529,0.16020857183778517
20,0.4167,0.17526706187737495
5,0.1635,0.10272561855641475
10,0.2722,0.13780993126484473
15,0.3546,0.15959311016442843
20,0.4212,0.17532728347606996
5,0.1688,0.10616417301771766
10,0.2818,0.14241668218349374
15,0.3657,0.16459341955706228
20,0.4323,0.1803098457731555
5,0.1716,0.10929177854421644
10,0.2809,0.14441491005640295
15,0.3643,0.16642562939505173
20,0.4292,0.18177523566306672
5,0.1831,0.11708960728680018
10,0.2886,0.15089916360484956
15,0.3764,0.17410314345611283
20,0.4422,0.18964669948998808
5,0.1825,0.11512444533119408
10,0.2965,0.15206415889773914
15,0.3764,0.17314757461682395
20,0.4466,0.18973698863238733
5,0.1812,0.11760985269739072
10,0.3003,0.15592068222540337
15,0.3873,0.1788828889155814
20,0.45,0.1936770668503961
5,0.1862,0.11914420183724916
10,0.3,0.15568818762503744
15,0.3852,0.17820883386513478
20,0.4518,0.1939627703433421
5,0.1906,0.12025056620961905
10,0.3046,0.15692794519577544
15,0.3914,0.17981512276748585
20,0.4581,0.1955751832376066
5,0.1932,0.12538142224368298
10,0.3084,0.16248704999951863
15,0.3898,0.18398271814246117
20,0.4585,0.2001998123841748
5,0.2046,0.1336889628371796
10,0.3188,0.1704608598937995
15,0.4033,0.19278550856671436
20,0.4712,0.20883568139832914
5,0.2075,0.13387512160413953
10,0.3237,0.17126464652852236
15,0.4101,0.19407161259970795
20,0.4751,0.20943542860462538
5,0.2059,0.13386514885540765
10,0.3237,0.17177772713459627
15,0.4093,0.1943946819482865
20,0.4742,0.20971638092059966
5,0.2047,0.13281703989219085
10,0.3181,0.1693560038295463
15,0.4016,0.19143159022320697
20,0.4668,0.20681896346909207
5,0.2184,0.14165625220426478
10,0.3339,0.1787972850895533
15,0.4201,0.20159467213965868
20,0.4868,0.217355797651242
5,0.2151,0.1388384538229207
10,0.3338,0.17700390984123157
15,0.4236,0.2007786753981245
20,0.4887,0.216137229187501
5,0.2236,0.1460040539463034
10,0.3391,0.1833829219338033
15,0.4232,0.20564748729714688
20,0.4934,0.22223049679982446
5,0.2194,0.14368246181286579
10,0.3371,0.18164856911168697
15,0.4219,0.20400127845469804
20,0.4912,0.2203652716929274
5,0.2175,0.14261151479470724
10,0.3409,0.18243415679226793
15,0.4314,0.20639239917972185
20,0.4952,0.22146230657223517
5,0.2239,0.14595891844553877
10,0.3459,0.18508012535053495
15,0.432,0.20787486450387796
20,0.5006,0.22410101893462717
5,0.2234,0.1460133760159543
10,0.3417,0.18403871032242258
15,0.4291,0.2071747206948154
20,0.4996,0.22380175657612272
5,0.234,0.15308151437455167
10,0.3559,0.19227026643552192
15,0.4367,0.2136257038312054
20,0.5058,0.22997260913000014
5,0.2277,0.15021479016429834
10,0.3477,0.18882032247122962
15,0.4313,0.21092687924195247
20,0.4996,0.22708458615819913
5,0.2378,0.15602615172675163
10,0.3555,0.1938624686317434
15,0.439,0.21592031351084456
20,0.507,0.231970519205642
5,0.239,0.15620449759525767
10,0.3582,0.1945653958567908
15,0.4415,0.21656149550635845
20,0.509,0.23252077638495974
5,0.2367,0.155413194863228
10,0.3602,0.19521348049065287
