Metric,HitRate,NDCG
5,0.0927,0.057641128641560575
10,0.1637,0.08040922260630382
15,0.2228,0.09605828465530288
20,0.274,0.1081696434740875
5,0.0948,0.059436596145868534
10,0.1681,0.08291286476976889
15,0.228,0.0987082162648217
20,0.2781,0.11051929854371194
5,0.1088,0.0677175902965913
10,0.1929,0.09469114874848353
15,0.2583,0.1119537105698989
20,0.3195,0.12639371243378897
5,0.1269,0.07918969571184675
10,0.2114,0.10636647284664189
15,0.2877,0.12653059729934024
20,0.3486,0.14092227009321542
5,0.1406,0.08772198572310971
10,0.2369,0.11859528372332274
15,0.315,0.13920975010271142
20,0.3737,0.15307554090171607
5,0.1513,0.09513616003176814
10,0.2475,0.1260404395885824
15,0.3255,0.14658436941760475
20,0.3924,0.162404814607267
5,0.1429,0.08922152108541889
10,0.2393,0.12018196263313768
15,0.3173,0.14076006327688328
20,0.383,0.1562614564733099
5,0.1511,0.09566232500455905
10,0.2487,0.1268425284222461
15,0.3236,0.14670159790563514
20,0.3909,0.16263951157654455
5,0.1575,0.09909383614191693
10,0.2613,0.13236737561372258
15,0.3428,0.15393410414411576
20,0.4089,0.16953801926093112
5,0.1594,0.10028022102253936
10,0.2644,0.133999584735332
15,0.3486,0.15620711528487785
20,0.4128,0.1713556723800516
5,0.1713,0.10827618023556058
10,0.278,0.1425012726045927
15,0.3621,0.16475247588927078
20,0.4278,0.18026952052274692
5,0.1759,0.11148024219219096
10,0.2823,0.14574477520401827
15,0.3628,0.1669993852464986
20,0.4274,0.18225218573499316
5,0.1864,0.12107663400755718
10,0.3004,0.1575498189399538
15,0.3803,0.17868712741706122
20,0.441,0.1930149386951763
5,0.1764,0.11317645078249171
10,0.2817,0.14716286234147666
15,0.3691,0.1702908463705896
20,0.4321,0.18516879003758466
5,0.1828,0.11790372892138828
10,0.2959,0.15413496603352028
15,0.376,0.17533913154852832
20,0.4413,0.1907691958854554
5,0.1864,0.11937808977417885
10,0.2962,0.1546724892651373
15,0.3823,0.17743364231971423
20,0.4437,0.19195169488107366
5,0.1958,0.1261223291026855
10,0.3089,0.16252029438995078
15,0.3907,0.1841465970816239
20,0.4552,0.19937633568900492
5,0.2002,0.1284972788377084
10,0.3137,0.16503408849643966
15,0.3931,0.18605804833267833
20,0.4582,0.20144101919781734
5,0.201,0.131198597544636
10,0.3148,0.16789601782176486
15,0.3977,0.18984359095783804
20,0.4627,0.20521496551724872
5,0.2041,0.13081342775594076
10,0.3147,0.1662074171124188
15,0.4002,0.18887363719938388
20,0.4623,0.20353300603507934
5,0.2007,0.12947471165645363
