Epoch,Loss,preLoss
1,8.509981,1.5302321
2,5.8337603,0.5012493
3,4.1579647,0.37576577
4,3.1502585,0.31364006
5,2.5650115,0.28115088
6,2.1905663,0.25714678
7,1.9310278,0.24546632
8,1.740257,0.23288913
9,1.5765665,0.21799466
10,1.4596555,0.21624556
11,1.3613018,0.2089521
12,1.2646974,0.19708462
13,1.1838143,0.18831843
14,1.13177,0.19225109
15,1.0710232,0.18149385
16,1.0220956,0.18220359
17,0.9809052,0.18035431
18,0.93413705,0.17150529
19,0.90178096,0.17206922
20,0.8686064,0.17005618
21,0.8404131,0.16707474
22,0.80715036,0.16216348
23,0.77873695,0.15892687
24,0.7565675,0.15877077
25,0.7352832,0.15668435
26,0.7176422,0.1568729
27,0.69844234,0.15421818
28,0.6807412,0.15344922
29,0.66604453,0.15350221
30,0.64694166,0.14851728
31,0.62755585,0.14565834
32,0.61118376,0.14351296
33,0.59901476,0.14230755
34,0.5881292,0.14193642
35,0.5771845,0.14276594
36,0.5691043,0.14397481
37,0.56588566,0.14863281
38,0.5497971,0.14072737
39,0.5417093,0.14123817
40,0.5266316,0.13660547
41,0.519002,0.13737658
42,0.51147026,0.13664994
43,0.50014055,0.13296327
44,0.49325553,0.13314033
45,0.4885324,0.13526547
46,0.47981113,0.13234225
47,0.46923438,0.12781718
48,0.46457607,0.12928933
49,0.45992088,0.12957773
50,0.45247236,0.12703438
51,0.44489914,0.12471545
52,0.43894607,0.12399143
53,0.4356564,0.12548171
54,0.43104258,0.12497882
55,0.42824808,0.12589328
56,0.42130104,0.12240269
57,0.4169342,0.1217914
58,0.41265497,0.12128961
59,0.40762672,0.119950116
60,0.4041924,0.11976697
61,0.396748,0.11578673
62,0.39987275,0.12235942
63,0.39089996,0.11619811
64,0.38879475,0.1171836
65,0.38712537,0.11854349
66,0.38495788,0.11901979
67,0.3794646,0.11561215
68,0.3774718,0.11640553
69,0.3772146,0.11861621
70,0.36786187,0.111327246
71,0.36557594,0.1112021
72,0.36816743,0.11600723
73,0.3576303,0.10743276
74,0.3586859,0.110829696
75,0.35644943,0.11057027
76,0.35468856,0.11058663
77,0.35006213,0.10773872
78,0.35019273,0.10969923
79,0.34919488,0.11025256
80,0.34622782,0.10891944
81,0.342498,0.10677169
82,0.34176856,0.10761826
83,0.33742702,0.10478409
84,0.33685645,0.10563238
85,0.33699268,0.1070902
86,0.3336792,0.10507987
87,0.32876182,0.10140862
88,0.32825416,0.10218687
89,0.32865167,0.10383344
90,0.32722622,0.1035514
91,0.32418612,0.10153218
92,0.32409766,0.102536276
93,0.32273132,0.102186665
94,0.31941915,0.09981811
95,0.32151252,0.10283147
96,0.31922966,0.10134493
97,0.32058787,0.1035172
98,0.3174205,0.101175964
99,0.31522718,0.09975097
100,0.31649187,0.10179348
101,0.31475076,0.10082207
102,0.31277972,0.09951181
103,0.31220204,0.09963177
104,0.30901828,0.0970405
105,0.3076764,0.09638254
106,0.3081066,0.09743263
107,0.3103384,0.10029207
108,0.30459654,0.09506683
109,0.30535215,0.09642166
110,0.30576974,0.09735675
111,0.30709428,0.0992269
112,0.30224007,0.094895735
113,0.30166405,0.09482949
114,0.30296877,0.09652211
115,0.30030394,0.09431192
116,0.29956394,0.09402943
117,0.3036191,0.09848384
118,0.29662183,0.091881625
119,0.29840487,0.09405195
120,0.2964272,0.092451304
121,0.29786363,0.09420259
122,0.29877692,0.09548016
123,0.29852325,0.09551795
124,0.2964642,0.093789324
125,0.29609638,0.093707286
126,0.29570317,0.09363339
127,0.2946511,0.0928428
128,0.2938606,0.09235013
129,0.29420128,0.09294455
130,0.29359007,0.0925579
131,0.29263568,0.091852926
132,0.2941251,0.09357445
133,0.29161775,0.09129961
134,0.29222885,0.09210511
135,0.29223445,0.0923294
136,0.2936893,0.093986444
137,0.29216772,0.0926681
138,0.2910137,0.09167936
139,0.29140657,0.09225716
140,0.29057005,0.091603085
141,0.29244664,0.09359695
142,0.2901154,0.091447674
143,0.28585497,0.08734528
144,0.28907156,0.09072874
145,0.2916357,0.09341544
146,0.28839773,0.09032292
147,0.28806955,0.09013049
148,0.2904492,0.092595026
149,0.28862005,0.09092227
