Metric,HitRate,NDCG
5,0.028,0.017419668768293414
10,0.049,0.024156080043254643
15,0.0655,0.028512642024334515
20,0.0803,0.03202362858576071
5,0.055,0.03660291097017286
10,0.0888,0.04744748099682455
15,0.1166,0.05478358767579622
20,0.1398,0.06026355110477382
5,0.0655,0.04338792888319717
10,0.1024,0.05527386454240955
15,0.1372,0.06448139654432063
20,0.1653,0.07111023529665615
5,0.0757,0.04992774696715306
10,0.1168,0.06310477308286055
15,0.1529,0.07264435363180634
20,0.1851,0.08023299703849567
5,0.0873,0.05729225696254575
10,0.1363,0.0729784614269622
15,0.1729,0.08264755881286162
20,0.2053,0.09029877916050867
5,0.0925,0.06085503501440371
10,0.1457,0.07793618273082364
15,0.1866,0.08873471708432666
20,0.22,0.09663869812215271
5,0.1016,0.06718048832543179
10,0.1577,0.08521574460674013
15,0.2046,0.09757571386745853
20,0.238,0.10545967756411158
5,0.1064,0.07061829895326475
10,0.166,0.08974538817797174
15,0.2108,0.1015684179599813
20,0.2455,0.10976260106740114
5,0.1077,0.07063741282146263
10,0.1689,0.09025497468640561
15,0.2149,0.10238422579804558
20,0.2519,0.11111876719441677
5,0.1095,0.07262253897757534
10,0.1734,0.09314054587052778
15,0.2189,0.10515200721056094
20,0.2591,0.11466970243737565
5,0.1182,0.07770566497480332
10,0.1825,0.09841899172453088
15,0.2336,0.1119292272005862
20,0.274,0.12146722643456134
5,0.1163,0.07600454731697091
10,0.1782,0.09595474156150262
15,0.2254,0.10844241336094951
20,0.2696,0.11886499505546874
5,0.1189,0.0780387980086938
10,0.1827,0.09858948615684456
15,0.2331,0.11190513973863651
20,0.2737,0.12149731155830687
5,0.1239,0.08112750413231301
10,0.1896,0.1022386595438003
15,0.2421,0.11610344666740623
20,0.2832,0.12579677308940526
5,0.1218,0.08020879283623579
10,0.1879,0.10152514270004649
15,0.2415,0.11563233662998709
20,0.2805,0.12483699529481655
5,0.1247,0.08191258411090746
10,0.1896,0.10276601247456733
15,0.2413,0.11642055989341343
20,0.281,0.1257992486024701
5,0.1247,0.08155126664415374
10,0.1902,0.10259517979659054
15,0.2433,0.11659057844277938
20,0.2814,0.12557885675393593
5,0.1249,0.08157648190375012
10,0.1923,0.10331991972399933
15,0.2449,0.1172429475591135
20,0.2873,0.12723535389829868
5,0.1258,0.08228808841793636
10,0.1909,0.10333166369854635
15,0.2455,0.11779756851896861
20,0.2869,0.12757044184287641
5,0.1245,0.08162881540830846
10,0.1933,0.10384908375610885
15,0.2444,0.11733463716687367
20,0.288,0.12761206250166446
5,0.1302,0.08530382190567543
10,0.1983,0.10735992776824663
15,0.2556,0.12254589825321263
20,0.2963,0.1321521693927845
5,0.1297,0.08517601560013668
10,0.198,0.10719335043942402
15,0.2547,0.12218801974949804
20,0.2955,0.1318164857630175
5,0.1295,0.08591847406011319
10,0.2007,0.10888128710884946
15,0.2535,0.12283624022187681
20,0.2956,0.13277106210461098
5,0.1295,0.08535994413996967
10,0.1984,0.10761248269362422
15,0.2507,0.12145595472044035
20,0.2903,0.13078487761862204
5,0.1314,0.08584387247726123
10,0.2007,0.10809114901585154
15,0.2513,0.12147116161969536
20,0.2885,0.1302586270498519
5,0.1305,0.08571294540365314
10,0.1975,0.10734742268312197
15,0.2503,0.1213410746887595
20,0.2905,0.1308157134951175
5,0.1331,0.08689688942645514
10,0.2007,0.10858087222268084
15,0.2518,0.12209859426842873
20,0.2922,0.13165289794748045
5,0.1345,0.08821247822102657
10,0.2052,0.11096509963614486
15,0.2577,0.12486236707428827
20,0.2969,0.1341081823151895
5,0.1331,0.08736170396306266
10,0.2045,0.11034212517110327
15,0.2561,0.12397486858886418
20,0.298,0.13384248310687005
5,0.1343,0.08779789871698472
10,0.2036,0.11008593477688505
15,0.2542,0.1234589071426155
20,0.295,0.13309096041154322
5,0.1352,0.08857449227299058
10,0.2027,0.11028309896461322
15,0.2564,0.12443352469754514
20,0.2962,0.13382903273289481
5,0.1363,0.08954162971851742
10,0.2042,0.11137409786592288
15,0.2604,0.1262162071785158
20,0.3021,0.13606127340099022
5,0.1358,0.08908516187698796
10,0.2021,0.11043667671809665
15,0.2573,0.12499719975777404
20,0.2983,0.13467700813290584
5,0.136,0.08941603754817873
10,0.2042,0.11143955335708959
15,0.2593,0.1260019102570581
20,0.3009,0.13583430121325005
5,0.1359,0.08877598684156529
10,0.2043,0.11080852504023221
15,0.2585,0.1251166698605394
20,0.3002,0.1349643052828953
5,0.1363,0.0891979013969481
10,0.2051,0.11134493390514176
15,0.2588,0.12551441118187687
20,0.299,0.13500676260305128
5,0.137,0.08945329024757058
10,0.2032,0.11080253484656205
15,0.2601,0.12582946720553764
20,0.299,0.13501577637112924
5,0.1374,0.08981577395958307
10,0.2032,0.11102983635414973
15,0.2567,0.1252031168114015
20,0.2989,0.13516304903097118
5,0.1375,0.09017277339170357
10,0.2044,0.11168616201271786
15,0.2601,0.12639546710255584
20,0.2988,0.1355225423784545
5,0.1375,0.09014209676611637
10,0.2029,0.11120045122285144
15,0.2591,0.1260558863016901
20,0.2981,0.13527930129840776
5,0.1377,0.09036163942007058
10,0.2049,0.11202460831541015
15,0.2605,0.12670222424891048
20,0.2992,0.13582975740221562
5,0.1383,0.09050975815661386
10,0.2059,0.11222542095235379
15,0.2607,0.12669020737690684
20,0.3016,0.13632380301583455
5,0.138,0.09033055525670565
10,0.2047,0.11181712294466686
15,0.2603,0.1264814640046414
20,0.2987,0.13553740181491272
5,0.1384,0.09035110177374889
10,0.206,0.11213535564144586
15,0.2608,0.1266137728650129
20,0.3019,0.13630923743017592
5,0.1385,0.09051651243312632
10,0.2057,0.1121348615150469
15,0.2598,0.1264164653208025
