Epoch,Loss,preLoss
1,23.996927,18.638205
2,7.860373,0.94092923
3,6.7084107,0.8188456
4,5.6154656,0.71613735
5,4.844445,0.6760472
6,4.290681,0.6634161
7,3.855416,0.6441178
8,3.5022893,0.61956096
9,3.2219243,0.6061059
10,2.9976456,0.6024152
11,2.7841341,0.5743698
12,2.6160486,0.5641267
13,2.4577332,0.54195726
14,2.3307977,0.5355413
15,2.214842,0.52543265
16,2.1203163,0.52382284
17,2.0242581,0.5105411
18,1.9463403,0.5067925
19,1.862056,0.48917812
20,1.7989136,0.48666304
21,1.7377617,0.4810609
22,1.6798769,0.473816
23,1.6283171,0.4680284
24,1.58798,0.46959075
25,1.5459464,0.46627355
26,1.5067637,0.4629039
27,1.4686781,0.45769072
28,1.4363604,0.45659122
29,1.4027593,0.4508361
30,1.3669034,0.44103393
31,1.3397316,0.43857184
32,1.3178924,0.4395739
33,1.2873237,0.43040705
34,1.2663492,0.42943168
35,1.2445949,0.42625636
36,1.2261912,0.42571622
37,1.2167618,0.4330992
38,1.2019471,0.43378147
39,1.1803663,0.42637938
40,1.158263,0.41765723
41,1.1416943,0.41452175
42,1.1263297,0.41176715
43,1.1149877,0.41251928
44,1.101008,0.40989
45,1.092418,0.41183186
46,1.0751314,0.40490335
47,1.0655158,0.40496635
48,1.0543526,0.40293908
49,1.037681,0.39509386
50,1.0300608,0.39596313
51,1.0265721,0.4003366
52,1.0088775,0.39013377
53,1.0071567,0.39554217
54,0.99371994,0.3890342
55,0.98952234,0.39142174
56,0.98494464,0.39287764
57,0.9767308,0.3905249
58,0.9716953,0.39104047
59,0.95767385,0.3823857
60,0.96022815,0.3900841
61,0.9443353,0.37925828
62,0.9390399,0.37877762
63,0.94306564,0.38731092
64,0.9298768,0.3785231
65,0.9268854,0.37973017
66,0.9265318,0.38337255
67,0.9169124,0.37759447
68,0.9153422,0.37966558
69,0.9095651,0.3774094
70,0.9056075,0.37689775
71,0.90191,0.37650615
72,0.89559203,0.37339368
73,0.88648814,0.36735585
74,0.8833173,0.3670603
75,0.87971324,0.3662619
76,0.87559557,0.3648789
77,0.8756725,0.36756152
78,0.87315,0.36758193
79,0.8638791,0.3607418
80,0.8647793,0.36400807
81,0.8684416,0.36991614
82,0.86361676,0.36724538
83,0.86015606,0.36586493
84,0.85041875,0.35809875
85,0.8518546,0.3614754
86,0.8543779,0.3658549
87,0.8497629,0.36299652
88,0.84888446,0.36384997
89,0.845105,0.36171204
90,0.8385886,0.35679805
91,0.84268266,0.36243525
92,0.84497535,0.3662241
93,0.8377038,0.36040366
94,0.8416878,0.36578906
95,0.8309558,0.3564095
96,0.83210933,0.3588536
97,0.8283194,0.35631198
98,0.8268924,0.35608977
99,0.83078706,0.3611523
100,0.830166,0.36164564
101,0.82472265,0.35729322
102,0.82298404,0.35660052
103,0.8308908,0.3655267
104,0.8216319,0.35726097
105,0.8157862,0.35233122
106,0.81968105,0.35710216
107,0.81024235,0.34855282
108,0.81348944,0.3526537
109,0.8158986,0.35589096
110,0.8090724,0.34983116
111,0.8163425,0.35787007
112,0.80362254,0.34588957
113,0.8074058,0.35037306
114,0.8100723,0.3537201
115,0.8044286,0.34874278
116,0.8128009,0.3577513
117,0.8071718,0.35273647
118,0.8064445,0.35260445
119,0.8050275,0.3517692
120,0.7985091,0.3458021
121,0.8107363,0.35856903
122,0.79921234,0.34756583
123,0.8016092,0.35047054
124,0.8030695,0.3524254
125,0.80380905,0.35364103
126,0.7994848,0.34977254
127,0.7953192,0.34603876
128,0.8019478,0.35309705
129,0.8018295,0.3533878
130,0.79541844,0.34736645
131,0.80715096,0.3594882
132,0.79558027,0.34828827
133,0.7939347,0.34699947
134,0.7956936,0.3491078
135,0.79859126,0.35232866
136,0.79160285,0.34566146
137,0.7947796,0.34915513
138,0.7966963,0.35137415
139,0.79881066,0.3537786
140,0.7988707,0.35411784
141,0.79099476,0.34651396
142,0.79432786,0.35011712
143,0.7945285,0.35057366
144,0.7967762,0.3530678
145,0.79879194,0.35532546
146,0.7910188,0.3477822
147,0.7952035,0.35219002
148,0.7945022,0.35170496
149,0.7924746,0.3498839
