Metric,HitRate,NDCG
5,0.0897,0.05483345521137514
10,0.1546,0.07560261885605701
15,0.2087,0.08987044127679363
20,0.2515,0.09997601489894856
5,0.1028,0.0630916312710388
10,0.177,0.08699415100402633
15,0.2397,0.1035858058013704
20,0.2945,0.11651287514645198
5,0.1195,0.0737914347595578
10,0.2063,0.10149937858995692
15,0.2749,0.1196349706622963
20,0.3355,0.13393455989311231
5,0.121,0.07428639507514699
10,0.2018,0.10012328796781705
15,0.2727,0.11888598552162363
20,0.3295,0.1322742922608375
5,0.1389,0.08864412445617713
10,0.2312,0.11835538641181655
15,0.3078,0.1386475928958725
20,0.3714,0.15368329786819185
5,0.1388,0.08903460897090457
10,0.2297,0.11820804854751418
15,0.3069,0.1385822637849806
20,0.3667,0.15268252593963322
5,0.1566,0.0998805669673436
10,0.2614,0.13352220482787255
15,0.3396,0.15419466371902038
20,0.4047,0.1695402002634715
5,0.1603,0.10202005512957475
10,0.263,0.1349137120956244
15,0.3449,0.15651434078904633
20,0.4129,0.1725693225099538
5,0.1544,0.09693807547042355
10,0.2637,0.13206256317919568
15,0.3415,0.1526080013103661
20,0.4125,0.16937412685378536
5,0.1726,0.10955772366587642
10,0.2744,0.14221408550557504
15,0.359,0.16458550294765412
20,0.4273,0.18069152295448151
5,0.1749,0.1120456833435762
10,0.285,0.1472805312183441
15,0.3734,0.1706476919405818
20,0.4398,0.18633064769803112
5,0.1783,0.11430284342442996
10,0.2933,0.15114318523207557
15,0.3757,0.17290013203640892
20,0.4425,0.18867949055540673
5,0.1876,0.12048797693314779
10,0.2999,0.15648584132679905
15,0.3852,0.17905697882382005
20,0.4521,0.19485873397449902
5,0.1966,0.1265382940640137
10,0.3051,0.16144513941984137
15,0.392,0.1843506956423861
20,0.4625,0.2010167569383083
5,0.1879,0.12188264974301265
10,0.3031,0.15875626528602835
15,0.3917,0.1822192567813443
20,0.4597,0.1982720709485772
5,0.1945,0.12650974713426563
10,0.31,0.16358375540165243
15,0.3955,0.18620570513684825
20,0.4601,0.20147513029179476
5,0.2055,0.13440421593286983
10,0.3178,0.1705607035405507
15,0.4088,0.1946220231122681
20,0.4715,0.2094476102250861
5,0.2055,0.13492296389238087
10,0.3243,0.17318369087571822
15,0.4113,0.196218905233895
20,0.4757,0.21141164344253094
5,0.2103,0.1350128615175544
10,0.3255,0.17212919850407685
15,0.4106,0.19459621252454787
20,0.4801,0.21101024718542088
5,0.2123,0.13735395268317685
10,0.3288,0.17486370109359994
15,0.4123,0.196972506289979
20,0.4804,0.21306720796013157
5,0.2111,0.13724687042091752
10,0.3248,0.173897899785323
15,0.4129,0.1971127127865155
20,0.4825,0.21357911021536508
5,0.2159,0.14214391023406764
10,0.3362,0.1808990044203538
15,0.4172,0.2023366265280979
20,0.4801,0.21718132926432476
5,0.2145,0.14112634474677
10,0.3343,0.17966379603679605
15,0.4254,0.20372644933628375
20,0.4892,0.21880892857957202
5,0.221,0.14502779761874002
10,0.34,0.18324511549215552
15,0.4282,0.20657690047648836
20,0.4931,0.2219049346443118
5,0.2239,0.14553974211750118
10,0.343,0.18391043725070436
15,0.4278,0.20632097356362777
20,0.4965,0.22255318679438554
5,0.218,0.14183746584788345
10,0.3362,0.17978821743465292
15,0.4264,0.20358999833270783
20,0.4935,0.21944571674770436
5,0.2217,0.14470240925712052
10,0.3428,0.18381617380801746
15,0.4368,0.20865997078452098
20,0.5024,0.22415306528699475
5,0.2253,0.14647719399752415
10,0.343,0.18427131587996
15,0.4315,0.20767879247366014
20,0.4967,0.22307286281615685
5,0.2294,0.15058754861050858
10,0.3519,0.19001400409164537
15,0.4363,0.2123602154989725
20,0.5056,0.2287447199201776
5,0.2322,0.15351276648255446
10,0.3578,0.19390357744301953
15,0.4429,0.2163620454228746
20,0.5114,0.23259438111311848
5,0.2391,0.1557193505287354
10,0.3613,0.19509856772643813
15,0.4438,0.2169124485410906
20,0.5085,0.23219709303821529
5,0.2333,0.1537118892172144
10,0.3576,0.19360926357574357
15,0.4409,0.2156397662725543
20,0.5094,0.23183553897405654
5,0.2393,0.1575921910719122
10,0.3584,0.19591057892337685
15,0.4462,0.21916145372141582
20,0.5107,0.23438525317687012
5,0.2392,0.15738362730332583
10,0.3607,0.1965619017360665
15,0.4494,0.2200286926613915
20,0.5116,0.23472458080195543
5,0.241,0.15856258827984665
10,0.3664,0.19885044209095404
15,0.4481,0.22046473679769352
20,0.512,0.2355525853920819
5,0.2421,0.15956981228392136
10,0.3627,0.19835943087503494
15,0.4492,0.22128860179150933
20,0.5124,0.23623032309426534
5,0.2395,0.15926683386662535
10,0.367,0.2003429526143733
15,0.4503,0.22229457074980583
20,0.5147,0.2375227682495938
5,0.2425,0.15981145091737367
10,0.3636,0.19883110525339026
15,0.4467,0.22084304449422376
20,0.5152,0.23701360424487056
5,0.2479,0.16287550820988125
10,0.3668,0.201052324261976
15,0.4497,0.22302013818661784
20,0.5163,0.2387548051678576
5,0.2445,0.16108134869264748
10,0.3665,0.2004540236587018
15,0.4549,0.22381852205085243
20,0.5177,0.23863855853979857
5,0.2471,0.16294603676653358
10,0.3672,0.20174591869314717
15,0.4528,0.2243504659236926
20,0.5218,0.2406556070609852
5,0.2441,0.16232823390427595
10,0.3709,0.2032821819700663
15,0.4566,0.22593113250915559
20,0.5215,0.24125377587975613
5,0.2532,0.16680974114508829
10,0.3743,0.20576928459125146
15,0.456,0.22739361047114606
20,0.5206,0.24264479878675446
5,0.2547,0.16675011206761375
10,0.374,0.20506162936358618
15,0.4542,0.22624541792499986
20,0.5182,0.24134529382884776
5,0.2555,0.16835180487029272
10,0.3767,0.20735477380488965
15,0.4574,0.22865482403147253
20,0.5217,0.243835029599041
5,0.2487,0.16466417042952905
10,0.3763,0.20586327172678798
15,0.4566,0.22707859499651467
20,0.5209,0.2422547502732202
5,0.2509,0.1656293381514784
10,0.3758,0.20599586295871436
15,0.4569,0.22743289939710581
20,0.5203,0.2424061091718267
5,0.2518,0.16662906940549743
10,0.3778,0.2072760602033201
15,0.4579,0.22843396580963563
20,0.5225,0.2436977049624204
5,0.2533,0.1669855143331257
10,0.376,0.20648320864797215
15,0.4561,0.22763283376127247
20,0.5231,0.24347601675258188
5,0.2528,0.16671723871362654
10,0.3752,0.20615906951315696
15,0.4579,0.2280120212488941
20,0.5227,0.24332825476308131
5,0.2541,0.16705281891179108
10,0.3774,0.20669252708859132
15,0.4585,0.22812149155462394
20,0.5246,0.24372569330297553
