Epoch,Loss,preLoss
1,5.1694093,0.7987657
2,3.8759701,0.30016592
3,2.4774172,0.2473054
4,1.8129492,0.21612456
5,1.4747112,0.2028025
6,1.2706825,0.19134122
7,1.1281484,0.18387727
8,1.0073966,0.16740693
9,0.9250199,0.16377744
10,0.86389714,0.1604736
11,0.81317455,0.16095178
12,0.7641262,0.15425928
13,0.7224089,0.15002389
14,0.6828692,0.14650792
15,0.65423584,0.14360484
16,0.6379598,0.14329013
17,0.60774267,0.13532272
18,0.57351255,0.13153467
19,0.5609774,0.1359715
20,0.5463583,0.13094637
21,0.52186126,0.12742129
22,0.5071697,0.12758338
23,0.4973929,0.124424085
24,0.48008355,0.124692
25,0.468431,0.12529448
26,0.45095032,0.12192617
27,0.4400626,0.1214329
28,0.42527395,0.117986225
29,0.40779725,0.1126587
30,0.3984664,0.11401526
31,0.38434705,0.10995783
32,0.37918782,0.112150826
33,0.3753625,0.112400696
34,0.3608101,0.10799787
35,0.34926096,0.108014464
36,0.3402386,0.10734783
37,0.32969606,0.104449034
38,0.32488364,0.10677669
39,0.31501332,0.10273645
40,0.3081071,0.10219246
41,0.30122706,0.10014205
42,0.2949335,0.09931274
43,0.29342687,0.10263945
44,0.28436342,0.095892645
45,0.2801138,0.097984985
46,0.2732667,0.09613329
47,0.26644263,0.094458014
48,0.26167637,0.095086895
49,0.25522178,0.09260545
50,0.24828589,0.09044644
51,0.2440747,0.09072745
52,0.23910978,0.08899765
53,0.23631963,0.089657485
54,0.23108809,0.087192215
55,0.23058076,0.09016608
56,0.22148171,0.08392851
57,0.21932232,0.085416354
58,0.21750072,0.086197875
59,0.21066423,0.081858814
60,0.20722656,0.081973836
61,0.20259695,0.07991023
62,0.20345578,0.08319397
63,0.20089214,0.0819578
64,0.19579017,0.079083405
65,0.19212165,0.07812163
66,0.18932773,0.07778771
67,0.1848037,0.07539564
68,0.18100886,0.074020445
69,0.1787797,0.074147515
70,0.17578474,0.07317281
71,0.17158353,0.07081504
72,0.17003675,0.07130761
73,0.16647291,0.06972374
74,0.16494116,0.06983344
75,0.16222915,0.06844683
76,0.16117267,0.068826854
77,0.15646592,0.06560953
78,0.15550119,0.06636624
79,0.15362823,0.06605748
80,0.15061107,0.06429545
81,0.15005915,0.064926475
82,0.14529702,0.06134982
83,0.14431044,0.061558835
84,0.14126757,0.059672285
85,0.14357695,0.0630697
86,0.14125495,0.061696082
87,0.13818583,0.05949973
88,0.13719186,0.059383083
89,0.13726163,0.06036378
90,0.13294317,0.056869127
91,0.13184747,0.056702763
92,0.12939176,0.05516417
93,0.12971899,0.056385208
94,0.12661478,0.054166526
95,0.12623766,0.054653954
96,0.12405131,0.053219236
97,0.12237674,0.052289106
98,0.12159765,0.052196342
99,0.120870695,0.052126992
100,0.12046607,0.05234593
101,0.1167493,0.04922399
102,0.11598165,0.049076635
103,0.114761256,0.04845529
104,0.11585145,0.050121944
105,0.11214261,0.046937503
106,0.11279418,0.048131026
107,0.11170669,0.047537442
108,0.10937635,0.045694128
109,0.11103109,0.04783143
110,0.10683886,0.044084046
111,0.10907315,0.046750948
112,0.105309024,0.043381512
113,0.10601183,0.044474535
114,0.10502943,0.04388082
115,0.10458978,0.04381018
116,0.10529654,0.044860575
117,0.1048883,0.04477026
118,0.10313898,0.04333035
119,0.10231836,0.042812087
120,0.100775324,0.0415662
121,0.10050092,0.041583233
122,0.09927638,0.040632244
123,0.09937343,0.040990427
124,0.09831546,0.04018622
125,0.09865063,0.040764477
126,0.097946465,0.040294945
127,0.097030476,0.03960659
128,0.09704422,0.03983452
129,0.09588544,0.03887777
130,0.0964656,0.039654113
131,0.095851064,0.03922623
132,0.09549336,0.039049495
133,0.09433534,0.03806495
134,0.09434239,0.038241476
135,0.093729466,0.03778846
136,0.09374703,0.037961464
137,0.093480766,0.03784544
138,0.09311622,0.03762292
139,0.09294799,0.037589367
140,0.09303411,0.037805792
141,0.09245137,0.03734664
142,0.09156547,0.036580857
143,0.09086172,0.035993844
144,0.09051108,0.035755444
145,0.092104316,0.037454374
146,0.0910081,0.036458414
147,0.09016211,0.035710376
148,0.09107472,0.036716804
149,0.08994107,0.035673153
