Metric,HitRate,NDCG
5,0.0913,0.0571452038737933
10,0.1562,0.07795997390333874
15,0.2063,0.09116284968284998
20,0.2528,0.10214162703178707
5,0.1068,0.0658221045618371
10,0.1827,0.0901625609621459
15,0.2375,0.10464449656777045
20,0.287,0.11632896915232882
5,0.1216,0.07650147493378652
10,0.2049,0.10325499918284786
15,0.2763,0.12210603290294304
20,0.3341,0.1357722949816947
5,0.1221,0.07656274099812288
10,0.2111,0.105112322990511
15,0.282,0.1238446089631734
20,0.3398,0.137491616281362
5,0.1497,0.09527466737983901
10,0.2453,0.1260117149723406
15,0.318,0.14517156744982126
20,0.3816,0.16018447834887717
5,0.1434,0.09169360848358277
10,0.2383,0.122167446807068
15,0.3118,0.14155964192583648
20,0.3768,0.1568783800733499
5,0.1557,0.09976888037049561
10,0.2549,0.13168849144618744
15,0.3343,0.1526735736795158
20,0.3994,0.1680356676570493
5,0.1685,0.1072183930781456
10,0.2713,0.14018126824890487
15,0.3503,0.16102996062246042
20,0.4167,0.17669148972580812
5,0.1661,0.10548214678677857
10,0.2717,0.13945001716185781
15,0.3532,0.16095305678214378
20,0.4221,0.17724040001376626
5,0.1728,0.108746135517164
10,0.2803,0.14331039505264362
15,0.3701,0.1670367985463058
20,0.4369,0.18279006407602152
5,0.1714,0.10991024549618494
10,0.2837,0.1460728834235145
15,0.3698,0.16887507184613024
20,0.4383,0.1850346030999455
5,0.1903,0.12101407683364944
10,0.3004,0.156490741443213
15,0.3837,0.17855693947477516
20,0.4505,0.19433604742338462
5,0.1895,0.12016260927939645
10,0.2997,0.15554630325062146
15,0.3847,0.17802464223344472
20,0.454,0.19441477738116017
5,0.1913,0.12333744756073672
10,0.2993,0.1580012855394932
15,0.3865,0.18102064034667173
20,0.4554,0.19726558709948366
5,0.1919,0.12258930296027365
10,0.307,0.15967502729007155
15,0.3914,0.18199965224382472
20,0.4614,0.19850683444302325
5,0.1906,0.12217745966793846
10,0.3111,0.1607782992511071
15,0.3936,0.18261365350679548
20,0.4642,0.19925009853835016
5,0.2,0.1262339683162463
10,0.3163,0.16370757693752438
15,0.3935,0.18411035118449104
20,0.462,0.20028523646448337
5,0.2069,0.13477652576446877
10,0.3211,0.171511981669941
15,0.4062,0.1939706297755929
