Epoch,Loss,preLoss
1,8.310724,0.77280074
2,5.8706007,0.30769935
3,4.22039,0.24896017
4,3.2457242,0.21245334
5,2.689568,0.19640811
6,2.3284986,0.18468273
7,2.0722916,0.17865129
8,1.866939,0.16385576
9,1.7197845,0.16595533
10,1.59765,0.15875773
11,1.4940665,0.15617785
12,1.4000905,0.14914688
13,1.3339155,0.14794822
14,1.2659843,0.14642674
15,1.2076211,0.14243539
16,1.1613125,0.14148776
17,1.1041853,0.13086829
18,1.0525439,0.13047507
19,1.0221045,0.13211519
20,0.9907857,0.12876655
21,0.956021,0.12649934
22,0.9244111,0.12762405
23,0.8970426,0.12211851
24,0.86947954,0.124650314
25,0.8534064,0.12536946
26,0.82881844,0.12131147
27,0.80606985,0.120923676
28,0.77939105,0.11566676
29,0.757985,0.11455615
30,0.74021757,0.113033
31,0.7212473,0.10895715
32,0.7099366,0.112637736
33,0.70022833,0.11375494
34,0.6817453,0.10939815
35,0.66551745,0.1082052
36,0.6495825,0.106214926
37,0.6332828,0.1041352
38,0.6252544,0.10707672
39,0.613217,0.10289727
40,0.604683,0.10369836
41,0.59509575,0.10224472
42,0.5864562,0.10170163
43,0.5795965,0.103841625
44,0.5639523,0.09600316
45,0.55595356,0.0979092
46,0.5452975,0.09503677
47,0.53914016,0.09639644
48,0.53130525,0.09528147
49,0.5238841,0.09391609
50,0.5170089,0.09325749
51,0.5107908,0.092845425
52,0.50330937,0.090601824
53,0.4987,0.09168848
54,0.48752493,0.085592754
55,0.48606357,0.09041629
56,0.47718954,0.08595752
57,0.4741079,0.08700664
58,0.46873635,0.08607598
59,0.4644507,0.08579199
60,0.45801306,0.083655715
61,0.4515726,0.08159407
62,0.44863597,0.08292249
63,0.44467348,0.08225959
64,0.43855852,0.07925932
65,0.43429083,0.0786062
66,0.43298405,0.08068067
67,0.4268856,0.077308655
68,0.423728,0.0773106
69,0.41995043,0.07644707
70,0.41513723,0.0747802
71,0.4094975,0.072094716
72,0.40690503,0.07221538
73,0.40351525,0.071647845
74,0.40075105,0.07126943
75,0.39835656,0.07099869
76,0.3965417,0.071192116
77,0.3924919,0.06911469
78,0.39037386,0.06926758
79,0.38755542,0.06848456
80,0.38580126,0.06861127
81,0.38276976,0.06737059
82,0.3784473,0.06470738
83,0.37597144,0.06425105
84,0.3721922,0.06218906
85,0.37569612,0.06739855
86,0.3706591,0.06391375
87,0.3688944,0.06342787
88,0.36612007,0.06199176
89,0.36656088,0.06382966
90,0.36115602,0.05973927
91,0.36105484,0.0609579
92,0.35765776,0.05875065
93,0.35786265,0.06018889
94,0.35580486,0.059292734
95,0.35401696,0.058506995
96,0.35147133,0.057068385
97,0.34992558,0.05663114
98,0.3482396,0.05591718
99,0.3470428,0.05567634
100,0.34683186,0.05638819
101,0.3434819,0.053931903
102,0.34333223,0.054674096
103,0.34196407,0.054167222
104,0.34147757,0.054424327
105,0.33840558,0.052101195
106,0.33829027,0.052802444
107,0.33777553,0.052904833
108,0.33601955,0.051783048
109,0.33552536,0.052082486
110,0.33317134,0.050257068
111,0.33399674,0.051766664
112,0.3301287,0.048420772
113,0.3304784,0.049404003
114,0.33074507,0.05017637
115,0.32977328,0.049815416
116,0.3299965,0.050573535
117,0.3287166,0.04975272
118,0.327975,0.04941604
119,0.32692394,0.048763655
120,0.32441413,0.046820737
121,0.3252267,0.04806992
122,0.32423288,0.047478817
123,0.32447833,0.048030607
124,0.32342324,0.04730911
125,0.32242408,0.046745777
126,0.32118216,0.04585085
127,0.3213219,0.046348136
128,0.3209213,0.04629878
129,0.32071736,0.046383414
130,0.32063,0.04663319
131,0.31961963,0.04586511
132,0.31898397,0.045473207
133,0.317923,0.044670366
134,0.3183939,0.045370314
135,0.31833962,0.04563338
136,0.3164652,0.04400295
137,0.3165177,0.0442803
138,0.31727034,0.045223184
139,0.31629378,0.04447595
140,0.31692144,0.045325406
141,0.3161923,0.044764973
142,0.31505123,0.043824635
143,0.3145036,0.043426283
144,0.3137891,0.04294173
145,0.31567496,0.04498168
146,0.31423673,0.043641157
147,0.3137736,0.04332065
148,0.3137042,0.043381594
149,0.31346983,0.04334812
