Metric,HitRate,NDCG
5,0.0846,0.05398975303592763
10,0.1411,0.07214432387251057
15,0.1935,0.08602165501611311
20,0.2329,0.0953492355042234
5,0.0979,0.06131073831592878
10,0.1663,0.08309801700351695
15,0.2195,0.09717336633861455
20,0.2676,0.1085447429906223
5,0.1059,0.06625464221694319
10,0.1819,0.09058019881623484
15,0.246,0.10754844162084648
20,0.303,0.12103208972571929
5,0.1246,0.078763099678419
10,0.213,0.10713264729829775
15,0.2851,0.12616761972026558
20,0.3459,0.14052876238362708
5,0.1464,0.09257745224648584
10,0.2433,0.12360652272102116
15,0.3218,0.14432870444836163
20,0.3817,0.1584754016392228
5,0.1369,0.08711102191429446
10,0.2313,0.11729811781942895
15,0.3064,0.13712103136991596
20,0.3755,0.15344539097376186
5,0.1553,0.09997304078607473
10,0.2512,0.13091605562425135
15,0.3304,0.15182946266973676
20,0.3956,0.16721500501555892
5,0.1655,0.1040671238930245
10,0.2689,0.13718992373749103
15,0.3532,0.1594465222299887
20,0.4161,0.17429764457928448
5,0.1594,0.10197276768339465
10,0.2714,0.13801702341971872
15,0.3528,0.159549206218296
20,0.4204,0.17554623344077286
5,0.1692,0.10691923629250139
10,0.2748,0.14080929191168343
15,0.3588,0.16301621652927
20,0.4278,0.17934128831765916
5,0.1756,0.11146485439134783
10,0.2852,0.14655937614432568
15,0.3674,0.16828436063588537
20,0.437,0.18469043474520194
5,0.1754,0.11449519633209458
10,0.2847,0.14957699402125596
15,0.3698,0.17205617131908968
20,0.4368,0.187893098751423
5,0.1765,0.11189401674371965
10,0.2807,0.1451800782359796
15,0.3721,0.16935127256313473
20,0.441,0.1856170784546986
5,0.1877,0.11963700410351066
10,0.2994,0.15540478517450682
15,0.3905,0.1795102281035373
20,0.4555,0.1948661575920993
5,0.1826,0.11888301218482666
10,0.2959,0.15533334019503794
15,0.3839,0.1785878071325206
20,0.4539,0.1951079045406006
5,0.1898,0.12293205877762796
10,0.3034,0.15946376407833257
15,0.3912,0.18266944314516056
20,0.4601,0.19893197266653861
5,0.2005,0.12850152958187236
10,0.3144,0.16497761753319265
15,0.4013,0.18790002968948294
20,0.4667,0.20335000176538107
5,0.1962,0.1257479572599863
10,0.3127,0.1632440855486793
15,0.4001,0.1864025313514763
20,0.4716,0.20328924583040453
5,0.1996,0.12966348446158418
10,0.3192,0.16803138038164328
15,0.4035,0.19038047526491947
20,0.4741,0.20702549565488476
5,0.1997,0.1300966699119328
10,0.3205,0.16885536504617615
15,0.4077,0.1919009466727543
20,0.4771,0.2083022921331699
5,0.2095,0.13609872567328
10,0.3241,0.1729703387397152
15,0.4152,0.1970516204036848
20,0.4814,0.21268978370428718
5,0.213,0.13717377359719643
10,0.3271,0.17391070880298581
15,0.4118,0.1962577865240046
20,0.482,0.21283092118057426
5,0.2087,0.1343990338301719
10,0.3296,0.17319770666599346
15,0.4186,0.19676764257406001
20,0.4889,0.21337811230775341
5,0.2187,0.14211399479338344
10,0.3349,0.17957031613989885
15,0.4238,0.20308660803911252
20,0.4934,0.21953312798569177
5,0.2131,0.1390488663473175
10,0.3352,0.17833750500977055
15,0.4231,0.201560212633638
20,0.492,0.21782299816749232
5,0.2187,0.14326926342022436
10,0.3429,0.1832790934034263
15,0.4285,0.20589354021637618
20,0.497,0.2220776841216685
5,0.218,0.1423056171323673
10,0.3419,0.18227258003317626
15,0.4266,0.20461719578524706
20,0.4944,0.22061833989760868
5,0.2231,0.14494446017931928
10,0.3448,0.1841790102839614
15,0.4281,0.20622266750700324
20,0.4984,0.2228083965158305
5,0.2315,0.15023622700892936
10,0.3552,0.19001684655075116
15,0.4406,0.21254141659310075
20,0.507,0.2282291599477806
5,0.2282,0.1490220504942379
10,0.3459,0.1868574983803433
15,0.434,0.21014351721241692
20,0.5028,0.22638580211015896
5,0.2347,0.15405775983508718
10,0.3518,0.19164072610036695
15,0.4378,0.21439670549092243
20,0.5051,0.23029119354129962
5,0.2295,0.1496384075778886
10,0.3527,0.18931381209146514
15,0.4438,0.21342002150965236
20,0.5079,0.22857633678135053
5,0.2291,0.14865278126971956
10,0.3547,0.1889925171397972
15,0.445,0.21286985821817817
20,0.5086,0.2279039873214813
5,0.2374,0.1529724214927962
10,0.3585,0.1920419163526949
15,0.4439,0.21462034365702265
20,0.5123,0.23077617585503155
5,0.2385,0.1546588634058179
10,0.3637,0.19508243127828284
15,0.4448,0.21653829851341075
20,0.513,0.23264292421754107
5,0.2411,0.15723317165205197
10,0.3627,0.1963043458124795
15,0.4475,0.21874572161090314
20,0.5129,0.23419966713490004
5,0.2399,0.15609736071050712
10,0.3622,0.19547423901842148
15,0.452,0.21918551464193983
20,0.5179,0.23476495449474274
5,0.2416,0.157476628547677
10,0.3642,0.19697366789819656
15,0.4524,0.22022565651805595
20,0.5174,0.23557804647830058
5,0.2445,0.15887617705056095
10,0.367,0.1983485112607371
15,0.4509,0.22055604332053316
20,0.5169,0.23614761713845706
5,0.2437,0.1593323945790971
10,0.366,0.19884735308863302
15,0.4511,0.22133197302783628
20,0.5169,0.2368568289992781
5,0.2461,0.16044464855095683
10,0.3714,0.2007412030965978
15,0.4537,0.2224552238246214
20,0.5208,0.23829702541824377
5,0.2466,0.16082320721459903
10,0.3718,0.20108233036469972
15,0.454,0.22279119338962422
20,0.5216,0.23876230655032754
5,0.247,0.16087306225137613
10,0.3722,0.20128429393985525
15,0.4574,0.22380833100111935
20,0.5223,0.23913574561680553
5,0.2439,0.15978298628846724
10,0.3706,0.20074847854842406
15,0.4561,0.22332367268065473
20,0.5222,0.2389465738737887
5,0.245,0.16051732250110556
10,0.3736,0.2020653554138557
15,0.4566,0.22398341253548157
20,0.5226,0.23958988318876817
5,0.2468,0.1618374667052702
10,0.3728,0.20245774434070574
15,0.4579,0.2249780995454371
20,0.5251,0.24084023143151076
5,0.2474,0.16294401135135336
10,0.3707,0.20279760170575017
15,0.4605,0.22651054603934234
20,0.5252,0.24178973897966877
5,0.2515,0.16391720347065
10,0.3739,0.20331581446650976
15,0.4617,0.22645655312739554
20,0.5246,0.24131406467342445
5,0.2481,0.163234344001223
10,0.3722,0.20344237481061414
15,0.4594,0.2264984480837816
20,0.526,0.24224363554402426
5,0.249,0.16387460587997396
10,0.3742,0.20432671174922665
15,0.4578,0.22641313116170086
20,0.5272,0.24280446565527372
5,0.2487,0.16370702497722103
10,0.374,0.20409547768596667
15,0.4588,0.22652473680058433
20,0.5261,0.24242580615777826
