Epoch,Loss,preLoss
1,7.2675796,0.79200906
2,5.262056,0.31823474
3,3.637755,0.25594825
4,2.7370217,0.22400591
5,2.230916,0.2065022
6,1.9057462,0.18994312
7,1.6717676,0.18324716
8,1.487295,0.16650723
9,1.3559208,0.16214205
10,1.259482,0.16102996
11,1.1806179,0.15851006
12,1.1072861,0.15380816
13,1.0484643,0.14781223
14,0.98990595,0.14800127
15,0.9467354,0.14468919
16,0.9065231,0.1408715
17,0.86052305,0.13317546
18,0.8182185,0.13130282
19,0.79302347,0.13402168
20,0.7696741,0.12819003
21,0.7406422,0.12715128
22,0.7139996,0.12518786
23,0.6985883,0.124135554
24,0.67935216,0.12377292
25,0.66545534,0.12610762
26,0.6450175,0.12274976
27,0.62298393,0.12184946
28,0.6004054,0.117383555
29,0.5826659,0.113397375
30,0.57239693,0.11551454
31,0.55407506,0.10894592
32,0.5433861,0.11027567
33,0.5351465,0.111473516
34,0.52050453,0.108392954
35,0.5064492,0.106887236
36,0.49471316,0.10730656
37,0.48346752,0.105647944
38,0.47804046,0.10815541
39,0.46609712,0.10336083
40,0.4588818,0.104204535
41,0.45092282,0.10245379
42,0.4435253,0.101672746
43,0.4362145,0.101897955
44,0.42455572,0.09661075
45,0.41767368,0.09680109
46,0.41008097,0.096170805
47,0.40365702,0.09541536
48,0.39776146,0.09598486
49,0.3911159,0.09465722
50,0.38524732,0.09434869
51,0.37855583,0.09138952
52,0.37213373,0.08961725
53,0.36973375,0.09245103
54,0.3602401,0.08600233
55,0.36141294,0.09136607
56,0.35047573,0.084704354
57,0.34818,0.08692123
58,0.3429956,0.08559091
59,0.33705205,0.08317304
60,0.33378807,0.0836902
61,0.3269418,0.08040897
62,0.32610798,0.08311595
63,0.32302743,0.082739726
64,0.318264,0.0804627
65,0.3133206,0.0785398
66,0.31301242,0.08098538
67,0.30656686,0.07675324
68,0.30407023,0.07710764
69,0.3003717,0.0762126
70,0.29660052,0.07495747
71,0.2929425,0.07359811
72,0.29084036,0.073669
73,0.2858662,0.070785105
74,0.28500465,0.07209468
75,0.2825571,0.07147038
76,0.28025264,0.070991054
77,0.27487046,0.067442246
78,0.27416044,0.06881641
79,0.27252385,0.0688587
80,0.27007484,0.0679263
81,0.26756892,0.066684455
82,0.26442134,0.065034404
83,0.2607391,0.0628971
84,0.2586214,0.06236239
85,0.26148358,0.06661658
86,0.25775093,0.064120576
87,0.2552027,0.06271485
88,0.25364253,0.06220994
89,0.2533172,0.06298316
90,0.24862313,0.05945476
91,0.2472606,0.059229046
92,0.24498244,0.05802105
93,0.24573162,0.05984523
94,0.24392411,0.05898261
95,0.2425427,0.058604013
96,0.23984572,0.05677731
97,0.23760626,0.055440158
98,0.23721907,0.05595044
99,0.23590347,0.055325747
100,0.23638701,0.05670453
101,0.23237018,0.053391326
102,0.2323921,0.054078214
103,0.23015842,0.05262649
104,0.23120046,0.054355036
105,0.22768477,0.05150206
106,0.22806895,0.052546196
107,0.22682002,0.051869303
108,0.22558701,0.05110837
109,0.225093,0.05125376
110,0.22217104,0.04889213
111,0.22381815,0.05101382
112,0.21964121,0.04735636
113,0.22075006,0.049055863
114,0.22098438,0.049727246
115,0.21890035,0.048088115
116,0.22047701,0.05005772
117,0.21904413,0.049002003
118,0.21785936,0.048175484
119,0.21782775,0.048632897
120,0.21493986,0.046129107
121,0.21584442,0.04731586
122,0.21456897,0.046412088
123,0.21468174,0.04683364
124,0.2128615,0.04530602
125,0.21295395,0.045681603
126,0.21256311,0.045619763
127,0.21185353,0.045145217
128,0.21164513,0.045208577
129,0.21080816,0.044631228
130,0.21086414,0.04492069
131,0.21061972,0.044967186
132,0.20991735,0.044499077
133,0.2085563,0.04331889
134,0.20913967,0.044102497
135,0.20894086,0.044213917
136,0.2080193,0.043433465
137,0.2080667,0.04369022
138,0.20803198,0.0437161
139,0.20832114,0.04417031
140,0.20865,0.044789694
141,0.20702632,0.04320476
142,0.20650801,0.04292303
143,0.2050238,0.04151892
144,0.20550585,0.042167045
145,0.2059122,0.042820416
146,0.2053814,0.042364758
147,0.20501825,0.042081334
148,0.2049205,0.042081058
149,0.20434082,0.04169672
