Variable: gamma, Shape: (80,), Total parameters: 80
Variable: beta, Shape: (80,), Total parameters: 80
Variable: gamma, Shape: (80,), Total parameters: 80
Variable: beta, Shape: (80,), Total parameters: 80
Variable: gamma, Shape: (80,), Total parameters: 80
Variable: beta, Shape: (80,), Total parameters: 80
Variable: gamma, Shape: (80,), Total parameters: 80
Variable: beta, Shape: (80,), Total parameters: 80
Variable: gamma, Shape: (80,), Total parameters: 80
Variable: beta, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (240, 32), Total parameters: 7680
Variable: bias, Shape: (32,), Total parameters: 32
Variable: kernel, Shape: (32, 1), Total parameters: 32
Variable: bias, Shape: (1,), Total parameters: 1
Variable: kernel, Shape: (80, 320), Total parameters: 25600
Variable: recurrent_kernel, Shape: (80, 320), Total parameters: 25600
Variable: bias, Shape: (320,), Total parameters: 320
Variable: kernel, Shape: (80, 320), Total parameters: 25600
Variable: recurrent_kernel, Shape: (80, 320), Total parameters: 25600
Variable: bias, Shape: (320,), Total parameters: 320
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Variable: kernel, Shape: (80, 80), Total parameters: 6400
Variable: bias, Shape: (80,), Total parameters: 80
Total trainable parameters: 267105
