Data,Amazon Top 10 HR,Amazon Top 10 NDCG,Amazon Top 20 HR,Amazon Top 20 NDCG,Gowalla Top 10 HR,Gowalla Top 10 NDCG,Gowalla Top 20 HR,Gowalla Top 20 NDCG,MovieLens Top 10 HR,MovieLens Top 10 NDCG,MovieLens Top 20 HR,MovieLens Top 20 NDCG,Yelp Top 10 HR,Yelp Top 10 NDCG,Yelp Top 20 HR,Yelp Top 20 NDCG
BiasMF,0.314,0.170,0.457,0.206,0.543,0.362,0.669,0.393,0.208,0.115,0.311,0.141,0.281,0.151,0.411,0.184
NCF,0.306,0.165,0.431,0.197,0.606,0.418,0.716,0.446,0.198,0.107,0.299,0.133,0.313,0.169,0.462,0.206
GRU4Rec,0.148,0.077,0.232,0.098,0.393,0.253,0.515,0.284,0.127,0.076,0.238,0.099,0.087,0.043,0.143,0.057
SASRec,0.268,0.171,0.324,0.185,0.562,0.360,0.688,0.392,0.121,0.072,0.163,0.082,0.106,0.057,0.151,0.057
TiSASRec,0.270,0.171,0.326,0.185,0.573,0.376,0.690,0.405,0.120,0.071,0.165,0.082,0.092,0.051,0.133,0.061
Bert4Rec,0.312,0.173,0.445,0.207,0.544,0.359,0.676,0.393,0.175,0.087,0.299,0.118,0.290,0.158,0.428,0.193
NGCF,0.277,0.147,0.307,0.180,0.550,0.347,0.692,0.383,0.147,0.076,0.238,0.099,0.325,0.174,0.475,0.212
LightGCN,0.244,0.127,0.271,0.159,0.456,0.286,0.592,0.318,0.211,0.115,0.319,0.142,0.346,0.189,0.495,0.226
SRGNN,0.199,0.109,0.281,0.129,0.575,0.371,0.687,0.399,0.122,0.069,0.166,0.080,0.097,0.054,0.137,0.064
GCE-GNN,0.279,0.145,0.401,0.180,0.578,0.373,0.709,0.406,0.169,0.088,0.264,0.112,0.297,0.157,0.440,0.194
SURGE,0.362,0.215,0.468,0.242,0.479,0.259,0.654,0.304,0.237,0.124,0.337,0.149,0.278,0.144,0.428,0.182
SGL,0.336,0.184,0.465,0.217,0.413,0.259,0.495,0.280,0.223,0.120,0.282,0.135,0.320,0.170,0.461,0.206
DGCF,0.307,0.163,0.357,0.201,0.524,0.339,0.629,0.388,0.216,0.116,0.309,0.136,0.318,0.168,0.452,0.202
TGSRRec,0.228,0.172,0.426,0.289,0.424,0.347,0.695,0.557,0.145,0.125,0.229,0.177,0.217,0.143,0.458,0.301
ICLRec,0.285,0.226,0.343,0.240,0.197,0.122,0.265,0.193,0.190,0.126,0.248,0.140,0.195,0.113,0.274,0.133
CoSeRec,0.368,0.230,0.465,0.254,0.556,0.362,0.669,0.390,0.166,0.112,0.221,0.125,0.195,0.110,0.270,0.129
CoTRec,0.338,0.213,0.421,0.233,0.531,0.400,0.608,0.419,0.216,0.117,0.311,0.141,0.283,0.152,0.416,0.185
CLSR,0.332,0.189,0.441,0.217,0.529,0.296,0.699,0.339,0.061,0.036,0.076,0.040,0.261,0.134,0.400,0.169
SelfGNN,0.391,0.240,0.487,0.264,0.637,0.437,0.745,0.465,0.239,0.128,0.341,0.154,0.365,0.201,0.509,0.237
SelfGNNplus,0.393,0.244,0.492,0.265,0.675,0.465,0.780,0.492,0.257,0.143,0.373,0.172,0.381,0.212,0.529,0.249
